signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2025-11-04 03:00:00,2025-11-04 03:10:00,2025-11-04 03:55:00,MSS,short,4015.1,4019.5,4019.5,4007.9,False,,4019.5,SL,-4.4,-44.31,9
2025-11-04 07:00:00,2025-11-04 07:05:00,2025-11-04 07:05:00,MSS,long,4014.3,4012.1,4012.1,4017.9,False,,4012.1,SL,-2.2,-22.16,0
2025-11-04 08:00:00,2025-11-04 08:05:00,2025-11-04 08:05:00,BOS,short,4007.0,4010.4,4010.4,4001.6,False,,4001.6,TP,5.4,54.38,0
2025-11-04 08:35:00,2025-11-04 09:15:00,2025-11-04 09:25:00,BOS,short,4003.8,4010.4,4010.4,3993.2,False,,3993.2,TP,10.6,106.3,2
2025-11-04 09:30:00,2025-11-04 09:50:00,2025-11-04 10:00:00,BOS,short,3998.4,4004.4,4004.4,3988.6,False,,3988.6,TP,9.8,97.64,2
2025-11-04 10:00:00,2025-11-04 10:30:00,2025-11-04 11:10:00,MSS,short,3993.9,3999.7,3999.7,3984.4,False,,3999.7,SL,-5.8,-58.45,8
2025-11-04 11:20:00,2025-11-04 12:45:00,2025-11-04 12:45:00,BOS,long,3996.8,3994.2,3994.2,4001.0,False,,3994.2,SL,-2.6,-25.98,0
2025-11-04 12:45:00,2025-11-04 12:50:00,2025-11-04 13:00:00,MSS,short,3999.1,4002.9,4002.9,3992.9,False,,3992.9,TP,6.2,61.8,2
2025-11-04 13:25:00,2025-11-04 13:30:00,2025-11-04 13:30:00,BOS,short,3994.5,3996.1,3996.1,3991.9,False,,3991.9,TP,2.6,25.96,0
2025-11-04 14:00:00,2025-11-04 14:30:00,2025-11-04 14:45:00,BOS,short,3985.5,3990.4,3990.4,3977.7,False,,3990.4,SL,-4.9,-48.51,3
