days,variant,description,actual_days,signals,trades,wins,losses,be_exits,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,avg_win,avg_loss,max_drawdown,winning_days,losing_days,skipped
30,original,Original: SL at waveStart until TP/SL,28.83,723,347,143,203,0,41.21,552.01,9104.99,-8552.98,1.06,63.67,-42.13,-841.58,13,9,107
30,be_236,Move SL to entry after touching 23.6%,28.83,723,361,96,212,54,26.59,-2758.17,5758.29,-8516.46,0.68,59.98,-40.17,-3009.69,7,15,84
30,be_500,Move SL to entry after touching 50.0%,28.83,723,382,78,155,153,20.42,-1183.21,4242.95,-5426.16,0.78,54.4,-35.01,-1492.44,5,17,54
60,original,Original: SL at waveStart until TP/SL,59.92,850,407,178,228,0,43.73,1402.16,11164.17,-9762.01,1.14,62.72,-42.82,-841.58,16,11,117
60,be_236,Move SL to entry after touching 23.6%,59.92,850,421,124,238,60,29.45,-2151.94,7507.84,-9659.78,0.78,60.55,-40.59,-3073.01,11,16,95
60,be_500,Move SL to entry after touching 50.0%,59.92,850,447,99,179,173,22.15,-824.45,5505.52,-6329.97,0.87,55.61,-35.36,-1492.44,8,19,59
90,original,Original: SL at waveStart until TP/SL,90.0,1573,720,336,383,0,46.67,9335.6,29285.16,-19949.57,1.47,87.16,-52.09,-841.58,38,13,203
90,be_236,Move SL to entry after touching 23.6%,90.0,1573,741,233,399,110,31.44,-1325.3,18836.31,-20161.61,0.93,80.84,-50.53,-3073.01,23,28,168
90,be_500,Move SL to entry after touching 50.0%,90.0,1573,788,179,301,312,22.72,-605.73,12928.85,-13534.58,0.96,72.23,-44.97,-1492.44,19,32,104
120,original,Original: SL at waveStart until TP/SL,119.79,1746,780,369,410,0,47.31,10795.71,32759.56,-21963.85,1.49,88.78,-53.57,-841.58,41,18,221
120,be_236,Move SL to entry after touching 23.6%,119.79,1746,802,259,429,115,32.29,-534.22,21768.49,-22302.71,0.98,84.05,-51.99,-3073.01,27,32,185
120,be_500,Move SL to entry after touching 50.0%,119.79,1746,854,197,323,339,23.07,-108.6,14757.9,-14866.5,0.99,74.91,-46.03,-1492.44,24,35,113
150,original,Original: SL at waveStart until TP/SL,150.0,2494,1116,510,605,0,45.7,10985.9,42566.6,-31580.7,1.35,83.46,-52.2,-1480.59,51,32,320
150,be_236,Move SL to entry after touching 23.6%,150.0,2494,1148,363,608,178,31.62,-1824.27,29177.78,-31002.05,0.94,80.38,-50.99,-3073.01,39,44,266
150,be_500,Move SL to entry after touching 50.0%,150.0,2494,1221,281,455,492,23.01,-756.11,20533.19,-21289.3,0.96,73.07,-46.79,-1492.44,35,47,162
180,original,Original: SL at waveStart until TP/SL,179.92,2640,1164,533,630,0,45.79,11695.87,44127.67,-32431.8,1.36,82.79,-51.48,-1480.59,54,33,329
180,be_236,Move SL to entry after touching 23.6%,179.92,2640,1198,380,637,182,31.72,-1654.3,30321.08,-31975.38,0.95,79.79,-50.2,-3073.01,41,46,273
