signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-05-04 08:00:00,2026-05-04 08:07:00,2026-05-04 08:14:00,MSS,short,4623.7,4628.6,4623.7,4612.3,True,2026-05-04 08:12:00,4623.7,BE,0.0,-4.0,7
2026-05-04 08:25:00,2026-05-04 08:55:00,2026-05-04 09:10:00,EXTEND,short,4622.3,4628.4,4622.3,4608.1,True,2026-05-04 09:01:00,4608.1,TP,14.2,138.08,15
2026-05-04 09:30:00,2026-05-04 09:37:00,2026-05-04 09:50:00,EXTEND,short,4611.1,4615.8,4615.8,4600.3,False,,4615.8,SL,-4.7,-50.6,13
2026-05-04 10:00:00,2026-05-04 10:16:00,2026-05-04 10:28:00,EXTEND,long,4613.6,4603.6,4603.6,4637.0,False,,4603.6,SL,-10.0,-104.47,12
2026-05-04 11:40:00,2026-05-04 11:45:00,2026-05-04 11:46:00,EXTEND,short,4617.6,4622.6,4622.6,4605.8,False,,4622.6,SL,-5.0,-54.42,1
2026-05-04 11:55:00,2026-05-04 12:55:00,2026-05-04 13:24:00,EXTEND,long,4616.7,4609.4,4616.7,4633.7,True,2026-05-04 13:19:00,4616.7,BE,0.0,-4.0,29
2026-05-04 14:00:00,2026-05-04 14:09:00,2026-05-04 14:12:00,BOS,short,4608.9,4613.1,4608.9,4599.3,True,2026-05-04 14:10:00,4608.9,BE,0.0,-4.0,3
2026-05-04 14:45:00,2026-05-04 14:50:00,2026-05-04 15:02:00,EXTEND,short,4602.2,4607.0,4602.2,4591.1,True,2026-05-04 14:52:00,4602.2,BE,0.0,-4.0,12
2026-05-04 15:35:00,2026-05-04 15:47:00,2026-05-04 15:59:00,EXTEND,short,4601.8,4607.0,4601.8,4589.7,True,2026-05-04 15:48:00,4589.7,TP,12.1,116.77,12
2026-05-04 16:40:00,2026-05-04 16:50:00,2026-05-04 16:58:00,EXTEND,long,4587.8,4584.6,4587.8,4595.1,True,2026-05-04 16:50:00,4587.8,BE,0.0,-4.0,8
2026-05-04 16:55:00,2026-05-04 17:02:00,2026-05-04 17:02:00,MSS,short,4589.2,4590.8,4590.8,4585.6,False,,4590.8,SL,-1.6,-19.66,0
2026-05-04 17:15:00,2026-05-04 17:51:00,2026-05-04 17:57:00,EXTEND,long,4590.1,4586.7,4586.7,4598.0,False,,4586.7,SL,-3.4,-38.0,6
2026-05-04 18:20:00,2026-05-04 18:39:00,2026-05-04 19:58:00,EXTEND,short,4572.8,4595.6,4572.8,4519.7,True,2026-05-04 19:35:00,4572.8,BE,0.0,-4.0,79
2026-05-04 20:20:00,2026-05-04 20:35:00,2026-05-04 21:00:00,EXTEND,long,4573.8,4563.6,4573.8,4597.6,True,2026-05-04 20:38:00,4573.8,BE,0.0,-4.0,25
2026-05-04 21:00:00,2026-05-04 21:06:00,2026-05-04 21:10:00,MSS,short,4579.8,4587.1,4587.1,4562.8,False,,4587.1,SL,-7.3,-76.96,4
2026-05-04 21:30:00,2026-05-04 21:35:00,2026-05-04 21:38:00,EXTEND,short,4579.1,4587.1,4579.1,4560.6,True,2026-05-04 21:37:00,4579.1,BE,0.0,-4.0,3
2026-05-04 22:05:00,2026-05-04 22:12:00,2026-05-04 22:15:00,BOS,short,4572.4,4577.4,4572.4,4560.9,True,2026-05-04 22:14:00,4572.4,BE,0.0,-4.0,3
2026-05-04 22:40:00,2026-05-04 22:58:00,2026-05-04 23:13:00,EXTEND,long,4576.0,4564.4,4564.4,4602.9,False,,4564.4,SL,-11.6,-119.75,15
2026-05-05 00:10:00,2026-05-05 00:21:00,2026-05-05 01:17:00,EXTEND,short,4537.1,4553.8,4537.1,4498.4,True,2026-05-05 00:21:00,4537.1,BE,0.0,-4.0,56
