signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-04-07 22:05:00,2026-04-07 22:45:00,2026-04-07 23:59:00,MSS,short,4645.6,4648.8,4648.8,4594.4,False,,4654.2,SL,-8.6,-90.0,4
2026-04-29 08:50:00,2026-04-29 08:59:00,2026-04-29 09:01:00,BOS,short,4613.8,4618.7,4618.7,4607.0,False,,4607.0,TP,6.8,63.84,2
2026-04-29 09:40:00,2026-04-29 09:59:00,2026-04-29 10:01:00,MSS,long,4598.1,4592.4,4592.4,4608.8,False,,4608.8,TP,10.7,102.83,2
2026-04-29 10:40:00,2026-04-29 10:50:00,2026-04-29 10:53:00,EXTEND,short,4612.2,4616.9,4616.9,4606.6,False,,4606.6,TP,5.6,51.87,3
2026-04-29 10:55:00,2026-04-29 11:10:00,2026-04-29 11:13:00,EXTEND,short,4611.9,4614.8,4614.8,4602.9,False,,4614.8,SL,-2.9,-33.0,3
2026-04-29 11:15:00,2026-04-29 11:34:00,2026-04-29 13:03:00,EXTEND,long,4610.4,4605.4,4605.4,4620.0,False,,4620.0,TP,9.6,92.05,89
2026-04-29 13:10:00,2026-04-29 13:17:00,2026-04-29 13:31:00,MSS,short,4614.3,4621.3,4621.3,4611.8,False,,4611.8,TP,2.5,21.25,14
2026-04-29 13:35:00,2026-04-29 13:52:00,2026-04-29 14:00:00,EXTEND,short,4615.0,4621.3,4621.3,4603.9,False,,4603.9,TP,11.1,106.99,8
2026-04-29 14:00:00,2026-04-29 14:06:00,2026-04-29 14:16:00,EXTEND,short,4608.4,4616.9,4616.9,4600.3,False,,4600.3,TP,8.1,77.37,10
2026-04-29 15:05:00,2026-04-29 15:11:00,2026-04-29 15:19:00,MSS,short,4592.4,4603.3,4603.3,4590.5,False,,4590.5,TP,1.9,15.27,8
2026-04-29 16:10:00,2026-04-29 16:23:00,2026-04-29 16:34:00,BOS,short,4580.6,4586.8,4586.8,4575.1,False,,4575.1,TP,5.5,50.84,11
2026-04-29 16:35:00,2026-04-29 16:48:00,2026-04-29 16:49:00,EXTEND,short,4583.7,4584.9,4584.9,4566.6,False,,4584.9,SL,-1.2,-16.0,1
2026-04-29 17:30:00,2026-04-29 17:38:00,2026-04-29 17:44:00,EXTEND,short,4578.5,4594.1,4594.1,4572.3,False,,4572.3,TP,6.2,58.44,6
2026-04-29 17:55:00,2026-04-29 18:11:00,2026-04-29 18:15:00,EXTEND,short,4578.0,4582.8,4582.8,4559.1,False,,4582.8,SL,-4.8,-52.0,4
2026-04-29 19:50:00,2026-04-29 19:55:00,2026-04-29 20:30:00,MSS,short,4572.6,4585.1,4585.1,4569.1,False,,4569.1,TP,3.5,31.02,35
2026-04-29 20:55:00,2026-04-29 21:04:00,2026-04-29 21:20:00,EXTEND,short,4560.6,4573.0,4573.0,4547.6,False,,4547.6,TP,13.0,126.0,16
2026-04-29 22:35:00,2026-04-29 22:48:00,2026-04-29 23:06:00,EXTEND,long,4548.3,4543.2,4543.2,4559.5,False,,4559.5,TP,11.2,107.56,18
2026-04-29 23:05:00,2026-04-29 23:16:00,2026-04-29 23:37:00,EXTEND,long,4553.1,4543.2,4543.2,4564.5,False,,4564.5,TP,11.4,110.36,21
2026-04-29 23:45:00,2026-04-29 23:55:00,2026-04-30 00:03:00,EXTEND,long,4560.2,4552.7,4552.7,4576.8,False,,4576.8,TP,16.6,162.3,8
2026-04-30 00:30:00,2026-04-30 00:36:00,2026-04-30 00:53:00,MSS,short,4562.0,4577.6,4577.6,4559.2,False,,4559.2,TP,2.8,24.15,17
2026-04-30 01:25:00,2026-04-30 01:34:00,2026-04-30 01:35:00,MSS,short,4558.4,4568.5,4568.5,4557.3,False,,4557.3,TP,1.1,6.76,1
