signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-04-07 19:30:00,2026-04-07 22:02:00,2026-04-07 22:06:00,MSS,long,4628.8,4616.5,4616.5,4657.5,False,,4616.5,SL,-12.3,-127.39,1
2026-04-29 08:50:00,2026-04-29 08:57:00,2026-04-29 09:01:00,BOS,short,4615.2,4618.7,4618.7,4607.0,False,,4607.0,TP,8.2,77.7,4
2026-04-29 09:40:00,2026-04-29 09:48:00,2026-04-29 10:01:00,MSS,long,4597.3,4592.4,4592.4,4608.8,False,,4608.8,TP,11.5,110.55,13
2026-04-29 10:40:00,2026-04-29 10:48:00,2026-04-29 10:53:00,EXTEND,short,4613.8,4616.9,4616.9,4606.6,False,,4606.6,TP,7.2,67.93,5
2026-04-29 10:55:00,2026-04-29 11:04:00,2026-04-29 11:13:00,EXTEND,short,4611.2,4614.8,4614.8,4602.9,False,,4614.8,SL,-3.6,-39.91,9
2026-04-29 11:15:00,2026-04-29 11:31:00,2026-04-29 13:03:00,EXTEND,long,4609.8,4605.4,4605.4,4620.0,False,,4620.0,TP,10.2,98.12,92
2026-04-29 13:00:00,2026-04-29 13:13:00,2026-04-29 13:31:00,EXTEND,long,4614.6,4610.4,4610.4,4624.2,False,,4610.4,SL,-4.2,-45.64,18
2026-04-29 13:35:00,2026-04-29 13:51:00,2026-04-29 14:00:00,EXTEND,short,4616.1,4621.3,4621.3,4603.9,False,,4603.9,TP,12.2,117.66,9
2026-04-29 14:00:00,2026-04-29 14:05:00,2026-04-29 14:16:00,EXTEND,short,4611.9,4616.9,4616.9,4600.3,False,,4600.3,TP,11.6,112.33,11
2026-04-29 15:00:00,2026-04-29 15:06:00,2026-04-29 15:09:00,MSS,long,4598.1,4594.9,4594.9,4605.6,False,,4594.9,SL,-3.2,-36.09,3
2026-04-29 16:10:00,2026-04-29 16:19:00,2026-04-29 16:34:00,BOS,short,4583.3,4586.8,4586.8,4575.1,False,,4575.1,TP,8.2,77.7,15
2026-04-29 16:35:00,2026-04-29 16:44:00,2026-04-29 16:46:00,EXTEND,short,4579.4,4584.9,4584.9,4566.6,False,,4584.9,SL,-5.5,-59.01,2
2026-04-29 17:15:00,2026-04-29 17:22:00,2026-04-29 17:25:00,BOS,long,4588.0,4584.5,4584.5,4596.1,False,,4584.5,SL,-3.5,-38.76,3
2026-04-29 17:55:00,2026-04-29 18:03:00,2026-04-29 18:15:00,EXTEND,short,4575.7,4582.8,4582.8,4559.1,False,,4582.8,SL,-7.1,-75.43,12
2026-04-29 18:30:00,2026-04-29 19:51:00,2026-04-29 20:34:00,EXTEND,long,4573.8,4564.1,4564.1,4596.4,False,,4564.1,SL,-9.7,-101.03,43
