signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-03-04 03:00:00,2026-03-04 03:05:00,2026-03-04 03:07:00,BOS,long,5149.3,5141.8,5149.3,5161.4,True,2026-03-04 03:05:00,5149.3,BE,0.0,-4.0,2
2026-03-04 08:00:00,2026-03-04 08:12:00,2026-03-04 08:18:00,MSS,short,5127.7,5136.0,5127.7,5114.4,True,2026-03-04 08:13:00,5127.7,BE,0.0,-4.0,6
2026-03-04 08:45:00,2026-03-04 08:54:00,2026-03-04 09:00:00,EXTEND,long,5137.6,5130.6,5137.6,5149.0,True,2026-03-04 08:55:00,5149.0,TP,11.4,109.71,6
2026-03-04 10:10:00,2026-03-04 10:24:00,2026-03-04 10:27:00,EXTEND,long,5186.2,5177.4,5186.2,5200.5,True,2026-03-04 10:26:00,5186.2,BE,0.0,-4.0,3
2026-03-04 12:10:00,2026-03-04 12:23:00,2026-03-04 12:31:00,EXTEND,long,5172.8,5162.3,5172.8,5189.8,True,2026-03-04 12:25:00,5172.8,BE,0.0,-4.0,8
2026-03-04 12:40:00,2026-03-04 12:46:00,2026-03-04 13:05:00,MSS,short,5172.8,5180.5,5172.8,5160.4,True,2026-03-04 12:46:00,5160.4,TP,12.4,120.22,19
2026-03-04 13:05:00,2026-03-04 13:10:00,2026-03-04 13:11:00,EXTEND,short,5168.4,5173.4,5173.4,5160.3,False,,5173.4,SL,-5.0,-54.04,1
2026-03-04 13:10:00,2026-03-04 13:20:00,2026-03-04 13:21:00,MSS,long,5165.9,5160.3,5165.9,5175.0,True,2026-03-04 13:20:00,5165.9,BE,0.0,-4.0,1
2026-03-04 13:40:00,2026-03-04 13:45:00,2026-03-04 13:49:00,EXTEND,long,5166.4,5160.3,5166.4,5176.2,True,2026-03-04 13:47:00,5176.2,TP,9.8,94.26,4
2026-03-04 13:50:00,2026-03-04 13:55:00,2026-03-04 14:00:00,EXTEND,long,5166.8,5160.3,5166.8,5177.3,True,2026-03-04 13:57:00,5166.8,BE,0.0,-4.0,5
2026-03-04 14:05:00,2026-03-04 14:12:00,2026-03-04 14:16:00,EXTEND,short,5158.7,5177.3,5158.7,5128.5,True,2026-03-04 14:14:00,5158.7,BE,0.0,-4.0,4
2026-03-04 15:45:00,2026-03-04 15:57:00,2026-03-04 15:59:00,BOS,long,5178.4,5173.7,5178.4,5186.0,True,2026-03-04 15:57:00,5178.4,BE,0.0,-4.0,2
2026-03-04 16:05:00,2026-03-04 16:23:00,2026-03-04 16:30:00,EXTEND,short,5175.2,5186.0,5175.2,5157.7,True,2026-03-04 16:26:00,5175.2,BE,0.0,-4.0,7
