signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-01-03 03:40:00,2026-01-03 03:47:00,2026-01-03 03:48:00,EXTEND,long,4331.8,4326.4,4331.8,4336.3,True,2026-01-03 03:48:00,4331.8,BE,0.0,-4.0,1
2026-01-05 09:05:00,2026-01-05 09:14:00,2026-01-05 09:16:00,EXTEND,long,4412.3,4394.6,4412.3,4430.9,True,2026-01-05 09:15:00,4412.3,BE,0.0,-4.0,2
2026-01-05 10:05:00,2026-01-05 10:33:00,2026-01-05 10:34:00,MSS,short,4413.6,4414.4,4414.4,4397.1,False,,4414.4,SL,-0.8,-12.0,1
2026-01-05 11:05:00,2026-01-05 11:36:00,2026-01-05 11:48:00,EXTEND,long,4415.0,4407.4,4415.0,4423.5,True,2026-01-05 11:38:00,4415.0,BE,0.0,-4.0,12
2026-01-05 12:20:00,2026-01-05 12:27:00,2026-01-05 12:28:00,MSS,long,4414.3,4407.6,4414.3,4415.6,True,2026-01-05 12:28:00,4414.3,BE,0.0,-4.0,1
2026-01-05 13:25:00,2026-01-05 13:33:00,2026-01-05 13:34:00,BOS,long,4421.0,4416.0,4421.0,4422.0,True,2026-01-05 13:34:00,4421.0,BE,0.0,-4.0,1
2026-01-05 13:30:00,2026-01-05 13:38:00,2026-01-05 13:39:00,EXTEND,long,4420.5,4416.0,4420.5,4423.6,True,2026-01-05 13:39:00,4420.4,BE,-0.1,-5.0,1
2026-01-05 13:45:00,2026-01-05 13:55:00,2026-01-05 13:57:00,EXTEND,short,4418.2,4423.6,4418.2,4410.1,True,2026-01-05 13:56:00,4418.2,BE,0.0,-4.0,2
2026-01-05 15:40:00,2026-01-05 15:56:00,2026-01-05 15:57:00,BOS,long,4431.8,4428.1,4431.8,4434.8,True,2026-01-05 15:57:00,4431.6,BE,-0.2,-6.0,1
2026-01-05 16:50:00,2026-01-05 17:12:00,2026-01-05 17:21:00,EXTEND,long,4439.2,4433.5,4439.2,4444.1,True,2026-01-05 17:13:00,4444.1,TP,4.9,45.0,9
2026-01-05 17:40:00,2026-01-05 18:06:00,2026-01-05 18:29:00,BOS,long,4443.5,4441.7,4443.5,4449.3,True,2026-01-05 18:26:00,4443.5,BE,0.0,-4.0,23
2026-01-05 19:00:00,2026-01-05 19:05:00,2026-01-05 19:06:00,MSS,short,4442.5,4451.6,4442.5,4443.1,True,2026-01-05 19:06:00,4442.2,TP,0.3,-1.0,1
2026-01-05 19:25:00,2026-01-05 19:51:00,2026-01-05 19:53:00,EXTEND,short,4433.8,4445.4,4433.8,4422.0,True,2026-01-05 19:52:00,4433.8,BE,0.0,-4.0,2
2026-01-05 20:50:00,2026-01-05 21:08:00,2026-01-05 21:09:00,EXTEND,short,4424.0,4432.5,4424.0,4416.8,True,2026-01-05 21:09:00,4424.0,BE,0.0,-4.0,1
2026-01-05 21:30:00,2026-01-05 21:37:00,2026-01-05 21:40:00,EXTEND,short,4419.9,4424.8,4424.8,4406.7,False,,4424.8,SL,-4.9,-53.0,3
2026-01-06 01:00:00,2026-01-06 01:07:00,2026-01-06 01:08:00,MSS,short,4447.4,4465.9,4447.4,4444.2,True,2026-01-06 01:08:00,4447.7,BE,-0.3,-7.0,1
2026-01-06 01:05:00,2026-01-06 01:20:00,2026-01-06 01:34:00,EXTEND,short,4455.1,4465.9,4455.1,4443.2,True,2026-01-06 01:33:00,4455.1,BE,0.0,-4.0,14
