signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-01-03 03:40:00,2026-01-03 03:45:00,2026-01-03 04:23:00,EXTEND,long,4330.2,4326.4,4326.4,4336.3,False,,4336.3,TP,6.1,57.18,38
2026-01-05 09:05:00,2026-01-05 09:13:00,2026-01-05 14:25:00,EXTEND,long,4408.5,4394.6,4394.6,4430.9,False,,4430.9,TP,22.4,220.33,312
2026-01-05 15:40:00,2026-01-05 15:47:00,2026-01-05 16:12:00,BOS,long,4430.7,4428.1,4428.1,4434.8,False,,4434.8,TP,4.1,37.41,25
2026-01-05 16:50:00,2026-01-05 17:05:00,2026-01-05 17:21:00,EXTEND,long,4437.5,4433.5,4433.5,4444.1,False,,4444.1,TP,6.6,61.51,16
2026-01-05 17:40:00,2026-01-05 18:02:00,2026-01-05 18:06:00,BOS,long,4444.6,4441.7,4441.7,4449.3,False,,4441.7,SL,-2.9,-33.03,4
2026-01-05 18:50:00,2026-01-05 19:01:00,2026-01-05 19:05:00,EXTEND,long,4445.5,4441.7,4441.7,4451.6,False,,4441.7,SL,-3.8,-41.82,4
2026-01-05 19:25:00,2026-01-05 19:49:00,2026-01-05 20:42:00,EXTEND,short,4436.5,4445.4,4445.4,4422.0,False,,4422.0,TP,14.5,140.61,53
2026-01-05 20:50:00,2026-01-05 21:02:00,2026-01-05 21:22:00,EXTEND,short,4426.5,4432.5,4432.5,4416.8,False,,4416.8,TP,9.7,93.03,20
2026-01-05 21:25:00,2026-01-05 21:33:00,2026-01-05 21:40:00,EXTEND,short,4418.2,4424.8,4424.8,4407.6,False,,4424.8,SL,-6.6,-69.7,7
2026-01-06 00:50:00,2026-01-06 00:58:00,2026-01-06 01:00:00,EXTEND,long,4456.6,4450.9,4450.9,4465.9,False,,4450.9,SL,-5.7,-61.3,2
2026-01-06 01:05:00,2026-01-06 01:17:00,2026-01-06 07:04:00,EXTEND,short,4457.2,4465.9,4465.9,4443.2,False,,4465.9,SL,-8.7,-90.71,287
2026-01-06 07:10:00,2026-01-06 07:15:00,2026-01-06 07:31:00,EXTEND,long,4462.0,4456.3,4456.3,4471.3,False,,4456.3,SL,-5.7,-61.3,16
2026-01-06 08:40:00,2026-01-06 08:45:00,2026-01-06 09:03:00,EXTEND,short,4448.4,4453.0,4453.0,4440.9,False,,4440.9,TP,7.5,70.78,18
2026-01-06 09:00:00,2026-01-06 09:05:00,2026-01-06 09:08:00,BOS,short,4444.7,4449.1,4449.1,4437.5,False,,4449.1,SL,-4.4,-48.31,3
2026-01-06 09:15:00,2026-01-06 09:26:00,2026-01-06 09:53:00,EXTEND,long,4444.1,4437.5,4437.5,4454.8,False,,4454.8,TP,10.7,102.91,27
2026-01-06 11:55:00,2026-01-06 12:00:00,2026-01-06 12:12:00,BOS,long,4476.5,4475.0,4475.0,4478.9,False,,4478.9,TP,2.4,20.1,12
2026-01-06 12:10:00,2026-01-06 12:16:00,2026-01-06 12:25:00,EXTEND,long,4476.8,4475.0,4475.0,4479.7,False,,4475.0,SL,-1.8,-21.95,9
2026-01-06 12:40:00,2026-01-06 12:48:00,2026-01-06 12:51:00,MSS,short,4474.9,4477.0,4477.0,4471.5,False,,4477.0,SL,-2.1,-25.01,3
2026-01-06 13:30:00,2026-01-06 13:37:00,2026-01-06 13:39:00,BOS,long,4480.9,4478.2,4478.2,4485.2,False,,4478.2,SL,-2.7,-30.74,2
2026-01-06 15:05:00,2026-01-06 15:21:00,2026-01-06 15:52:00,BOS,long,4474.8,4471.2,4471.2,4480.6,False,,4471.2,SL,-3.6,-39.91,31
2026-01-06 15:55:00,2026-01-06 16:06:00,2026-01-06 16:22:00,EXTEND,short,4473.2,4477.1,4477.1,4466.8,False,,4477.1,SL,-3.9,-43.35,16
2026-01-06 16:25:00,2026-01-06 16:41:00,2026-01-06 17:10:00,EXTEND,long,4476.4,4470.3,4470.3,4486.2,False,,4470.3,SL,-6.1,-64.74,29
2026-01-06 18:35:00,2026-01-06 18:42:00,2026-01-06 19:32:00,MSS,long,4461.2,4458.3,4458.3,4466.0,False,,4466.0,TP,4.8,43.59,50
2026-01-06 20:15:00,2026-01-06 20:21:00,2026-01-06 20:22:00,MSS,short,4473.9,4475.4,4475.4,4471.6,False,,4475.4,SL,-1.5,-18.52,1
2026-01-06 20:20:00,2026-01-06 20:31:00,2026-01-06 20:34:00,MSS,long,4473.4,4471.6,4471.6,4476.4,False,,4471.6,SL,-1.8,-22.34,3
2026-01-06 20:40:00,2026-01-06 20:56:00,2026-01-06 21:11:00,EXTEND,short,4474.1,4477.1,4477.1,4469.3,False,,4477.1,SL,-3.0,-33.8,15
