signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2025-08-28 08:20:00,2025-08-28 08:34:00,2025-08-28 08:50:00,BOS,long,3423.6,3422.0,3423.6,3426.3,True,2025-08-28 08:41:00,3423.0,BE,-0.6,-10.0,13
2025-08-28 09:30:00,2025-08-28 09:38:00,2025-08-28 09:40:00,BOS,short,3416.6,3418.9,3416.6,3415.7,True,2025-08-28 09:39:00,3415.7,TP,0.9,4.75,2
2025-08-28 09:45:00,2025-08-28 10:03:00,2025-08-28 10:13:00,EXTEND,short,3416.3,3418.9,3416.3,3413.3,True,2025-08-28 10:04:00,3416.7,BE,-0.4,-8.0,10
2025-08-28 12:35:00,2025-08-28 12:43:00,2025-08-28 12:45:00,EXTEND,long,3417.8,3417.2,3417.2,3419.0,False,,3416.8,SL,-1.0,-14.0,2
2025-08-28 13:20:00,2025-08-28 13:31:00,2025-08-28 13:37:00,BOS,short,3416.8,3417.4,3416.8,3415.4,True,2025-08-28 13:33:00,3416.9,BE,-0.1,-5.0,4
2025-08-28 13:55:00,2025-08-28 14:00:00,2025-08-28 14:01:00,MSS,long,3418.1,3415.0,3418.1,3418.2,True,2025-08-28 14:01:00,3418.3,TP,0.2,-2.0,1
2025-08-28 15:05:00,2025-08-28 15:17:00,2025-08-28 16:05:00,EXTEND,short,3423.5,3423.8,3423.5,3419.7,True,2025-08-28 15:18:00,3423.5,BE,0.0,-4.0,41
2025-08-28 16:05:00,2025-08-28 16:14:00,2025-08-28 16:17:00,EXTEND,long,3420.9,3420.0,3420.9,3425.1,True,2025-08-28 16:16:00,3420.9,BE,0.0,-4.0,3
2025-08-28 18:00:00,2025-08-28 18:05:00,2025-08-28 18:06:00,MSS,short,3423.6,3427.3,3423.6,3423.0,True,2025-08-28 18:06:00,3423.7,BE,-0.1,-5.0,1
2025-08-28 18:05:00,2025-08-28 18:35:00,2025-08-28 18:43:00,EXTEND,short,3424.9,3427.3,3424.9,3421.2,True,2025-08-28 18:38:00,3425.0,BE,-0.1,-5.0,5
2025-08-28 19:10:00,2025-08-28 19:16:00,2025-08-28 19:19:00,EXTEND,short,3425.9,3426.9,3426.9,3424.0,False,,3427.1,SL,-1.2,-16.0,2
2025-08-28 20:30:00,2025-08-28 20:35:00,2025-08-28 20:36:00,MSS,short,3431.5,3438.6,3431.5,3428.1,True,2025-08-28 20:36:00,3431.5,BE,0.0,-4.0,1
2025-08-28 21:15:00,2025-08-28 21:20:00,2025-08-28 21:21:00,MSS,long,3431.3,3424.0,3431.3,3432.6,True,2025-08-28 21:21:00,3431.3,BE,0.0,-4.0,1
2025-08-28 22:10:00,2025-08-28 22:26:00,2025-08-28 22:40:00,BOS,long,3437.7,3435.6,3437.7,3441.8,True,2025-08-28 22:27:00,3441.8,TP,4.1,37.23,14
2025-08-29 02:50:00,2025-08-29 02:59:00,2025-08-29 03:02:00,MSS,long,3449.6,3447.7,3449.6,3450.9,True,2025-08-29 03:00:00,3449.5,BE,-0.1,-5.0,3
2025-08-29 03:35:00,2025-08-29 03:48:00,2025-08-29 04:08:00,EXTEND,short,3448.8,3450.1,3448.8,3446.4,True,2025-08-29 04:01:00,3449.0,BE,-0.2,-6.0,18
2025-08-29 07:00:00,2025-08-29 07:21:00,2025-08-29 07:22:00,EXTEND,long,3447.1,3446.6,3447.1,3447.7,True,2025-08-29 07:22:00,3447.1,BE,0.0,-4.0,1
2025-08-29 09:30:00,2025-08-29 09:40:00,2025-08-29 09:44:00,MSS,long,3442.2,3441.6,3442.2,3444.0,True,2025-08-29 09:42:00,3444.0,TP,1.8,14.13,4
