signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-03-04 03:00:00,2026-03-04 03:05:00,2026-03-04 03:08:00,BOS,long,5149.3,5141.8,5141.8,5166.7,False,,5141.8,SL,-7.5,-78.87,3
2026-03-04 08:00:00,2026-03-04 08:12:00,2026-03-04 08:20:00,MSS,short,5127.7,5136.0,5136.0,5108.6,False,,5136.0,SL,-8.3,-86.51,8
2026-03-04 08:45:00,2026-03-04 08:54:00,2026-03-04 09:00:00,EXTEND,long,5137.6,5130.6,5137.6,5154.0,True,2026-03-04 08:58:00,5154.0,TP,16.3,159.39,6
2026-03-04 10:10:00,2026-03-04 10:24:00,2026-03-04 10:35:00,EXTEND,long,5186.2,5177.4,5177.4,5206.7,False,,5177.4,SL,-8.8,-92.24,11
2026-03-04 12:10:00,2026-03-04 12:23:00,2026-03-04 12:42:00,EXTEND,long,5172.8,5162.3,5162.3,5197.2,False,,5162.3,SL,-10.5,-109.05,19
2026-03-04 12:40:00,2026-03-04 12:46:00,2026-03-04 13:11:00,MSS,short,5172.8,5180.5,5172.8,5155.0,True,2026-03-04 12:47:00,5172.8,BE,0.0,-4.0,25
2026-03-04 14:05:00,2026-03-04 14:12:00,2026-03-04 14:34:00,EXTEND,short,5158.7,5177.3,5158.7,5115.3,True,2026-03-04 14:23:00,5158.7,BE,0.0,-4.0,22
2026-03-04 15:45:00,2026-03-04 15:57:00,2026-03-04 16:03:00,BOS,long,5178.4,5173.7,5173.7,5189.3,False,,5173.7,SL,-4.7,-50.99,6
2026-03-04 16:05:00,2026-03-04 16:23:00,2026-03-04 16:44:00,EXTEND,short,5175.2,5186.0,5186.0,5150.1,False,,5186.0,SL,-10.8,-112.11,21
2026-03-04 16:45:00,2026-03-04 17:00:00,2026-03-04 18:08:00,MSS,long,5171.1,5157.7,5171.1,5202.4,True,2026-03-04 17:18:00,5202.4,TP,31.3,308.58,68
2026-03-04 18:15:00,2026-03-04 18:30:00,2026-03-04 20:16:00,EXTEND,long,5197.5,5187.0,5197.5,5222.1,True,2026-03-04 19:14:00,5197.5,BE,0.0,-4.0,106
2026-03-04 21:10:00,2026-03-04 21:56:00,2026-03-04 22:25:00,EXTEND,long,5184.9,5170.9,5170.9,5217.4,False,,5170.9,SL,-14.0,-143.81,29
2026-03-04 22:25:00,2026-03-04 22:32:00,2026-03-04 22:41:00,EXTEND,short,5190.3,5203.4,5190.3,5160.0,True,2026-03-04 22:40:00,5190.3,BE,0.0,-4.0,9
2026-03-04 23:10:00,2026-03-04 23:22:00,2026-03-04 23:35:00,BOS,short,5160.6,5173.3,5173.3,5131.1,False,,5173.3,SL,-12.7,-130.82,13
2026-03-05 00:20:00,2026-03-05 00:34:00,2026-03-05 00:46:00,BOS,short,5163.6,5172.9,5163.6,5142.0,True,2026-03-05 00:45:00,5163.6,BE,0.0,-4.0,12
2026-03-05 01:20:00,2026-03-05 01:25:00,2026-03-05 02:20:00,BOS,short,5150.3,5161.9,5150.3,5123.3,True,2026-03-05 02:10:00,5123.3,TP,27.0,265.95,55
2026-03-05 03:30:00,2026-03-05 03:41:00,2026-03-05 03:55:00,EXTEND,short,5142.2,5147.7,5147.7,5129.4,False,,5147.7,SL,-5.5,-59.01,14
2026-03-05 08:20:00,2026-03-05 08:48:00,2026-03-05 08:58:00,EXTEND,long,5178.5,5170.6,5178.5,5196.8,True,2026-03-05 08:49:00,5178.5,BE,0.0,-4.0,10
2026-03-05 09:10:00,2026-03-05 09:20:00,2026-03-05 09:42:00,EXTEND,long,5185.4,5177.7,5177.7,5203.4,False,,5177.7,SL,-7.7,-81.16,22
2026-03-05 10:20:00,2026-03-05 10:39:00,2026-03-05 10:58:00,EXTEND,long,5187.9,5182.0,5187.9,5201.6,True,2026-03-05 10:50:00,5201.6,TP,13.7,132.75,19
2026-03-05 11:05:00,2026-03-05 11:30:00,2026-03-05 11:56:00,EXTEND,long,5191.4,5183.3,5191.4,5210.2,True,2026-03-05 11:36:00,5191.4,BE,0.0,-4.0,26
