signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-03-04 03:00:00,2026-03-04 03:05:00,2026-03-04 03:08:00,BOS,long,5149.3,5141.8,5141.8,5166.7,False,,5141.8,SL,-7.5,-78.87,3
2026-03-04 08:00:00,2026-03-04 08:12:00,2026-03-04 08:20:00,MSS,short,5127.7,5136.0,5136.0,5108.6,False,,5136.0,SL,-8.3,-86.51,8
2026-03-04 08:45:00,2026-03-04 08:54:00,2026-03-04 09:00:00,EXTEND,long,5137.6,5130.6,5130.6,5154.0,False,,5154.0,TP,16.3,159.39,6
2026-03-04 10:10:00,2026-03-04 10:24:00,2026-03-04 10:35:00,EXTEND,long,5186.2,5177.4,5177.4,5206.7,False,,5177.4,SL,-8.8,-92.24,11
2026-03-04 12:10:00,2026-03-04 12:23:00,2026-03-04 12:42:00,EXTEND,long,5172.8,5162.3,5162.3,5197.2,False,,5162.3,SL,-10.5,-109.05,19
2026-03-04 12:40:00,2026-03-04 12:46:00,2026-03-04 14:01:00,MSS,short,5172.8,5180.5,5180.5,5155.0,False,,5155.0,TP,17.8,174.49,75
2026-03-04 14:05:00,2026-03-04 14:12:00,2026-03-04 15:02:00,EXTEND,short,5158.7,5177.3,5177.3,5115.3,False,,5177.3,SL,-18.6,-190.42,50
2026-03-04 15:45:00,2026-03-04 15:57:00,2026-03-04 16:03:00,BOS,long,5178.4,5173.7,5173.7,5189.3,False,,5173.7,SL,-4.7,-50.99,6
2026-03-04 16:05:00,2026-03-04 16:23:00,2026-03-04 16:44:00,EXTEND,short,5175.2,5186.0,5186.0,5150.1,False,,5186.0,SL,-10.8,-112.11,21
2026-03-05 08:20:00,2026-03-05 08:48:00,2026-03-05 09:10:00,EXTEND,long,5178.5,5170.6,5170.6,5196.8,False,,5196.8,TP,18.3,178.93,22
2026-03-05 09:10:00,2026-03-05 09:20:00,2026-03-05 09:42:00,EXTEND,long,5185.4,5177.7,5177.7,5203.4,False,,5177.7,SL,-7.7,-81.16,22
2026-03-05 10:20:00,2026-03-05 10:39:00,2026-03-05 10:58:00,EXTEND,long,5187.9,5182.0,5182.0,5201.6,False,,5201.6,TP,13.7,132.75,19
2026-03-05 11:05:00,2026-03-05 11:30:00,2026-03-05 12:44:00,EXTEND,long,5191.4,5183.3,5183.3,5210.2,False,,5183.3,SL,-8.1,-84.98,74
2026-03-05 14:10:00,2026-03-05 14:37:00,2026-03-05 15:02:00,EXTEND,short,5159.7,5178.4,5178.4,5116.2,False,,5178.4,SL,-18.7,-191.18,25
2026-03-05 16:20:00,2026-03-05 16:35:00,2026-03-05 16:45:00,EXTEND,short,5164.3,5175.4,5175.4,5138.4,False,,5175.4,SL,-11.1,-115.16,10
2026-03-05 17:10:00,2026-03-05 17:26:00,2026-03-05 17:39:00,EXTEND,long,5179.4,5171.5,5171.5,5197.9,False,,5171.5,SL,-7.9,-83.46,13
2026-03-05 19:40:00,2026-03-05 19:48:00,2026-03-05 20:03:00,EXTEND,short,5173.8,5178.2,5178.2,5163.7,False,,5178.2,SL,-4.4,-47.55,15
2026-03-05 20:10:00,2026-03-05 20:17:00,2026-03-05 21:00:00,EXTEND,long,5175.4,5171.0,5171.0,5185.7,False,,5171.0,SL,-4.4,-48.31,43
2026-03-06 07:00:00,2026-03-06 07:06:00,2026-03-06 08:00:00,EXTEND,long,5095.3,5081.9,5081.9,5126.5,False,,5081.9,SL,-13.4,-138.08,54
2026-03-06 08:50:00,2026-03-06 09:00:00,2026-03-06 09:00:00,BOS,long,5089.4,5083.8,5083.8,5102.3,False,,5083.8,SL,-5.6,-59.77,0
2026-03-06 09:00:00,2026-03-06 09:06:00,2026-03-06 09:31:00,MSS,short,5089.1,5098.4,5098.4,5067.5,False,,5098.4,SL,-9.3,-96.83,25
2026-03-06 11:20:00,2026-03-06 11:40:00,2026-03-06 13:31:00,EXTEND,long,5137.7,5130.3,5130.3,5155.1,False,,5130.3,SL,-7.4,-78.49,111
