signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-02-12 21:45:00,2026-02-12 23:40:00,2026-02-12 23:59:00,BOS,long,5068.1,5061.9,5061.9,5075.6,False,,5059.8,SL,-8.3,-87.0,2
2026-02-26 09:00:00,2026-02-26 09:12:00,2026-02-26 09:23:00,BOS,long,5202.9,5196.3,5202.9,5214.0,True,2026-02-26 09:21:00,5202.9,BE,0.0,-4.0,11
2026-02-26 09:30:00,2026-02-26 09:39:00,2026-02-26 10:00:00,EXTEND,short,5200.7,5211.1,5211.1,5194.2,False,,5211.1,SL,-10.4,-108.0,21
2026-02-26 13:25:00,2026-02-26 13:49:00,2026-02-26 15:02:00,EXTEND,long,5210.0,5205.7,5205.7,5221.7,False,,5205.7,SL,-4.3,-47.0,73
2026-02-26 15:05:00,2026-02-26 15:20:00,2026-02-26 15:25:00,BOS,short,5203.9,5211.5,5203.9,5197.6,True,2026-02-26 15:23:00,5203.9,BE,0.0,-4.0,5
2026-02-26 15:50:00,2026-02-26 15:59:00,2026-02-26 16:02:00,EXTEND,short,5202.6,5206.5,5202.6,5196.2,True,2026-02-26 16:01:00,5196.2,TP,6.4,60.0,3
2026-02-26 16:10:00,2026-02-26 16:19:00,2026-02-26 16:27:00,MSS,long,5203.7,5195.8,5195.8,5207.7,False,,5195.8,SL,-7.9,-83.0,8
2026-02-26 16:45:00,2026-02-26 16:53:00,2026-02-26 18:57:00,EXTEND,short,5194.9,5207.7,5194.9,5183.1,True,2026-02-26 18:36:00,5183.1,TP,11.8,114.0,124
2026-02-26 18:55:00,2026-02-26 19:08:00,2026-02-26 19:54:00,EXTEND,short,5191.4,5194.7,5191.4,5181.0,True,2026-02-26 19:51:00,5181.0,TP,10.4,100.0,46
2026-02-26 20:00:00,2026-02-26 20:13:00,2026-02-26 20:23:00,EXTEND,short,5183.7,5191.6,5191.6,5173.1,False,,5191.6,SL,-7.9,-83.0,10
2026-02-26 21:10:00,2026-02-26 21:23:00,2026-02-26 21:30:00,EXTEND,short,5191.7,5200.9,5191.7,5184.5,True,2026-02-26 21:30:00,5184.5,TP,7.2,68.0,7
2026-02-26 22:25:00,2026-02-26 22:34:00,2026-02-26 22:36:00,EXTEND,long,5181.6,5175.9,5181.6,5188.7,True,2026-02-26 22:35:00,5188.7,TP,7.1,67.0,2
2026-02-26 22:35:00,2026-02-26 22:42:00,2026-02-26 22:45:00,EXTEND,long,5182.0,5175.9,5182.0,5191.2,True,2026-02-26 22:43:00,5182.0,BE,0.0,-4.0,3
2026-02-26 22:45:00,2026-02-26 22:54:00,2026-02-26 23:01:00,EXTEND,long,5185.1,5175.9,5175.9,5192.5,False,,5175.9,SL,-9.2,-96.0,7
2026-02-26 23:40:00,2026-02-26 23:45:00,2026-02-26 23:46:00,MSS,long,5195.5,5145.2,5195.5,5192.8,True,2026-02-26 23:46:00,5195.6,TP,0.1,-3.0,1
2026-02-27 01:45:00,2026-02-27 01:53:00,2026-02-27 01:54:00,BOS,short,5183.3,5194.9,5183.3,5181.4,True,2026-02-27 01:54:00,5183.3,BE,0.0,-4.0,1
2026-02-27 02:10:00,2026-02-27 02:15:00,2026-02-27 02:16:00,MSS,long,5192.3,5180.4,5192.3,5190.6,True,2026-02-27 02:16:00,5192.3,BE,0.0,-4.0,1
2026-02-27 02:30:00,2026-02-27 02:36:00,2026-02-27 02:43:00,EXTEND,long,5187.9,5180.4,5187.9,5197.8,True,2026-02-27 02:39:00,5197.8,TP,9.9,95.0,7
2026-02-27 03:45:00,2026-02-27 07:00:00,2026-02-27 07:01:00,BOS,long,5206.8,5200.3,5200.3,5211.4,False,,5200.3,SL,-6.5,-69.0,1
2026-02-27 07:00:00,2026-02-27 07:08:00,2026-02-27 07:09:00,BOS,short,5196.6,5208.6,5196.6,5192.1,True,2026-02-27 07:09:00,5196.6,BE,0.0,-4.0,1
2026-02-27 08:15:00,2026-02-27 08:20:00,2026-02-27 08:21:00,MSS,long,5208.0,5195.3,5208.0,5207.0,True,2026-02-27 08:21:00,5208.0,BE,0.0,-4.0,1
2026-02-27 08:35:00,2026-02-27 08:41:00,2026-02-27 08:42:00,MSS,short,5188.5,5211.5,5188.5,5187.3,True,2026-02-27 08:42:00,5188.5,BE,0.0,-4.0,1
2026-02-27 11:30:00,2026-02-27 11:39:00,2026-02-27 11:44:00,EXTEND,long,5203.0,5197.7,5203.0,5205.8,True,2026-02-27 11:42:00,5203.0,BE,0.0,-4.0,5
2026-02-27 11:45:00,2026-02-27 12:02:00,2026-02-27 12:20:00,BOS,long,5202.5,5200.0,5200.0,5207.4,False,,5200.0,SL,-2.5,-29.0,18
2026-02-27 12:25:00,2026-02-27 12:32:00,2026-02-27 12:39:00,EXTEND,long,5203.9,5200.7,5203.9,5205.5,True,2026-02-27 12:36:00,5203.9,BE,0.0,-4.0,7
