signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-01-03 03:40:00,2026-01-03 03:47:00,2026-01-03 04:28:00,EXTEND,long,4331.8,4326.4,4331.8,4339.0,True,2026-01-03 04:20:00,4339.0,TP,7.2,67.73,41
2026-01-05 09:05:00,2026-01-05 09:14:00,2026-01-05 11:33:00,EXTEND,long,4412.3,4394.6,4412.3,4440.7,True,2026-01-05 11:05:00,4412.3,BE,0.0,-4.0,139
2026-01-05 12:20:00,2026-01-05 12:27:00,2026-01-05 12:28:00,MSS,long,4414.3,4407.6,4414.3,4417.8,True,2026-01-05 12:28:00,4414.3,BE,0.0,-4.0,1
2026-01-05 13:25:00,2026-01-05 13:33:00,2026-01-05 13:34:00,BOS,long,4421.0,4416.0,4421.0,4423.6,True,2026-01-05 13:34:00,4421.0,BE,0.0,-4.0,1
2026-01-05 13:30:00,2026-01-05 13:38:00,2026-01-05 13:43:00,EXTEND,long,4420.5,4416.0,4416.0,4425.7,False,,4416.0,SL,-4.5,-49.0,5
2026-01-05 13:45:00,2026-01-05 13:55:00,2026-01-05 14:01:00,EXTEND,short,4418.2,4423.6,4423.6,4406.5,False,,4423.6,SL,-5.4,-58.0,6
2026-01-05 15:40:00,2026-01-05 15:56:00,2026-01-05 16:01:00,BOS,long,4431.8,4428.1,4431.8,4436.6,True,2026-01-05 16:00:00,4431.8,BE,0.0,-4.0,5
2026-01-05 16:50:00,2026-01-05 17:12:00,2026-01-05 17:43:00,EXTEND,long,4439.2,4433.5,4439.2,4447.0,True,2026-01-05 17:14:00,4447.0,TP,7.8,73.62,31
2026-01-05 17:40:00,2026-01-05 18:06:00,2026-01-05 18:54:00,BOS,long,4443.5,4441.7,4443.5,4451.4,True,2026-01-05 18:33:00,4451.4,TP,7.9,74.52,48
2026-01-05 19:00:00,2026-01-05 19:05:00,2026-01-05 19:06:00,MSS,short,4442.5,4451.6,4442.5,4440.8,True,2026-01-05 19:06:00,4442.5,BE,0.0,-4.0,1
2026-01-05 19:25:00,2026-01-05 19:51:00,2026-01-05 21:22:00,EXTEND,short,4433.8,4445.4,4433.8,4415.7,True,2026-01-05 20:21:00,4415.7,TP,18.1,177.18,91
2026-01-05 21:30:00,2026-01-05 21:37:00,2026-01-05 21:40:00,EXTEND,short,4419.9,4424.8,4424.8,4401.8,False,,4424.8,SL,-4.9,-53.0,3
2026-01-06 01:00:00,2026-01-06 01:07:00,2026-01-06 01:08:00,MSS,short,4447.4,4465.9,4447.4,4438.3,True,2026-01-06 01:08:00,4447.7,BE,-0.3,-7.0,1
2026-01-06 01:05:00,2026-01-06 01:20:00,2026-01-06 01:50:00,EXTEND,short,4455.1,4465.9,4455.1,4437.1,True,2026-01-06 01:44:00,4455.1,BE,0.0,-4.0,30
2026-01-06 02:15:00,2026-01-06 02:23:00,2026-01-06 02:26:00,EXTEND,long,4455.2,4452.3,4452.3,4461.3,False,,4452.3,SL,-2.9,-33.0,3
2026-01-06 02:25:00,2026-01-06 02:40:00,2026-01-06 02:59:00,MSS,short,4454.5,4459.4,4459.4,4448.1,False,,4459.4,SL,-4.9,-53.0,19
2026-01-06 03:10:00,2026-01-06 03:17:00,2026-01-06 03:18:00,EXTEND,short,4449.1,4460.7,4449.1,4441.5,True,2026-01-06 03:18:00,4449.1,BE,0.0,-4.0,1
2026-01-06 07:10:00,2026-01-06 07:18:00,2026-01-06 07:31:00,EXTEND,long,4463.6,4456.3,4456.3,4475.4,False,,4456.3,SL,-7.3,-77.0,13
2026-01-06 08:40:00,2026-01-06 08:49:00,2026-01-06 09:03:00,EXTEND,short,4447.3,4453.0,4447.3,4437.6,True,2026-01-06 09:02:00,4437.6,TP,9.7,92.67,14
2026-01-06 09:00:00,2026-01-06 09:09:00,2026-01-06 09:10:00,BOS,short,4446.5,4449.1,4449.1,4434.4,False,,4449.1,SL,-2.6,-30.0,1
2026-01-06 09:15:00,2026-01-06 09:28:00,2026-01-06 09:56:00,EXTEND,long,4447.0,4437.5,4447.0,4459.5,True,2026-01-06 09:40:00,4459.5,TP,12.5,120.71,28
2026-01-06 11:55:00,2026-01-06 12:03:00,2026-01-06 12:13:00,BOS,long,4477.3,4475.0,4477.3,4480.0,True,2026-01-06 12:12:00,4477.3,BE,0.0,-4.0,10
2026-01-06 12:10:00,2026-01-06 12:21:00,2026-01-06 12:25:00,EXTEND,long,4477.0,4475.0,4475.0,4481.0,False,,4475.0,SL,-2.0,-24.0,4
2026-01-06 12:50:00,2026-01-06 12:55:00,2026-01-06 12:56:00,MSS,long,4478.3,4471.5,4478.3,4479.8,True,2026-01-06 12:56:00,4478.1,BE,-0.2,-6.0,1
2026-01-06 13:40:00,2026-01-06 13:46:00,2026-01-06 13:47:00,EXTEND,short,4472.6,4485.2,4472.6,4468.7,True,2026-01-06 13:47:00,4472.6,BE,0.0,-4.0,1
2026-01-06 15:05:00,2026-01-06 15:27:00,2026-01-06 15:52:00,BOS,long,4474.2,4471.2,4471.2,4483.1,False,,4471.2,SL,-3.0,-34.0,25
2026-01-06 15:55:00,2026-01-06 16:11:00,2026-01-06 16:22:00,EXTEND,short,4470.9,4477.1,4477.1,4464.0,False,,4477.1,SL,-6.2,-66.0,11
2026-01-06 16:25:00,2026-01-06 16:46:00,2026-01-06 17:10:00,EXTEND,long,4476.9,4470.3,4470.3,4490.5,False,,4470.3,SL,-6.6,-70.0,24
2026-01-06 18:35:00,2026-01-06 18:48:00,2026-01-06 19:33:00,MSS,long,4461.7,4458.3,4461.7,4468.1,True,2026-01-06 19:29:00,4468.1,TP,6.4,59.79,45
2026-01-06 20:30:00,2026-01-06 20:37:00,2026-01-06 20:39:00,EXTEND,long,4472.9,4471.6,4471.6,4478.6,False,,4471.6,SL,-1.3,-17.0,2
2026-01-06 20:40:00,2026-01-06 20:58:00,2026-01-06 21:03:00,EXTEND,short,4473.3,4477.1,4473.3,4467.2,True,2026-01-06 21:02:00,4473.3,BE,0.0,-4.0,5
2026-01-06 21:00:00,2026-01-06 21:09:00,2026-01-06 21:10:00,EXTEND,long,4474.9,4470.0,4474.9,4478.3,True,2026-01-06 21:10:00,4474.9,BE,0.0,-4.0,1
2026-01-06 21:15:00,2026-01-06 21:27:00,2026-01-06 21:28:00,BOS,long,4470.6,4470.1,4470.1,4484.5,False,,4470.1,SL,-0.5,-9.0,1
2026-01-06 23:00:00,2026-01-06 23:06:00,2026-01-06 23:08:00,EXTEND,long,4496.9,4486.7,4496.9,4505.9,True,2026-01-06 23:08:00,4496.9,BE,0.0,-4.0,2
2026-01-06 23:35:00,2026-01-06 23:50:00,2026-01-07 00:01:00,EXTEND,short,4487.0,4492.8,4492.8,4467.7,False,,4492.8,SL,-5.8,-62.0,11
2026-01-07 01:55:00,2026-01-07 02:08:00,2026-01-07 02:24:00,EXTEND,long,4499.2,4491.4,4499.2,4505.4,True,2026-01-07 02:10:00,4499.2,BE,0.0,-4.0,16
2026-01-07 07:05:00,2026-01-07 07:14:00,2026-01-07 07:17:00,EXTEND,long,4508.5,4504.8,4508.5,4512.0,True,2026-01-07 07:15:00,4508.5,BE,0.0,-4.0,3
2026-01-07 07:25:00,2026-01-07 07:43:00,2026-01-07 07:49:00,EXTEND,long,4507.7,4505.4,4505.4,4514.0,False,,4505.4,SL,-2.3,-27.0,6
