signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2025-12-30 09:00:00,2025-12-30 09:07:00,2025-12-30 09:10:00,BOS,short,4350.5,4356.0,4350.5,4341.7,True,2025-12-30 09:08:00,4350.5,BE,0.0,-4.0,3
2025-12-30 09:15:00,2025-12-30 09:32:00,2025-12-30 09:41:00,MSS,long,4346.4,4339.0,4346.4,4358.4,True,2025-12-30 09:33:00,4358.4,TP,12.0,115.89,9
2025-12-30 11:30:00,2025-12-30 11:52:00,2025-12-30 12:04:00,EXTEND,long,4375.3,4370.5,4375.3,4383.0,True,2025-12-30 12:02:00,4375.3,BE,0.0,-4.0,12
2025-12-30 12:40:00,2025-12-30 12:50:00,2025-12-30 13:01:00,EXTEND,long,4379.1,4376.1,4376.1,4384.0,False,,4376.1,SL,-3.0,-34.18,11
2025-12-30 13:05:00,2025-12-30 13:12:00,2025-12-30 13:14:00,MSS,short,4377.1,4379.4,4379.4,4373.3,False,,4379.4,SL,-2.3,-27.3,2
2025-12-30 14:40:00,2025-12-30 14:48:00,2025-12-30 15:07:00,EXTEND,short,4380.9,4384.6,4380.9,4375.0,True,2025-12-30 14:51:00,4375.0,TP,5.9,55.33,19
2025-12-30 15:05:00,2025-12-30 15:13:00,2025-12-30 15:15:00,EXTEND,short,4380.7,4384.6,4384.6,4374.5,False,,4384.6,SL,-3.9,-42.58,2
2025-12-30 15:50:00,2025-12-30 15:56:00,2025-12-30 16:03:00,EXTEND,long,4387.6,4380.8,4380.8,4398.5,False,,4380.8,SL,-6.8,-71.61,7
2025-12-30 17:55:00,2025-12-30 18:04:00,2025-12-30 18:12:00,EXTEND,long,4385.4,4382.8,4385.4,4389.5,True,2025-12-30 18:05:00,4389.5,TP,4.1,37.41,8
2025-12-30 19:10:00,2025-12-30 19:48:00,2025-12-30 20:00:00,EXTEND,long,4398.8,4394.4,4398.8,4406.0,True,2025-12-30 19:57:00,4398.8,BE,0.0,-4.0,12
2025-12-30 20:40:00,2025-12-30 20:52:00,2025-12-30 21:00:00,EXTEND,long,4411.8,4407.5,4411.8,4418.8,True,2025-12-30 20:52:00,4418.8,TP,7.0,65.83,8
2025-12-30 21:00:00,2025-12-30 21:15:00,2025-12-30 21:18:00,EXTEND,long,4412.5,4407.5,4412.5,4420.5,True,2025-12-30 21:16:00,4412.5,BE,0.0,-4.0,3
2025-12-30 21:40:00,2025-12-30 22:00:00,2025-12-30 22:08:00,EXTEND,short,4405.0,4413.7,4405.0,4391.0,True,2025-12-30 22:02:00,4405.0,BE,0.0,-4.0,8
2025-12-30 22:25:00,2025-12-30 22:32:00,2025-12-30 22:33:00,MSS,long,4400.3,4396.2,4396.2,4407.0,False,,4396.2,SL,-4.1,-45.26,1
2025-12-30 22:45:00,2025-12-30 23:20:00,2025-12-31 00:58:00,EXTEND,short,4393.6,4407.8,4393.6,4370.7,True,2025-12-30 23:21:00,4393.6,BE,0.0,-4.0,98
