signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2025-10-30 08:45:00,2025-10-30 09:08:00,2025-10-30 10:05:00,EXTEND,short,3970.6,3977.0,3977.0,3948.8,False,,3948.8,TP,21.8,214.0,57
2025-10-30 11:00:00,2025-10-30 11:21:00,2025-10-30 12:02:00,EXTEND,short,3941.2,3953.9,3953.9,3927.8,False,,3953.9,SL,-12.7,-131.0,41
2025-10-30 13:30:00,2025-10-30 13:52:00,2025-10-30 17:00:00,EXTEND,short,3981.1,3991.5,3991.5,3959.3,False,,3991.5,SL,-10.4,-108.0,188
2025-10-30 20:00:00,2025-10-30 20:05:00,2025-10-30 20:14:00,MSS,long,3992.5,3982.0,3982.0,3993.8,False,,3993.8,TP,1.3,9.0,9
2025-10-30 20:30:00,2025-10-30 20:37:00,2025-10-30 20:58:00,EXTEND,short,3985.8,3997.7,3997.7,3977.8,False,,3977.8,TP,8.0,76.0,21
2025-10-30 21:00:00,2025-10-30 21:07:00,2025-10-30 21:46:00,EXTEND,short,3984.7,3992.8,3992.8,3970.5,False,,3992.8,SL,-8.1,-85.0,39
2025-10-30 23:10:00,2025-10-30 23:27:00,2025-10-30 23:43:00,BOS,long,4010.9,4001.5,4001.5,4018.5,False,,4018.5,TP,7.6,72.0,16
2025-10-31 00:25:00,2025-10-31 00:46:00,2025-10-31 01:41:00,EXTEND,short,4015.0,4022.2,4022.2,4004.5,False,,4022.2,SL,-7.2,-76.0,55
2025-10-31 01:45:00,2025-10-31 02:07:00,2025-10-31 03:04:00,EXTEND,long,4017.3,4007.8,4007.8,4031.8,False,,4031.8,TP,14.5,141.0,57
2025-10-31 06:55:00,2025-10-31 07:06:00,2025-10-31 07:13:00,EXTEND,long,4047.6,4034.9,4034.9,4059.7,False,,4034.9,SL,-12.7,-131.0,7
2025-10-31 08:25:00,2025-10-31 08:38:00,2025-10-31 08:46:00,MSS,short,4038.9,4047.2,4047.2,4037.8,False,,4037.8,TP,1.1,7.0,8
2025-10-31 09:05:00,2025-10-31 09:10:00,2025-10-31 09:11:00,MSS,long,4050.6,4031.4,4031.4,4048.7,False,,4050.6,TP,0.0,-4.0,1
2025-10-31 09:40:00,2025-10-31 09:46:00,2025-10-31 09:47:00,MSS,short,4036.4,4049.3,4049.3,4036.5,False,,4036.2,TP,0.2,-2.0,1
2025-10-31 11:35:00,2025-10-31 11:47:00,2025-10-31 11:55:00,MSS,long,4009.6,4007.3,4007.3,4016.0,False,,4007.3,SL,-2.3,-27.0,8
