break_mode,days,variant,entry_mode,tp_mode,be_mode,actual_days,signals,trades,wins,losses,be_exits,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown,winning_days,losing_days,skipped
Loose,30,limit_wave_end_no_be,limit,wave_end,no_be,28.83,723,294,110,184,0,37.41,-806.99,9618.26,-10425.25,0.92,-1965.87,10,13,789
Loose,30,limit_wave_end_be_236,limit,wave_end,be_236,28.83,723,319,102,217,57,31.97,-448.9,8707.2,-9156.09,0.95,-1812.58,9,14,696
Loose,30,limit_wave_end_be_500,limit,wave_end,be_500,28.83,723,408,74,334,215,18.14,-1062.98,5709.42,-6772.4,0.84,-1435.7,8,15,414
Loose,30,limit_ext_027_no_be,limit,ext_027,no_be,28.83,723,224,66,158,0,29.46,-150.35,9040.94,-9191.3,0.98,-1457.92,10,13,1007
Loose,30,limit_ext_027_be_236,limit,ext_027,be_236,28.83,723,300,65,235,85,21.67,-896.04,7747.39,-8643.43,0.9,-1818.73,9,14,763
Loose,30,limit_ext_027_be_500,limit,ext_027,be_500,28.83,723,389,46,343,233,11.83,-1302.39,5187.8,-6490.19,0.8,-2008.78,9,14,463
Loose,30,engulf_wave_end_no_be,engulf,wave_end,no_be,28.83,723,312,132,180,0,42.31,-945.0,7544.0,-8489.0,0.89,-1483.0,11,12,606
Loose,30,engulf_wave_end_be_236,engulf,wave_end,be_236,28.83,723,357,83,274,139,23.25,-1231.0,5605.0,-6836.0,0.82,-1754.0,9,14,437
Loose,30,engulf_wave_end_be_500,engulf,wave_end,be_500,28.83,723,417,27,390,291,6.47,-3046.0,1360.0,-4406.0,0.31,-3214.0,3,20,232
Loose,30,engulf_ext_027_no_be,engulf,ext_027,no_be,28.83,723,229,98,131,0,42.79,-764.9,7827.38,-8592.28,0.91,-1771.56,11,12,914
Loose,30,engulf_ext_027_be_236,engulf,ext_027,be_236,28.83,723,315,43,272,173,13.65,-1556.67,4501.63,-6058.3,0.74,-1895.87,7,16,609
Loose,30,engulf_ext_027_be_500,engulf,ext_027,be_500,28.83,723,403,16,387,307,3.97,-3233.73,1054.57,-4288.3,0.25,-3259.73,3,20,297
Loose,60,limit_wave_end_no_be,limit,wave_end,no_be,59.92,849,359,144,215,0,40.11,0.28,12152.02,-12151.74,1.0,-1965.87,13,15,864
Loose,60,limit_wave_end_be_236,limit,wave_end,be_236,59.92,849,384,134,250,63,34.9,408.83,11134.01,-10725.18,1.04,-1812.58,12,16,771
Loose,60,limit_wave_end_be_500,limit,wave_end,be_500,59.92,849,478,93,385,248,19.46,-717.87,7204.99,-7922.87,0.91,-1495.37,10,18,469
Loose,60,limit_ext_027_no_be,limit,ext_027,no_be,59.92,849,279,90,189,0,32.26,1024.78,11946.38,-10921.61,1.09,-1457.92,13,15,1110
Loose,60,limit_ext_027_be_236,limit,ext_027,be_236,59.92,849,359,86,273,98,23.96,56.21,10179.09,-10122.88,1.01,-1818.73,12,16,857
Loose,60,limit_ext_027_be_500,limit,ext_027,be_500,59.92,849,452,59,393,267,13.05,-846.99,6680.03,-7527.03,0.89,-2008.78,12,16,533
Loose,60,engulf_wave_end_no_be,engulf,wave_end,no_be,59.92,849,378,174,204,0,46.03,414.0,9777.0,-9363.0,1.04,-1483.0,15,13,666
Loose,60,engulf_wave_end_be_236,engulf,wave_end,be_236,59.92,849,423,106,317,170,25.06,-382.0,7166.0,-7548.0,0.95,-1754.0,12,16,494
Loose,60,engulf_wave_end_be_500,engulf,wave_end,be_500,59.92,849,486,35,451,343,7.2,-3009.0,1997.0,-5006.0,0.4,-3261.0,6,22,274
Loose,60,engulf_ext_027_no_be,engulf,ext_027,no_be,59.92,849,281,131,150,0,46.62,694.87,10532.15,-9837.28,1.07,-1771.56,14,14,1016
Loose,60,engulf_ext_027_be_236,engulf,ext_027,be_236,59.92,849,379,60,319,210,15.83,-404.05,6367.25,-6771.3,0.94,-1895.87,10,18,678
Loose,60,engulf_ext_027_be_500,engulf,ext_027,be_500,59.92,849,472,24,448,360,5.08,-2905.32,1983.98,-4889.3,0.41,-3301.73,6,22,343
Loose,90,limit_wave_end_no_be,limit,wave_end,no_be,90.0,1539,616,258,358,0,41.88,3861.25,30812.44,-26951.18,1.14,-1965.87,26,25,1617
Loose,90,limit_wave_end_be_236,limit,wave_end,be_236,90.0,1539,667,239,428,115,35.83,5020.3,28583.92,-23563.62,1.21,-1812.58,27,24,1427
Loose,90,limit_wave_end_be_500,limit,wave_end,be_500,90.0,1539,818,156,662,447,19.07,361.54,15946.57,-15585.03,1.02,-1681.98,23,28,938
Loose,90,limit_ext_027_no_be,limit,ext_027,no_be,90.0,1539,465,154,311,0,33.12,3882.23,28069.58,-24187.36,1.16,-1802.53,25,24,2129
Loose,90,limit_ext_027_be_236,limit,ext_027,be_236,90.0,1539,611,156,455,169,25.53,5942.06,27708.86,-21766.8,1.27,-1818.73,26,24,1645
Loose,90,limit_ext_027_be_500,limit,ext_027,be_500,90.0,1539,773,108,665,465,13.97,2135.89,17094.22,-14958.33,1.14,-2008.78,25,26,1062
Loose,90,engulf_wave_end_no_be,engulf,wave_end,no_be,90.0,1539,576,259,317,0,44.97,558.0,20618.0,-20060.0,1.03,-1737.0,25,24,1557
Loose,90,engulf_wave_end_be_236,engulf,wave_end,be_236,90.0,1539,670,174,496,260,25.97,29.0,16643.0,-16614.0,1.0,-1887.0,23,28,1199
Loose,90,engulf_wave_end_be_500,engulf,wave_end,be_500,90.0,1539,842,62,780,604,7.36,-4848.0,4870.0,-9718.0,0.5,-5016.0,11,40,576
Loose,90,engulf_ext_027_no_be,engulf,ext_027,no_be,90.0,1539,451,211,240,0,46.78,2022.47,23601.94,-21579.47,1.09,-1844.85,22,26,2040
Loose,90,engulf_ext_027_be_236,engulf,ext_027,be_236,90.0,1539,619,102,517,329,16.48,412.6,16205.9,-15793.3,1.03,-2119.41,20,30,1431
Loose,90,engulf_ext_027_be_500,engulf,ext_027,be_500,90.0,1539,825,44,781,638,5.33,-3839.31,5800.99,-9640.3,0.6,-4058.32,13,38,662
Loose,120,limit_wave_end_no_be,limit,wave_end,no_be,119.79,1712,679,282,397,0,41.53,3789.79,33951.05,-30161.26,1.13,-1965.87,27,30,1765
Loose,120,limit_wave_end_be_236,limit,wave_end,be_236,119.79,1712,733,260,473,125,35.47,5015.68,31526.88,-26511.2,1.19,-1812.58,28,29,1573
Loose,120,limit_wave_end_be_500,limit,wave_end,be_500,119.79,1712,893,170,723,489,19.04,281.43,17654.96,-17373.53,1.02,-1681.98,25,32,1019
Loose,120,limit_ext_027_no_be,limit,ext_027,no_be,119.79,1712,518,172,346,0,33.2,5092.37,32286.62,-27194.26,1.19,-2092.45,26,29,2294
