signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-04-07 19:30:00,2026-04-07 22:02:00,2026-04-07 22:06:00,MSS,long,4628.8,4616.5,4616.5,4648.8,False,,4616.5,SL,-12.3,-127.39,1
2026-04-29 08:50:00,2026-04-29 08:57:00,2026-04-29 09:00:00,BOS,short,4615.2,4618.7,4615.2,4609.5,True,2026-04-29 08:59:00,4609.5,TP,5.7,52.86,3
2026-04-29 09:40:00,2026-04-29 09:48:00,2026-04-29 10:01:00,MSS,long,4597.3,4592.4,4597.3,4605.3,True,2026-04-29 10:00:00,4605.3,TP,8.0,75.72,13
2026-04-29 10:35:00,2026-04-29 10:48:00,2026-04-29 10:50:00,MSS,short,4614.0,4616.9,4614.0,4609.2,True,2026-04-29 10:49:00,4614.0,BE,0.0,-4.0,2
2026-04-29 10:50:00,2026-04-29 11:05:00,2026-04-29 11:06:00,BOS,short,4611.5,4614.8,4611.5,4606.2,True,2026-04-29 11:06:00,4611.5,BE,0.0,-4.0,1
2026-04-29 11:10:00,2026-04-29 11:33:00,2026-04-29 11:37:00,MSS,long,4609.6,4605.4,4609.6,4616.4,True,2026-04-29 11:35:00,4609.6,BE,0.0,-4.0,4
2026-04-29 13:30:00,2026-04-29 13:51:00,2026-04-29 13:56:00,BOS,short,4616.3,4621.3,4616.3,4608.2,True,2026-04-29 13:52:00,4608.2,TP,8.1,76.96,5
2026-04-29 13:55:00,2026-04-29 14:01:00,2026-04-29 14:05:00,BOS,short,4612.0,4616.9,4612.0,4604.2,True,2026-04-29 14:02:00,4612.0,BE,0.0,-4.0,4
2026-04-29 15:00:00,2026-04-29 15:06:00,2026-04-29 15:07:00,MSS,long,4598.1,4594.9,4598.1,4603.3,True,2026-04-29 15:07:00,4598.1,BE,0.0,-4.0,1
2026-04-29 16:10:00,2026-04-29 16:19:00,2026-04-29 16:25:00,BOS,short,4583.3,4586.8,4583.3,4577.6,True,2026-04-29 16:23:00,4583.3,BE,0.0,-4.0,6
2026-04-29 16:30:00,2026-04-29 16:44:00,2026-04-29 16:46:00,BOS,short,4581.2,4584.9,4584.9,4575.1,False,,4584.9,SL,-3.7,-41.44,2
2026-04-29 17:15:00,2026-04-29 17:22:00,2026-04-29 17:25:00,BOS,long,4588.0,4584.5,4584.5,4593.6,False,,4584.5,SL,-3.5,-38.76,3
2026-04-29 17:40:00,2026-04-29 18:09:00,2026-04-29 18:12:00,BOS,short,4578.6,4582.8,4578.6,4571.9,True,2026-04-29 18:11:00,4578.6,BE,0.0,-4.0,3
2026-04-29 18:15:00,2026-04-29 19:53:00,2026-04-29 20:26:00,MSS,long,4572.7,4564.1,4572.7,4586.5,True,2026-04-29 19:58:00,4572.7,BE,0.0,-4.0,33
2026-04-29 22:30:00,2026-04-29 22:46:00,2026-04-29 22:49:00,BOS,long,4547.6,4543.2,4547.6,4554.7,True,2026-04-29 22:49:00,4547.6,BE,0.0,-4.0,3
2026-04-29 23:35:00,2026-04-29 23:53:00,2026-04-29 23:55:00,BOS,long,4557.7,4552.7,4557.7,4565.8,True,2026-04-29 23:54:00,4557.7,BE,0.0,-4.0,2
2026-04-30 00:00:00,2026-04-30 00:34:00,2026-04-30 00:36:00,BOS,long,4563.5,4554.8,4563.5,4577.5,True,2026-04-30 00:36:00,4563.5,BE,0.0,-4.0,2
2026-04-30 01:20:00,2026-04-30 01:25:00,2026-04-30 01:28:00,MSS,long,4564.4,4561.8,4564.4,4568.5,True,2026-04-30 01:26:00,4564.4,BE,0.0,-4.0,3
2026-04-30 01:25:00,2026-04-30 02:01:00,2026-04-30 02:02:00,MSS,short,4565.1,4568.5,4565.1,4559.7,True,2026-04-30 02:01:00,4559.7,TP,5.4,50.38,1
2026-04-30 02:00:00,2026-04-30 02:05:00,2026-04-30 02:09:00,BOS,short,4555.7,4561.8,4555.7,4545.9,True,2026-04-30 02:06:00,4545.9,TP,9.8,94.26,4
2026-04-30 02:30:00,2026-04-30 02:36:00,2026-04-30 02:36:00,BOS,short,4546.6,4554.0,4554.0,4534.5,False,,4554.0,SL,-7.4,-78.49,0
2026-04-30 03:10:00,2026-04-30 03:33:00,2026-04-30 03:41:00,MSS,long,4553.5,4547.3,4553.5,4563.4,True,2026-04-30 03:38:00,4553.5,BE,0.0,-4.0,8
2026-04-30 07:00:00,2026-04-30 07:05:00,2026-04-30 07:07:00,BOS,long,4563.3,4561.5,4563.3,4566.1,True,2026-04-30 07:06:00,4563.3,BE,0.0,-4.0,2
2026-04-30 08:40:00,2026-04-30 09:10:00,2026-04-30 09:12:00,BOS,long,4576.2,4574.3,4576.2,4579.2,True,2026-04-30 09:11:00,4579.2,TP,3.0,26.28,2
2026-04-30 09:25:00,2026-04-30 09:36:00,2026-04-30 09:54:00,BOS,long,4583.3,4577.5,4583.3,4592.8,True,2026-04-30 09:37:00,4592.8,TP,9.5,90.55,18
2026-04-30 09:50:00,2026-04-30 10:04:00,2026-04-30 10:08:00,BOS,long,4588.8,4585.4,4588.8,4594.4,True,2026-04-30 10:06:00,4588.8,BE,0.0,-4.0,4
2026-04-30 17:05:00,2026-04-30 17:10:00,2026-04-30 17:11:00,BOS,long,4629.0,4627.1,4629.0,4632.2,True,2026-04-30 17:11:00,4629.0,BE,0.0,-4.0,1
2026-04-30 17:25:00,2026-04-30 17:41:00,2026-04-30 18:00:00,BOS,long,4631.9,4627.5,4631.9,4639.0,True,2026-04-30 17:47:00,4639.0,TP,7.1,67.07,19
2026-04-30 19:00:00,2026-04-30 19:14:00,2026-04-30 19:16:00,BOS,long,4649.1,4645.3,4649.1,4655.3,True,2026-04-30 19:16:00,4649.1,BE,0.0,-4.0,2
2026-04-30 20:00:00,2026-04-30 20:08:00,2026-04-30 20:15:00,MSS,long,4644.3,4641.0,4644.3,4649.7,True,2026-04-30 20:10:00,4649.7,TP,5.4,49.77,7
