signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-05-04 08:00:00,2026-05-04 08:07:00,2026-05-04 08:21:00,MSS,short,4623.7,4628.6,4628.6,4615.8,False,,4615.8,TP,7.9,75.1,14
2026-05-04 08:20:00,2026-05-04 08:55:00,2026-05-04 09:04:00,BOS,short,4622.6,4628.4,4628.4,4613.2,False,,4613.2,TP,9.4,89.94,9
2026-05-04 09:25:00,2026-05-04 09:40:00,2026-05-04 09:50:00,BOS,short,4611.8,4615.8,4615.8,4605.2,False,,4615.8,SL,-4.0,-44.49,10
2026-05-04 09:50:00,2026-05-04 10:23:00,2026-05-04 10:28:00,MSS,long,4609.0,4603.6,4603.6,4617.8,False,,4603.6,SL,-5.4,-58.24,5
2026-05-04 11:35:00,2026-05-04 11:45:00,2026-05-04 11:46:00,MSS,short,4618.6,4622.6,4622.6,4612.1,False,,4622.6,SL,-4.0,-44.11,1
2026-05-04 12:55:00,2026-05-04 13:19:00,2026-05-04 13:19:00,MSS,short,4619.3,4621.6,4621.6,4615.7,False,,4621.6,SL,-2.3,-26.54,0
2026-05-04 13:15:00,2026-05-04 13:24:00,2026-05-04 13:25:00,MSS,long,4617.1,4612.7,4612.7,4624.3,False,,4612.7,SL,-4.4,-48.31,1
2026-05-04 14:00:00,2026-05-04 14:09:00,2026-05-04 14:23:00,BOS,short,4608.9,4613.1,4613.1,4602.2,False,,4602.2,TP,6.7,63.36,14
2026-05-04 16:35:00,2026-05-04 16:59:00,2026-05-04 17:02:00,MSS,long,4586.8,4584.6,4584.6,4590.3,False,,4590.3,TP,3.5,31.23,3
2026-05-04 17:10:00,2026-05-04 17:51:00,2026-05-04 17:57:00,BOS,long,4590.0,4586.7,4586.7,4595.3,False,,4586.7,SL,-3.3,-36.85,6
2026-05-04 19:30:00,2026-05-04 20:13:00,2026-05-04 20:16:00,BOS,short,4575.8,4581.0,4581.0,4567.5,False,,4581.0,SL,-5.2,-55.57,3
2026-05-04 20:15:00,2026-05-04 20:36:00,2026-05-04 20:53:00,MSS,long,4572.2,4563.6,4563.6,4586.2,False,,4586.2,TP,14.0,135.67,17
2026-05-04 21:00:00,2026-05-04 21:06:00,2026-05-04 21:10:00,MSS,short,4579.8,4587.1,4587.1,4568.0,False,,4587.1,SL,-7.3,-76.96,4
2026-05-04 22:05:00,2026-05-04 22:12:00,2026-05-04 22:16:00,BOS,short,4572.4,4577.4,4577.4,4564.4,False,,4577.4,SL,-5.0,-53.66,4
2026-05-04 22:15:00,2026-05-04 22:59:00,2026-05-04 23:13:00,MSS,long,4572.3,4564.4,4564.4,4585.2,False,,4564.4,SL,-7.9,-83.46,14
2026-05-05 00:05:00,2026-05-05 01:17:00,2026-05-05 10:43:00,BOS,short,4538.6,4553.8,4553.8,4513.9,False,,4553.8,SL,-15.2,-156.42,506
2026-05-05 11:20:00,2026-05-05 13:07:00,2026-05-05 13:08:00,MSS,short,4549.9,4551.8,4551.8,4546.7,False,,4551.8,SL,-1.9,-23.48,1
2026-05-05 13:05:00,2026-05-05 13:18:00,2026-05-05 13:34:00,MSS,long,4545.6,4539.9,4539.9,4554.7,False,,4554.7,TP,9.1,87.46,16
2026-05-05 13:30:00,2026-05-05 14:18:00,2026-05-05 14:24:00,BOS,long,4549.3,4544.8,4544.8,4556.6,False,,4544.8,SL,-4.5,-49.08,6
2026-05-05 15:00:00,2026-05-05 15:27:00,2026-05-05 15:35:00,MSS,long,4559.5,4556.8,4556.8,4563.8,False,,4563.8,TP,4.3,39.26,8
2026-05-05 15:45:00,2026-05-05 16:22:00,2026-05-05 16:57:00,BOS,short,4563.4,4568.3,4568.3,4555.4,False,,4568.3,SL,-4.9,-53.28,35
2026-05-05 17:25:00,2026-05-05 17:30:00,2026-05-05 18:09:00,MSS,short,4567.4,4570.5,4570.5,4562.4,False,,4562.4,TP,5.0,46.06,39
2026-05-05 18:05:00,2026-05-05 18:17:00,2026-05-05 18:19:00,BOS,short,4565.3,4567.2,4567.2,4562.2,False,,4562.2,TP,3.1,26.9,2
2026-05-05 18:25:00,2026-05-05 18:34:00,2026-05-05 18:43:00,BOS,short,4562.0,4565.3,4565.3,4556.7,False,,4556.7,TP,5.3,49.15,9
2026-05-05 20:00:00,2026-05-05 20:06:00,2026-05-05 20:06:00,MSS,short,4569.7,4573.0,4573.0,4564.3,False,,4573.0,SL,-3.3,-37.23,0
2026-05-05 21:35:00,2026-05-05 21:50:00,2026-05-05 21:53:00,MSS,short,4588.8,4592.4,4592.4,4583.0,False,,4592.4,SL,-3.6,-39.91,3
2026-05-05 22:10:00,2026-05-05 22:24:00,2026-05-05 22:25:00,BOS,short,4589.6,4595.1,4595.1,4580.7,False,,4595.1,SL,-5.5,-59.01,1
2026-05-05 23:00:00,2026-05-05 23:17:00,2026-05-05 23:27:00,MSS,long,4589.6,4586.3,4586.3,4594.9,False,,4586.3,SL,-3.3,-36.85,10
2026-05-06 01:05:00,2026-05-06 01:18:00,2026-05-06 02:14:00,BOS,short,4570.1,4573.8,4573.8,4564.0,False,,4573.8,SL,-3.7,-41.44,56
2026-05-06 02:10:00,2026-05-06 02:31:00,2026-05-06 02:40:00,MSS,long,4571.2,4568.4,4568.4,4575.6,False,,4568.4,SL,-2.8,-31.5,9
2026-05-06 03:45:00,2026-05-06 03:50:00,2026-05-06 03:51:00,MSS,long,4567.5,4566.2,4566.2,4569.7,False,,4566.2,SL,-1.3,-17.37,1
2026-05-06 08:55:00,2026-05-06 09:07:00,2026-05-06 09:24:00,BOS,long,4623.0,4618.0,4618.0,4631.1,False,,4631.1,TP,8.1,76.96,17
2026-05-06 09:45:00,2026-05-06 09:54:00,2026-05-06 10:02:00,BOS,long,4634.3,4631.1,4631.1,4639.5,False,,4639.5,TP,5.2,47.91,8
2026-05-06 11:35:00,2026-05-06 11:42:00,2026-05-06 12:27:00,BOS,long,4656.0,4652.2,4652.2,4662.2,False,,4662.2,TP,6.2,57.8,45
2026-05-06 12:25:00,2026-05-06 12:38:00,2026-05-06 13:04:00,BOS,long,4659.1,4655.9,4655.9,4664.2,False,,4664.2,TP,5.1,47.29,26
2026-05-06 13:30:00,2026-05-06 13:44:00,2026-05-06 13:55:00,MSS,short,4661.9,4666.3,4666.3,4654.9,False,,4666.3,SL,-4.4,-47.55,11
2026-05-06 15:10:00,2026-05-06 15:26:00,2026-05-06 15:45:00,MSS,short,4676.9,4681.5,4681.5,4669.4,False,,4681.5,SL,-4.6,-50.22,19
2026-05-06 16:30:00,2026-05-06 16:43:00,2026-05-06 16:48:00,MSS,short,4689.7,4691.4,4691.4,4686.9,False,,4691.4,SL,-1.7,-21.19,5
2026-05-06 18:50:00,2026-05-06 19:02:00,2026-05-06 19:29:00,BOS,long,4724.8,4718.8,4718.8,4734.6,False,,4718.8,SL,-6.0,-64.36,27
2026-05-06 19:25:00,2026-05-06 19:34:00,2026-05-06 19:41:00,MSS,short,4726.7,4732.9,4732.9,4716.8,False,,4716.8,TP,9.9,95.5,7
2026-05-06 21:05:00,2026-05-06 21:14:00,2026-05-06 21:32:00,BOS,short,4694.3,4703.5,4703.5,4679.3,False,,4703.5,SL,-9.2,-96.44,18
2026-05-06 21:45:00,2026-05-06 21:50:00,2026-05-06 21:53:00,BOS,long,4707.4,4704.1,4704.1,4712.8,False,,4712.8,TP,5.4,49.77,3
2026-05-06 22:10:00,2026-05-06 22:50:00,2026-05-06 23:12:00,BOS,long,4714.7,4708.4,4708.4,4725.0,False,,4708.4,SL,-6.3,-67.41,22
2026-05-07 00:05:00,2026-05-07 00:30:00,2026-05-07 00:58:00,BOS,short,4701.3,4706.6,4706.6,4692.7,False,,4692.7,TP,8.6,81.9,28
2026-05-07 01:35:00,2026-05-07 01:55:00,2026-05-07 01:57:00,BOS,short,4693.4,4695.5,4695.5,4689.9,False,,4695.5,SL,-2.1,-25.39,2
2026-05-07 02:40:00,2026-05-07 03:02:00,2026-05-07 03:03:00,MSS,short,4699.1,4701.1,4701.1,4695.9,False,,4701.1,SL,-2.0,-23.86,1
2026-05-07 07:20:00,2026-05-07 07:45:00,2026-05-07 07:45:00,MSS,short,4704.9,4707.0,4707.0,4701.6,False,,4707.0,SL,-2.1,-24.63,0
2026-05-07 10:30:00,2026-05-07 10:42:00,2026-05-07 10:56:00,BOS,short,4713.5,4716.7,4716.7,4708.2,False,,4716.7,SL,-3.2,-36.47,14
2026-05-07 12:30:00,2026-05-07 12:40:00,2026-05-07 12:40:00,BOS,short,4705.0,4707.0,4707.0,4701.8,False,,4707.0,SL,-2.0,-23.86,0
2026-05-07 13:00:00,2026-05-07 13:18:00,2026-05-07 13:31:00,MSS,long,4705.4,4702.5,4702.5,4710.0,False,,4710.0,TP,4.6,42.35,13
