signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2025-08-28 08:20:00,2025-08-28 08:31:00,2025-08-28 08:50:00,BOS,long,3423.3,3422.0,3423.3,3425.4,True,2025-08-28 08:41:00,3423.0,BE,-0.3,-6.99,16
2025-08-28 09:35:00,2025-08-28 10:02:00,2025-08-28 10:09:00,BOS,short,3417.1,3418.4,3417.1,3414.9,True,2025-08-28 10:03:00,3414.9,TP,2.2,17.63,7
2025-08-28 13:20:00,2025-08-28 13:29:00,2025-08-28 13:37:00,BOS,short,3416.8,3417.4,3416.8,3415.8,True,2025-08-28 13:33:00,3416.9,BE,-0.1,-5.11,6
2025-08-28 13:40:00,2025-08-28 13:51:00,2025-08-28 13:55:00,BOS,short,3416.2,3416.9,3416.2,3415.0,True,2025-08-28 13:52:00,3416.3,BE,-0.1,-5.26,2
2025-08-28 15:00:00,2025-08-28 15:14:00,2025-08-28 15:15:00,MSS,short,3422.8,3423.8,3423.8,3421.3,False,,3423.8,SL,-1.0,-13.55,1
2025-08-28 15:30:00,2025-08-28 16:04:00,2025-08-28 16:06:00,BOS,short,3422.7,3424.0,3424.0,3420.6,False,,3424.0,SL,-1.3,-16.99,2
2025-08-28 18:00:00,2025-08-28 18:45:00,2025-08-28 18:54:00,MSS,short,3426.0,3427.3,3426.0,3423.9,True,2025-08-28 18:51:00,3426.0,BE,0.0,-4.0,7
2025-08-28 20:05:00,2025-08-28 20:30:00,2025-08-28 20:30:00,BOS,long,3435.0,3433.3,3433.3,3437.7,False,,3433.3,SL,-1.7,-20.81,0
2025-08-28 21:05:00,2025-08-28 21:14:00,2025-08-28 21:16:00,BOS,short,3427.7,3430.0,3430.0,3424.0,False,,3430.0,SL,-2.3,-26.92,2
2025-08-29 02:15:00,2025-08-29 02:49:00,2025-08-29 02:52:00,BOS,long,3447.7,3446.9,3447.7,3449.0,True,2025-08-29 02:49:00,3449.0,TP,1.3,8.98,2
2025-08-29 02:50:00,2025-08-29 03:30:00,2025-08-29 03:32:00,MSS,long,3448.7,3447.7,3447.7,3450.2,False,,3447.7,SL,-1.0,-13.55,2
2025-08-29 03:30:00,2025-08-29 03:46:00,2025-08-29 03:52:00,MSS,short,3449.0,3450.1,3449.0,3447.3,True,2025-08-29 03:50:00,3449.0,BE,0.0,-4.0,6
2025-08-29 06:55:00,2025-08-29 07:17:00,2025-08-29 07:29:00,MSS,long,3446.9,3446.6,3446.9,3447.4,True,2025-08-29 07:17:00,3446.6,BE,-0.3,-7.06,5
2025-08-29 07:50:00,2025-08-29 08:32:00,2025-08-29 08:32:00,MSS,long,3447.0,3446.7,3446.7,3447.4,False,,3446.7,SL,-0.3,-6.67,0
2025-08-29 09:30:00,2025-08-29 09:35:00,2025-08-29 09:37:00,MSS,long,3442.3,3441.6,3442.3,3443.5,True,2025-08-29 09:35:00,3442.1,BE,-0.2,-6.26,2
2025-08-29 13:00:00,2025-08-29 13:07:00,2025-08-29 13:11:00,BOS,short,3441.2,3441.8,3441.2,3440.2,True,2025-08-29 13:07:00,3440.2,TP,1.0,5.89,3
2025-08-29 14:30:00,2025-08-29 15:01:00,2025-08-29 15:02:00,MSS,short,3442.3,3443.1,3443.1,3441.1,False,,3443.1,SL,-0.8,-11.64,1
2025-08-29 15:00:00,2025-08-29 15:14:00,2025-08-29 15:18:00,MSS,long,3440.1,3438.1,3438.1,3443.3,False,,3438.1,SL,-2.0,-23.86,4
2025-08-29 16:10:00,2025-08-29 16:22:00,2025-08-29 16:36:00,BOS,long,3441.9,3440.9,3441.9,3443.5,True,2025-08-29 16:31:00,3443.5,TP,1.6,12.07,9
2025-08-29 16:50:00,2025-08-29 17:00:00,2025-08-29 17:01:00,MSS,short,3442.4,3443.2,3442.4,3441.2,True,2025-08-29 17:01:00,3441.2,TP,1.2,8.36,1
2025-08-29 18:00:00,2025-08-29 18:12:00,2025-08-29 18:13:00,BOS,short,3439.3,3440.1,3439.3,3438.1,True,2025-08-29 18:12:00,3438.1,TP,1.2,8.36,1
2025-08-29 19:15:00,2025-08-29 19:25:00,2025-08-29 19:29:00,MSS,long,3435.3,3434.7,3435.3,3436.3,True,2025-08-29 19:25:00,3436.8,TP,1.5,10.89,3
2025-08-29 19:25:00,2025-08-29 20:17:00,2025-08-29 20:18:00,BOS,long,3435.6,3434.9,3435.6,3436.8,True,2025-08-29 20:17:00,3436.8,TP,1.2,7.74,1
2025-08-29 22:30:00,2025-08-29 22:45:00,2025-08-29 23:00:00,BOS,long,3469.9,3466.3,3469.9,3475.7,True,2025-08-29 22:48:00,3475.7,TP,5.8,54.09,15
2025-08-30 00:10:00,2025-08-30 00:32:00,2025-08-30 00:34:00,MSS,short,3485.0,3487.0,3485.0,3481.7,True,2025-08-30 00:33:00,3485.0,BE,0.0,-4.0,2
2025-08-30 02:25:00,2025-08-30 02:36:00,2025-08-30 02:38:00,BOS,short,3483.7,3484.2,3483.7,3482.8,True,2025-08-30 02:37:00,3482.6,TP,1.1,6.65,2
2025-08-30 02:50:00,2025-08-30 03:17:00,2025-08-30 03:17:00,BOS,short,3482.4,3483.3,3483.3,3480.9,False,,3483.3,SL,-0.9,-13.17,0
2025-09-01 08:25:00,2025-09-01 08:53:00,2025-09-01 09:00:00,MSS,long,3482.2,3481.0,3482.2,3484.1,True,2025-09-01 08:58:00,3482.1,BE,-0.1,-4.84,6
2025-09-01 10:55:00,2025-09-01 11:03:00,2025-09-01 11:05:00,BOS,long,3517.1,3514.2,3514.2,3521.7,False,,3514.2,SL,-2.9,-32.65,2
2025-09-01 12:20:00,2025-09-01 12:28:00,2025-09-01 12:40:00,MSS,long,3514.6,3512.5,3514.6,3518.0,True,2025-09-01 12:34:00,3518.0,TP,3.4,29.99,11
2025-09-01 13:30:00,2025-09-01 13:39:00,2025-09-01 13:40:00,BOS,long,3518.6,3516.8,3516.8,3521.5,False,,3516.8,SL,-1.8,-21.95,1
2025-09-01 13:40:00,2025-09-01 13:47:00,2025-09-01 14:00:00,MSS,short,3520.6,3523.7,3520.6,3515.5,True,2025-09-01 13:59:00,3520.6,BE,0.0,-4.0,13
2025-09-01 14:30:00,2025-09-01 14:57:00,2025-09-01 14:58:00,BOS,long,3520.9,3518.6,3518.6,3524.5,False,,3518.6,SL,-2.3,-26.54,1
2025-09-01 17:50:00,2025-09-01 18:07:00,2025-09-01 18:09:00,BOS,short,3510.8,3512.3,3512.3,3508.4,False,,3512.3,SL,-1.5,-18.9,2
2025-09-01 20:00:00,2025-09-01 20:05:00,2025-09-01 20:05:00,MSS,long,3513.0,3512.5,3512.5,3513.8,False,,3512.5,SL,-0.5,-8.97,0
2025-09-01 20:40:00,2025-09-01 20:51:00,2025-09-01 20:54:00,MSS,short,3511.8,3513.1,3513.1,3509.8,False,,3513.1,SL,-1.3,-16.61,3
2025-09-01 21:55:00,2025-09-01 22:12:00,2025-09-01 22:14:00,MSS,short,3517.5,3519.0,3519.0,3515.2,False,,3519.2,SL,-1.7,-20.52,2
2025-09-01 22:40:00,2025-09-01 22:52:00,2025-09-01 23:02:00,BOS,short,3516.7,3518.3,3516.7,3514.2,True,2025-09-01 22:59:00,3517.0,BE,-0.3,-6.66,10
2025-09-01 23:45:00,2025-09-02 00:22:00,2025-09-02 00:26:00,BOS,short,3515.9,3517.0,3515.9,3514.2,True,2025-09-02 00:26:00,3515.9,BE,0.0,-4.0,4
2025-09-02 00:45:00,2025-09-02 01:12:00,2025-09-02 01:18:00,BOS,long,3516.9,3516.3,3516.9,3518.0,True,2025-09-02 01:15:00,3516.9,BE,0.0,-4.0,2
2025-09-02 01:55:00,2025-09-02 02:00:00,2025-09-02 02:01:00,BOS,long,3518.0,3517.7,3518.0,3518.5,True,2025-09-02 02:00:00,3517.6,BE,-0.4,-8.06,1
2025-09-02 02:00:00,2025-09-02 02:05:00,2025-09-02 02:10:00,MSS,short,3518.0,3518.5,3518.0,3517.1,True,2025-09-02 02:05:00,3518.1,BE,-0.1,-5.35,3
2025-09-02 07:20:00,2025-09-02 07:28:00,2025-09-02 07:48:00,MSS,long,3519.7,3517.4,3519.7,3523.5,True,2025-09-02 07:31:00,3523.5,TP,3.8,33.7,15
2025-09-02 08:25:00,2025-09-02 08:42:00,2025-09-02 08:46:00,BOS,long,3523.7,3521.6,3523.7,3527.0,True,2025-09-02 08:45:00,3523.4,BE,-0.3,-6.63,4
2025-09-02 09:00:00,2025-09-02 09:10:00,2025-09-02 09:13:00,MSS,short,3524.6,3528.1,3528.1,3519.0,False,,3528.1,SL,-3.5,-38.76,3
2025-09-02 09:30:00,2025-09-02 09:49:00,2025-09-02 09:50:00,BOS,long,3536.2,3534.2,3534.2,3539.4,False,,3534.2,SL,-2.0,-23.86,1
2025-09-02 11:15:00,2025-09-02 11:53:00,2025-09-02 12:12:00,MSS,short,3535.9,3539.5,3535.9,3530.0,True,2025-09-02 12:04:00,3536.0,BE,-0.1,-5.29,18
2025-09-02 12:35:00,2025-09-02 13:24:00,2025-09-02 13:27:00,BOS,long,3534.3,3532.7,3532.7,3536.9,False,,3532.7,SL,-1.6,-20.04,3
2025-09-02 15:30:00,2025-09-02 15:47:00,2025-09-02 15:50:00,BOS,short,3521.5,3523.8,3521.5,3517.9,True,2025-09-02 15:48:00,3517.9,TP,3.6,32.46,3
2025-09-02 16:30:00,2025-09-02 16:55:00,2025-09-02 16:56:00,BOS,long,3516.0,3514.7,3514.7,3518.1,False,,3514.7,SL,-1.3,-16.99,1
2025-09-02 17:25:00,2025-09-02 17:35:00,2025-09-02 17:36:00,BOS,long,3518.9,3517.3,3518.9,3521.4,True,2025-09-02 17:35:00,3518.9,BE,0.0,-4.0,1
2025-09-02 18:00:00,2025-09-02 18:08:00,2025-09-02 18:08:00,BOS,short,3519.1,3520.5,3520.5,3516.9,False,,3520.5,SL,-1.4,-17.75,0
2025-09-02 18:55:00,2025-09-02 19:19:00,2025-09-02 19:31:00,BOS,long,3521.0,3517.9,3517.9,3526.1,False,,3517.9,SL,-3.1,-35.32,12
2025-09-02 19:55:00,2025-09-02 20:17:00,2025-09-02 20:19:00,BOS,long,3522.1,3517.4,3517.4,3529.8,False,,3517.4,SL,-4.7,-51.37,2
2025-09-02 20:35:00,2025-09-02 20:52:00,2025-09-02 21:02:00,MSS,short,3519.9,3525.5,3519.9,3510.9,True,2025-09-02 21:01:00,3519.9,BE,0.0,-4.0,10
2025-09-03 00:05:00,2025-09-03 00:20:00,2025-09-03 00:23:00,BOS,long,3555.4,3553.3,3555.4,3558.8,True,2025-09-03 00:21:00,3558.8,TP,3.4,29.99,3
2025-09-03 00:50:00,2025-09-03 01:01:00,2025-09-03 01:03:00,BOS,long,3561.7,3560.0,3560.0,3564.5,False,,3560.0,SL,-1.7,-21.19,2
2025-09-03 02:25:00,2025-09-03 02:45:00,2025-09-03 02:49:00,BOS,long,3564.1,3562.8,3564.1,3566.3,True,2025-09-03 02:45:00,3563.9,BE,-0.2,-6.37,4
2025-09-03 03:35:00,2025-09-03 03:52:00,2025-09-03 03:53:00,BOS,long,3569.7,3568.6,3568.6,3571.5,False,,3568.6,SL,-1.1,-15.08,1
2025-09-03 03:50:00,2025-09-03 03:57:00,2025-09-03 04:02:00,MSS,short,3569.5,3571.7,3569.5,3565.9,True,2025-09-03 03:58:00,3569.5,BE,-0.0,-4.16,5
2025-09-03 07:50:00,2025-09-03 07:59:00,2025-09-03 08:15:00,MSS,long,3566.2,3564.3,3566.2,3569.4,True,2025-09-03 08:01:00,3569.4,TP,3.2,27.52,14
2025-09-03 08:55:00,2025-09-03 09:01:00,2025-09-03 09:04:00,MSS,short,3578.4,3581.5,3578.4,3573.3,True,2025-09-03 09:02:00,3578.4,BE,0.0,-4.0,3
