break_mode,days,variant,description,actual_days,signals,trades,wins,losses,be_exits,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown,winning_days,losing_days,skipped
Loose,30,original_1m_exec,"Original TP/SL, 5m signal and 1m execution",28.83,723,307,98,209,0,31.92,-3256.56,6455.75,-9712.31,0.66,-3541.12,7,15,159
Loose,30,be_236_1m_exec,"Move SL to entry after touching 23.6%, 1m execution",28.83,723,329,82,247,58,24.92,-3868.09,4997.62,-8865.71,0.56,-4126.08,5,17,126
Loose,30,be_500_1m_exec,"Move SL to entry after touching 50.0%, 1m execution",28.83,723,349,54,295,186,15.47,-2432.16,2933.64,-5365.8,0.55,-2723.63,3,19,97
Loose,60,original_1m_exec,"Original TP/SL, 5m signal and 1m execution",59.92,849,360,125,235,0,34.72,-2874.01,8083.72,-10957.73,0.74,-3593.2,9,18,191
Loose,60,be_236_1m_exec,"Move SL to entry after touching 23.6%, 1m execution",59.92,849,382,107,275,64,28.01,-3398.23,6521.11,-9919.34,0.66,-4233.77,7,20,157
Loose,60,be_500_1m_exec,"Move SL to entry after touching 50.0%, 1m execution",59.92,849,407,69,338,214,16.95,-2354.35,3817.95,-6172.3,0.62,-2723.63,6,21,121
Loose,90,original_1m_exec,"Original TP/SL, 5m signal and 1m execution",90.0,1539,624,241,383,0,38.62,-932.97,21013.56,-21946.53,0.96,-3593.2,23,27,336
Loose,90,be_236_1m_exec,"Move SL to entry after touching 23.6%, 1m execution",90.0,1539,656,197,459,118,30.03,-3664.85,15864.26,-19529.1,0.81,-4233.77,17,33,282
Loose,90,be_500_1m_exec,"Move SL to entry after touching 50.0%, 1m execution",90.0,1539,702,125,577,375,17.81,-3306.72,8732.55,-12039.27,0.73,-3425.87,14,36,215
Loose,120,original_1m_exec,"Original TP/SL, 5m signal and 1m execution",119.79,1712,678,266,412,0,39.23,-207.92,23879.96,-24087.88,0.99,-3593.2,25,31,387
Loose,120,be_236_1m_exec,"Move SL to entry after touching 23.6%, 1m execution",119.79,1712,713,219,494,126,30.72,-3167.04,18373.09,-21540.13,0.85,-4233.77,20,36,330
Loose,120,be_500_1m_exec,"Move SL to entry after touching 50.0%, 1m execution",119.79,1712,763,140,623,405,18.35,-2887.21,10257.72,-13144.93,0.78,-3579.23,17,39,256
Loose,150,original_1m_exec,"Original TP/SL, 5m signal and 1m execution",150.0,2460,982,379,603,0,38.59,-2397.28,31518.24,-33915.53,0.93,-3593.2,32,47,541
Loose,150,be_236_1m_exec,"Move SL to entry after touching 23.6%, 1m execution",150.0,2460,1030,313,717,198,30.39,-4722.76,24735.81,-29458.57,0.84,-4936.25,29,50,459
