time,reason,direction,entry
2026-04-29 19:50:00,signal_while_in_position,short,4580.2868
2026-04-29 20:25:00,signal_while_in_position,short,4578.38
2026-04-30 00:30:00,signal_while_in_position,short,4572.061000000001
2026-04-30 01:20:00,signal_while_in_position,long,4564.3594
2026-04-30 01:25:00,signal_while_in_position,short,4565.1384
2026-04-30 23:00:00,signal_while_in_position,short,4633.291200000001
2026-04-30 23:05:00,signal_while_in_position,long,4631.3852
2026-04-30 23:35:00,signal_while_in_position,short,4634.1036
2026-05-01 10:00:00,signal_while_in_position,long,4633.1358
2026-05-01 17:35:00,signal_while_in_position,long,4580.592000000001
2026-05-04 08:55:00,signal_while_in_position,long,4619.5144
2026-05-04 17:50:00,signal_while_in_position,short,4592.9642
2026-05-04 22:55:00,signal_while_in_position,short,4585.5702
2026-05-05 01:15:00,signal_while_in_position,long,4526.6208
2026-05-05 02:05:00,signal_while_in_position,short,4532.8878
2026-05-05 02:55:00,signal_while_in_position,long,4522.7684
2026-05-05 03:05:00,signal_while_in_position,long,4525.575
2026-05-05 04:40:00,signal_while_in_position,long,4524.3122
2026-05-05 06:40:00,signal_while_in_position,short,4530.3248
2026-05-05 07:40:00,signal_while_in_position,short,4529.7483999999995
2026-05-05 08:00:00,signal_while_in_position,long,4528.7414
2026-05-05 08:25:00,signal_while_in_position,short,4532.117200000001
2026-05-05 08:50:00,signal_while_in_position,long,4529.1704
2026-05-05 09:00:00,signal_while_in_position,long,4530.813
2026-05-05 09:55:00,signal_while_in_position,long,4546.1268
2026-05-05 10:15:00,signal_while_in_position,short,4547.6136
2026-05-05 10:25:00,signal_while_in_position,long,4546.7504
2026-05-05 14:15:00,signal_while_in_position,short,4556.4576
2026-05-05 16:20:00,signal_while_in_position,long,4559.0268
2026-05-05 16:50:00,signal_while_in_position,long,4561.6346
2026-05-06 01:45:00,signal_while_in_position,long,4568.574
2026-05-06 12:05:00,signal_while_in_position,long,4654.7246
2026-05-06 15:40:00,signal_while_in_position,long,4676.2942
2026-05-06 19:20:00,signal_while_in_position,short,4728.0868
2026-05-06 22:50:00,signal_while_in_position,short,4720.7138
2026-05-06 23:05:00,signal_while_in_position,short,4714.8036
2026-05-07 18:35:00,signal_while_in_position,long,4741.3874000000005
2026-05-07 22:10:00,signal_while_in_position,long,4757.0076
2026-05-07 22:20:00,signal_while_in_position,long,4757.5704
2026-05-08 01:55:00,signal_while_in_position,long,4712.9626
2026-05-08 02:25:00,signal_while_in_position,long,4718.574
2026-05-08 02:45:00,signal_while_in_position,short,4718.9622
2026-05-08 03:55:00,signal_while_in_position,short,4717.3822
2026-05-08 11:05:00,signal_while_in_position,long,4722.3706
2026-05-08 11:30:00,signal_while_in_position,long,4730.6334
2026-05-08 12:10:00,signal_while_in_position,short,4728.8148
2026-05-08 12:40:00,signal_while_in_position,short,4723.141799999999
2026-05-08 13:25:00,signal_while_in_position,long,4722.8054
2026-05-08 22:05:00,signal_while_in_position,short,4750.5882
2026-05-11 09:50:00,signal_while_in_position,short,4700.697999999999
2026-05-11 14:35:00,signal_while_in_position,long,4675.5402
2026-05-11 15:45:00,signal_while_in_position,short,4681.798
2026-05-11 16:10:00,signal_while_in_position,long,4676.5526
2026-05-11 16:50:00,signal_while_in_position,short,4678.3282
2026-05-11 17:15:00,signal_while_in_position,short,4676.399
2026-05-11 19:25:00,signal_while_in_position,long,4677.7572
2026-05-12 11:15:00,signal_while_in_position,short,4738.7024
2026-05-12 17:30:00,signal_while_in_position,long,4708.3706
2026-05-13 13:55:00,signal_while_in_position,long,4707.3526
2026-05-14 03:30:00,signal_while_in_position,short,4696.217
2026-05-14 08:45:00,signal_while_in_position,long,4704.284
2026-05-14 14:40:00,signal_while_in_position,long,4697.9716
2026-05-14 20:40:00,signal_while_in_position,short,4712.125
2026-05-14 22:55:00,signal_while_in_position,short,4692.4452
2026-05-15 12:05:00,signal_while_in_position,long,4618.6784
2026-05-15 22:10:00,signal_while_in_position,long,4538.841
2026-05-18 11:25:00,signal_while_in_position,long,4534.1222
2026-05-18 13:00:00,signal_while_in_position,short,4544.4722
2026-05-18 14:20:00,signal_while_in_position,long,4540.3458
