signal_time,entry_time,exit_time,kind,direction,entry,sl,tp,exit_price,exit_reason,points,dollars,bars_held
2026-01-03 03:35:00,2026-01-03 03:45:00,2026-01-03 04:20:00,MSS,long,4330.1,4326.4,4336.0,4336.0,TP,5.9,59.33,7
2026-01-03 04:55:00,2026-01-03 05:05:00,2026-01-03 05:50:00,BOS,long,4337.8,4335.6,4341.4,4341.4,TP,3.6,35.84,9
2026-01-05 08:55:00,2026-01-05 10:05:00,2026-01-05 10:05:00,BOS,long,4398.9,4394.6,4405.8,4405.8,TP,6.9,69.22,0
2026-01-05 10:05:00,2026-01-05 10:25:00,2026-01-05 10:30:00,MSS,short,4407.8,4414.4,4397.1,4414.4,SL,-6.6,-66.09,1
2026-01-05 11:00:00,2026-01-05 11:30:00,2026-01-05 12:00:00,MSS,long,4412.9,4407.4,4421.9,4407.4,SL,-5.5,-55.39,6
2026-01-05 13:25:00,2026-01-05 13:30:00,2026-01-05 13:30:00,BOS,long,4418.3,4416.0,4422.0,4422.0,TP,3.7,37.08,0
2026-01-05 13:40:00,2026-01-05 13:50:00,2026-01-05 14:00:00,MSS,short,4418.7,4423.6,4410.9,4423.6,SL,-4.9,-48.51,2
2026-01-05 15:40:00,2026-01-05 15:45:00,2026-01-05 16:10:00,BOS,long,4430.7,4428.1,4434.8,4434.8,TP,4.1,41.41,5
2026-01-05 16:45:00,2026-01-05 17:05:00,2026-01-05 17:20:00,BOS,long,4437.1,4433.5,4443.0,4443.0,TP,5.9,58.71,3
2026-01-05 17:40:00,2026-01-05 18:00:00,2026-01-05 18:05:00,BOS,long,4444.6,4441.7,4449.3,4441.7,SL,-2.9,-29.03,1
2026-01-05 20:20:00,2026-01-05 21:05:00,2026-01-05 21:05:00,BOS,short,4429.6,4432.5,4424.9,4424.9,TP,4.7,46.97,0
2026-01-05 21:20:00,2026-01-05 21:35:00,2026-01-05 21:40:00,BOS,short,4420.5,4424.8,4413.6,4424.8,SL,-4.3,-42.78,1
2026-01-06 00:45:00,2026-01-06 00:55:00,2026-01-06 00:55:00,BOS,long,4455.4,4450.9,4462.6,4462.6,TP,7.2,72.31,0
2026-01-06 01:00:00,2026-01-06 01:20:00,2026-01-06 07:00:00,MSS,short,4457.6,4465.9,4444.2,4465.9,SL,-8.3,-82.89,56
2026-01-06 08:30:00,2026-01-06 09:00:00,2026-01-06 09:00:00,BOS,short,4450.6,4453.0,4446.7,4446.7,TP,3.9,38.93,0
2026-01-06 09:00:00,2026-01-06 09:05:00,2026-01-06 09:05:00,BOS,short,4444.7,4449.1,4437.5,4449.1,SL,-4.4,-44.31,0
2026-01-06 09:10:00,2026-01-06 09:30:00,2026-01-06 09:40:00,MSS,long,4443.4,4437.5,4452.9,4452.9,TP,9.5,95.17,2
