days,actual_days,start,end,bars,signals,trades,skipped,wins,losses,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,avg_win,avg_loss,max_drawdown,winning_days,losing_days
30,28.83,2026-05-04 06:00:00,2026-06-02 02:00:00,5189,723,347,107,143,203,41.21,552.01,9104.99,-8552.98,1.06,63.67,-42.13,-841.58,13,9
60,59.92,2026-04-03 04:00:00,2026-06-02 02:00:00,6075,850,407,117,178,228,43.73,1402.16,11164.17,-9762.01,1.14,62.72,-42.82,-841.58,16,11
90,90.0,2026-03-04 02:00:00,2026-06-02 02:00:00,11371,1573,720,203,336,383,46.67,9335.6,29285.16,-19949.57,1.47,87.16,-52.09,-841.58,38,13
120,119.79,2026-02-02 07:00:00,2026-06-02 02:00:00,12578,1746,780,221,369,410,47.31,10795.71,32759.56,-21963.85,1.49,88.78,-53.57,-841.58,41,18
150,150.0,2026-01-03 02:00:00,2026-06-02 02:00:00,17899,2494,1116,320,510,605,45.7,10985.9,42566.6,-31580.7,1.35,83.46,-52.2,-1480.59,51,32
180,179.92,2025-12-04 04:00:00,2026-06-02 02:00:00,18821,2640,1164,329,533,630,45.79,11695.87,44127.67,-32431.8,1.36,82.79,-51.48,-1480.59,54,33
210,210.0,2025-11-04 02:00:00,2026-06-02 02:00:00,23784,3346,1468,422,663,804,45.16,12971.93,51920.65,-38948.72,1.33,78.31,-48.44,-1480.59,68,42
240,238.79,2025-10-06 07:00:00,2026-06-02 02:00:00,24647,3463,1515,435,688,826,45.41,13889.05,53866.11,-39977.06,1.35,78.29,-48.4,-1480.59,70,44
270,270.0,2025-09-05 02:00:00,2026-06-02 02:00:00,29340,4163,1825,499,802,1022,43.95,13941.02,57457.31,-43516.29,1.32,71.64,-42.58,-1480.59,82,54
300,299.97,2025-08-06 02:45:00,2026-06-02 02:00:00,30971,4406,1935,528,844,1090,43.62,13837.33,58643.25,-44805.93,1.31,69.48,-41.11,-1480.59,84,59
330,329.83,2025-07-07 06:00:00,2026-06-02 02:00:00,36009,5063,2243,603,975,1267,43.47,14368.72,62305.52,-47936.8,1.3,63.9,-37.83,-1480.59,99,67
360,357.83,2025-06-09 06:00:00,2026-06-02 02:00:00,37695,5289,2345,619,1019,1325,43.45,14820.32,63846.2,-49025.88,1.3,62.66,-37.0,-1480.59,105,70
