signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-01-03 03:35:00,2026-01-03 03:47:00,2026-01-03 04:23:00,MSS,long,4331.8,4326.4,4326.4,4336.0,False,,4336.0,TP,4.2,38.0,36
2026-01-05 10:05:00,2026-01-05 10:33:00,2026-01-05 10:34:00,MSS,short,4413.6,4414.4,4414.4,4397.1,False,,4414.4,SL,-0.8,-12.0,1
2026-01-05 11:00:00,2026-01-05 11:36:00,2026-01-05 12:00:00,MSS,long,4415.0,4407.4,4407.4,4421.9,False,,4407.4,SL,-7.6,-80.0,24
2026-01-05 13:25:00,2026-01-05 13:33:00,2026-01-05 13:43:00,BOS,long,4421.0,4416.0,4416.0,4422.0,False,,4416.0,SL,-5.0,-54.0,10
2026-01-05 13:40:00,2026-01-05 13:55:00,2026-01-05 14:01:00,MSS,short,4418.2,4423.6,4423.6,4410.9,False,,4423.6,SL,-5.4,-58.0,6
2026-01-05 15:40:00,2026-01-05 15:56:00,2026-01-05 16:12:00,BOS,long,4431.8,4428.1,4428.1,4434.8,False,,4434.8,TP,3.0,26.0,16
2026-01-05 16:45:00,2026-01-05 17:12:00,2026-01-05 17:20:00,BOS,long,4439.2,4433.5,4433.5,4443.0,False,,4443.0,TP,3.8,34.0,8
2026-01-05 17:40:00,2026-01-05 18:06:00,2026-01-05 18:38:00,BOS,long,4443.5,4441.7,4441.7,4449.3,False,,4449.3,TP,5.8,54.0,32
2026-01-05 20:20:00,2026-01-05 21:08:00,2026-01-05 21:09:00,BOS,short,4424.0,4432.5,4432.5,4424.9,False,,4424.0,TP,0.0,-4.0,1
2026-01-05 21:20:00,2026-01-05 21:37:00,2026-01-05 21:40:00,BOS,short,4419.9,4424.8,4424.8,4413.6,False,,4424.8,SL,-4.9,-53.0,3
2026-01-06 01:00:00,2026-01-06 01:27:00,2026-01-06 07:04:00,MSS,short,4456.5,4465.9,4465.9,4444.2,False,,4465.9,SL,-9.4,-98.0,277
2026-01-06 08:30:00,2026-01-06 09:02:00,2026-01-06 09:03:00,BOS,short,4441.6,4453.0,4453.0,4446.7,False,,4441.5,TP,0.1,-3.0,1
2026-01-06 09:00:00,2026-01-06 09:09:00,2026-01-06 09:10:00,BOS,short,4446.5,4449.1,4449.1,4437.5,False,,4449.1,SL,-2.6,-30.0,1
2026-01-06 09:10:00,2026-01-06 09:34:00,2026-01-06 09:41:00,MSS,long,4446.3,4437.5,4437.5,4452.9,False,,4452.9,TP,6.6,62.0,7
2026-01-06 11:55:00,2026-01-06 12:03:00,2026-01-06 12:12:00,BOS,long,4477.3,4475.0,4475.0,4478.9,False,,4478.9,TP,1.6,12.0,9
2026-01-06 15:05:00,2026-01-06 15:27:00,2026-01-06 15:52:00,BOS,long,4474.2,4471.2,4471.2,4480.6,False,,4471.2,SL,-3.0,-34.0,25
2026-01-06 18:35:00,2026-01-06 18:48:00,2026-01-06 19:32:00,MSS,long,4461.7,4458.3,4458.3,4466.0,False,,4466.0,TP,4.3,39.0,44
2026-01-06 20:20:00,2026-01-06 20:37:00,2026-01-06 20:39:00,MSS,long,4472.9,4471.6,4471.6,4476.4,False,,4471.6,SL,-1.3,-17.0,2
2026-01-06 20:35:00,2026-01-06 20:58:00,2026-01-06 21:02:00,MSS,short,4473.3,4477.1,4477.1,4470.3,False,,4470.3,TP,3.0,26.0,4
2026-01-06 21:10:00,2026-01-06 21:27:00,2026-01-06 21:28:00,BOS,long,4470.6,4470.1,4470.1,4478.8,False,,4470.1,SL,-0.5,-9.0,1
2026-01-06 22:50:00,2026-01-06 23:13:00,2026-01-06 23:19:00,BOS,long,4493.5,4486.7,4486.7,4498.7,False,,4486.7,SL,-6.8,-72.0,6
2026-01-06 23:30:00,2026-01-06 23:50:00,2026-01-07 00:01:00,BOS,short,4487.0,4492.8,4492.8,4476.6,False,,4492.8,SL,-5.8,-62.0,11
2026-01-07 01:50:00,2026-01-07 02:30:00,2026-01-07 02:51:00,MSS,long,4497.6,4491.4,4491.4,4500.7,False,,4500.7,TP,3.1,27.0,21
2026-01-07 07:00:00,2026-01-07 07:14:00,2026-01-07 07:15:00,MSS,long,4508.5,4504.8,4504.8,4510.1,False,,4510.1,TP,1.6,12.0,1
2026-01-07 07:20:00,2026-01-07 07:43:00,2026-01-07 07:49:00,BOS,long,4507.7,4505.4,4505.4,4511.6,False,,4505.4,SL,-2.3,-27.0,6
2026-01-07 08:35:00,2026-01-07 08:44:00,2026-01-07 08:52:00,BOS,short,4501.3,4505.1,4505.1,4498.5,False,,4498.5,TP,2.8,24.0,8
2026-01-07 10:35:00,2026-01-07 11:17:00,2026-01-07 11:18:00,BOS,long,4488.1,4479.2,4479.2,4489.3,False,,4489.3,TP,1.2,8.0,1
2026-01-07 12:35:00,2026-01-07 12:43:00,2026-01-07 13:05:00,BOS,short,4475.2,4481.7,4481.7,4473.2,False,,4473.2,TP,2.0,16.0,22
2026-01-07 16:05:00,2026-01-07 16:14:00,2026-01-07 16:15:00,BOS,long,4475.4,4470.2,4470.2,4475.4,False,,4475.4,TP,0.0,-4.0,1
2026-01-07 16:35:00,2026-01-07 16:46:00,2026-01-07 17:06:00,BOS,long,4478.2,4473.3,4473.3,4482.4,False,,4473.3,SL,-4.9,-53.0,20
2026-01-07 17:50:00,2026-01-07 18:06:00,2026-01-07 18:15:00,MSS,long,4474.2,4469.7,4469.7,4475.4,False,,4475.4,TP,1.2,8.0,9
2026-01-07 18:25:00,2026-01-07 18:48:00,2026-01-07 18:49:00,MSS,short,4476.5,4476.5,4476.5,4468.2,False,,4476.5,SL,0.0,-4.0,1
2026-01-07 21:05:00,2026-01-07 21:29:00,2026-01-07 21:43:00,MSS,short,4451.6,4459.4,4459.4,4437.8,False,,4459.4,SL,-7.8,-82.0,14
2026-01-07 22:20:00,2026-01-07 22:32:00,2026-01-07 22:36:00,MSS,short,4454.5,4463.3,4463.3,4452.2,False,,4452.2,TP,2.3,19.0,4
2026-01-08 02:30:00,2026-01-08 02:52:00,2026-01-08 03:16:00,MSS,long,4462.7,4457.1,4457.1,4466.8,False,,4457.1,SL,-5.6,-60.0,24
