signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2025-10-30 08:35:00,2025-10-30 09:08:00,2025-10-30 09:12:00,MSS,short,3970.6,3977.0,3970.6,3959.3,True,2025-10-30 09:09:00,3959.3,TP,11.3,109.0,4
2025-10-30 10:45:00,2025-10-30 11:40:00,2025-10-30 11:53:00,BOS,short,3947.4,3953.9,3947.4,3940.2,True,2025-10-30 11:41:00,3947.4,BE,0.0,-4.0,13
2025-10-30 13:10:00,2025-10-30 13:52:00,2025-10-30 13:53:00,MSS,short,3981.1,3991.5,3981.1,3974.2,True,2025-10-30 13:53:00,3981.1,BE,0.0,-4.0,1
2025-10-30 20:00:00,2025-10-30 20:12:00,2025-10-30 20:13:00,MSS,long,3991.5,3982.0,3991.5,3993.8,True,2025-10-30 20:13:00,3991.3,BE,-0.2,-6.0,1
2025-10-30 20:25:00,2025-10-30 20:47:00,2025-10-30 20:48:00,MSS,short,3984.3,3997.7,3984.3,3982.1,True,2025-10-30 20:48:00,3984.3,BE,0.0,-4.0,1
2025-10-30 20:55:00,2025-10-30 21:07:00,2025-10-30 21:10:00,BOS,short,3984.7,3992.8,3984.7,3972.1,True,2025-10-30 21:08:00,3984.7,BE,0.0,-4.0,3
2025-10-30 23:10:00,2025-10-30 23:27:00,2025-10-30 23:28:00,BOS,long,4010.9,4001.5,4010.9,4018.5,True,2025-10-30 23:28:00,4010.6,BE,-0.3,-7.0,1
2025-10-31 01:10:00,2025-10-31 01:19:00,2025-10-31 01:20:00,BOS,short,4012.9,4017.3,4012.9,4008.1,True,2025-10-31 01:20:00,4012.9,BE,0.0,-4.0,1
2025-10-31 10:35:00,2025-10-31 10:54:00,2025-10-31 10:55:00,BOS,short,4023.6,4032.8,4023.6,4015.0,True,2025-10-31 10:55:00,4023.7,BE,-0.1,-5.0,1
2025-10-31 11:35:00,2025-10-31 11:47:00,2025-10-31 11:53:00,MSS,long,4009.6,4007.3,4009.6,4016.0,True,2025-10-31 11:51:00,4009.6,BE,0.0,-4.0,6
