signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2025-11-04 03:00:00,2025-11-04 03:18:00,2025-11-04 03:55:00,MSS,short,4013.7,4019.5,4019.5,4007.9,False,,4019.5,SL,-5.8,-62.0,37
2025-11-04 08:00:00,2025-11-04 08:14:00,2025-11-04 08:17:00,BOS,short,4005.2,4010.4,4010.4,4001.6,False,,4010.4,SL,-5.2,-56.0,3
2025-11-04 08:35:00,2025-11-04 09:19:00,2025-11-04 09:26:00,BOS,short,3999.9,4010.4,3999.9,3993.2,True,2025-11-04 09:21:00,3993.2,TP,6.7,63.0,7
2025-11-04 10:00:00,2025-11-04 10:32:00,2025-11-04 10:35:00,MSS,short,3990.6,3999.7,3990.6,3984.4,True,2025-11-04 10:33:00,3990.6,BE,0.0,-4.0,3
2025-11-04 11:20:00,2025-11-04 12:49:00,2025-11-04 12:55:00,BOS,long,3995.1,3994.2,3995.1,4001.0,True,2025-11-04 12:54:00,4001.0,TP,5.9,55.0,6
2025-11-04 13:25:00,2025-11-04 13:32:00,2025-11-04 13:33:00,BOS,short,3989.7,3996.1,3989.7,3991.9,True,2025-11-04 13:33:00,3990.1,BE,-0.4,-8.0,1
2025-11-04 14:00:00,2025-11-04 14:33:00,2025-11-04 14:47:00,BOS,short,3985.0,3990.4,3990.4,3977.7,False,,3990.4,SL,-5.4,-58.0,14
2025-11-04 16:00:00,2025-11-04 16:07:00,2025-11-04 16:08:00,BOS,long,4007.5,4002.7,4007.5,4008.6,True,2025-11-04 16:08:00,4007.5,BE,0.0,-4.0,1
2025-11-04 16:10:00,2025-11-04 16:24:00,2025-11-04 16:26:00,MSS,short,4005.9,4010.0,4010.0,4001.6,False,,4010.0,SL,-4.1,-45.0,2
2025-11-04 17:30:00,2025-11-04 17:53:00,2025-11-04 17:56:00,MSS,long,4005.0,4001.6,4001.6,4010.0,False,,4001.6,SL,-3.4,-38.0,3
2025-11-04 17:55:00,2025-11-04 18:18:00,2025-11-04 18:31:00,MSS,short,4004.2,4010.3,4004.2,4000.1,True,2025-11-04 18:20:00,4004.2,BE,0.0,-4.0,13
2025-11-04 19:45:00,2025-11-04 19:58:00,2025-11-04 20:03:00,MSS,long,4006.3,4002.6,4006.3,4007.9,True,2025-11-04 20:02:00,4006.3,BE,0.0,-4.0,5
2025-11-04 21:10:00,2025-11-04 21:23:00,2025-11-04 21:28:00,MSS,long,3999.5,3992.8,3992.8,4006.4,False,,3992.8,SL,-6.7,-71.0,5
2025-11-04 22:00:00,2025-11-04 22:18:00,2025-11-04 22:25:00,BOS,short,3984.0,3988.9,3984.0,3977.4,True,2025-11-04 22:21:00,3977.4,TP,6.6,62.0,7
2025-11-05 00:45:00,2025-11-05 01:05:00,2025-11-05 01:06:00,MSS,short,3978.2,3984.3,3978.2,3975.4,True,2025-11-05 01:06:00,3975.4,TP,2.8,24.0,1
2025-11-05 07:00:00,2025-11-05 07:08:00,2025-11-05 07:09:00,MSS,long,3945.9,3940.7,3945.9,3947.3,True,2025-11-05 07:09:00,3945.8,BE,-0.1,-5.0,1
2025-11-05 07:45:00,2025-11-05 07:54:00,2025-11-05 08:03:00,MSS,short,3942.8,3946.8,3946.8,3938.3,False,,3946.8,SL,-4.0,-44.0,9
2025-11-05 08:00:00,2025-11-05 08:13:00,2025-11-05 08:15:00,MSS,long,3946.3,3938.3,3946.3,3950.0,True,2025-11-05 08:14:00,3950.0,TP,3.7,33.0,2
2025-11-05 08:40:00,2025-11-05 08:49:00,2025-11-05 08:59:00,MSS,short,3942.7,3947.7,3947.7,3935.4,False,,3947.7,SL,-5.0,-54.0,10
2025-11-05 09:25:00,2025-11-05 09:49:00,2025-11-05 09:50:00,BOS,long,3949.4,3946.7,3946.7,3957.3,False,,3946.7,SL,-2.7,-31.0,1
