signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2025-07-07 08:30:00,2025-07-07 08:46:00,2025-07-07 08:58:00,BOS,short,3333.8,3335.2,3335.2,3330.0,False,,3335.2,SL,-1.4,-18.0,12
2025-07-07 08:55:00,2025-07-07 09:03:00,2025-07-07 09:05:00,MSS,long,3333.7,3330.0,3330.0,3335.6,False,,3330.0,SL,-3.7,-41.0,2
2025-07-07 10:05:00,2025-07-07 10:19:00,2025-07-07 10:20:00,BOS,short,3323.0,3326.8,3326.8,3322.2,False,,3322.2,TP,0.8,4.0,1
2025-07-07 11:05:00,2025-07-07 12:03:00,2025-07-07 12:26:00,MSS,long,3319.9,3315.9,3315.9,3321.5,False,,3315.9,SL,-4.0,-44.0,23
2025-07-07 13:05:00,2025-07-07 13:34:00,2025-07-07 13:35:00,MSS,long,3319.3,3315.6,3315.6,3320.2,False,,3320.2,TP,0.9,5.0,1
2025-07-07 15:00:00,2025-07-07 15:15:00,2025-07-07 15:28:00,MSS,short,3319.4,3321.3,3321.3,3316.1,False,,3321.3,SL,-1.9,-23.0,13
2025-07-07 17:25:00,2025-07-07 17:52:00,2025-07-07 18:07:00,MSS,short,3318.7,3321.3,3321.3,3317.0,False,,3317.0,TP,1.7,13.0,15
2025-07-07 19:05:00,2025-07-07 19:22:00,2025-07-07 20:38:00,MSS,long,3312.9,3308.7,3308.7,3316.9,False,,3316.9,TP,4.0,36.0,76
2025-07-07 22:40:00,2025-07-07 23:09:00,2025-07-07 23:22:00,BOS,long,3327.9,3323.6,3323.6,3329.5,False,,3329.5,TP,1.6,12.0,13
2025-07-08 01:30:00,2025-07-08 02:09:00,2025-07-08 02:50:00,BOS,long,3340.0,3335.2,3335.2,3345.2,False,,3345.2,TP,5.2,48.0,41
2025-07-08 03:30:00,2025-07-08 07:03:00,2025-07-08 07:04:00,BOS,long,3349.0,3346.2,3346.2,3349.4,False,,3346.2,SL,-2.8,-32.0,1
2025-07-08 08:45:00,2025-07-08 09:09:00,2025-07-08 09:10:00,MSS,long,3341.6,3340.9,3340.9,3344.8,False,,3340.9,SL,-0.7,-11.0,1
2025-07-08 09:35:00,2025-07-08 09:56:00,2025-07-08 10:46:00,MSS,long,3343.9,3342.2,3342.2,3347.1,False,,3347.1,TP,3.2,28.0,50
2025-07-08 10:45:00,2025-07-08 11:00:00,2025-07-08 11:02:00,BOS,long,3345.4,3343.7,3343.7,3348.0,False,,3343.7,SL,-1.7,-21.0,2
2025-07-08 11:15:00,2025-07-08 11:57:00,2025-07-08 12:00:00,BOS,short,3342.1,3343.8,3343.8,3341.0,False,,3341.0,TP,1.1,7.0,3
