break_mode,days,variant,description,actual_days,signals,trades,wins,losses,be_exits,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown,winning_days,losing_days,skipped
Loose,30,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",28.83,723,243,101,142,0,41.56,-1872.0,4644.0,-6516.0,0.71,-2107.0,9,13,116
Loose,30,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",28.83,723,250,56,194,81,22.4,-2589.0,2755.0,-5344.0,0.52,-2722.0,3,19,96
Loose,30,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",28.83,723,266,21,245,178,7.89,-1492.0,1067.0,-2559.0,0.42,-1748.0,2,20,70
Loose,60,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",59.92,849,286,129,157,0,45.1,-1119.0,5867.0,-6986.0,0.84,-2107.0,13,13,141
Loose,60,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",59.92,849,293,75,218,96,25.6,-2014.0,3670.0,-5684.0,0.65,-2722.0,6,20,121
Loose,60,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",59.92,849,311,27,284,209,8.68,-1536.0,1363.0,-2899.0,0.47,-1748.0,3,23,91
Loose,90,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",90.0,1539,502,234,268,0,46.61,-90.0,14440.0,-14530.0,0.99,-2107.0,27,22,268
Loose,90,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",90.0,1539,517,131,386,181,25.34,-2385.0,8535.0,-10920.0,0.78,-2722.0,14,35,222
Loose,90,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",90.0,1539,546,47,499,372,8.61,-2724.0,3199.0,-5923.0,0.54,-2724.0,10,39,169
Loose,120,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",119.79,1712,545,253,292,0,46.42,-284.0,15934.0,-16218.0,0.98,-2107.0,29,26,314
Loose,120,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",119.79,1712,562,141,421,199,25.09,-2462.0,9664.0,-12126.0,0.8,-2722.0,15,40,264
Loose,120,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",119.79,1712,594,53,541,406,8.92,-2473.0,3899.0,-6372.0,0.61,-2746.0,13,42,204
Loose,150,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",150.0,2460,783,353,430,0,45.08,-3729.0,20282.0,-24011.0,0.84,-4590.0,34,44,439
Loose,150,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",150.0,2460,810,193,617,303,23.83,-4710.0,12253.0,-16963.0,0.72,-4754.0,22,56,356
Loose,150,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",150.0,2460,854,65,789,610,7.61,-4035.0,4625.0,-8660.0,0.53,-4035.0,16,62,272
Loose,180,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",179.91,2606,814,368,446,0,45.21,-3667.0,20984.0,-24651.0,0.85,-4740.0,36,46,479
Loose,180,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",179.91,2606,843,202,641,313,23.96,-4750.0,12721.0,-17471.0,0.73,-4933.0,25,57,393
Loose,180,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",179.91,2606,888,68,820,635,7.66,-4052.0,4866.0,-8918.0,0.55,-4157.0,17,65,308
Loose,210,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",210.0,3305,1017,457,560,0,44.94,-5392.0,24363.0,-29755.0,0.82,-6215.0,44,60,600
Loose,210,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",210.0,3305,1052,252,800,392,23.95,-6419.0,14823.0,-21242.0,0.7,-6419.0,28,76,488
Loose,210,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",210.0,3305,1108,84,1024,805,7.58,-5161.0,5581.0,-10742.0,0.52,-5204.0,21,83,384
Loose,240,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",238.79,3422,1051,476,575,0,45.29,-5302.0,25281.0,-30583.0,0.83,-6437.0,47,61,631
Loose,240,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",238.79,3422,1086,262,824,410,24.13,-6175.0,15385.0,-21560.0,0.71,-6470.0,31,77,511
Loose,240,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",238.79,3422,1142,87,1055,834,7.62,-5131.0,5768.0,-10899.0,0.53,-5240.0,23,85,406
Loose,270,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",270.0,4038,1213,541,672,0,44.6,-6310.0,26589.0,-32899.0,0.81,-7197.0,51,76,729
Loose,270,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",270.0,4038,1252,312,940,453,24.92,-7061.0,16424.0,-23485.0,0.7,-7125.0,35,92,597
Loose,270,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",270.0,4038,1308,117,1191,929,8.94,-5960.0,6261.0,-12221.0,0.51,-6024.0,24,103,472
Loose,300,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",299.97,4281,1285,574,711,0,44.67,-6586.0,27252.0,-33838.0,0.81,-7504.0,53,81,771
Loose,300,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",299.97,4281,1324,340,984,469,25.68,-7220.0,16999.0,-24219.0,0.7,-7328.0,38,96,635
Loose,300,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",299.97,4281,1384,135,1249,971,9.75,-6064.0,6662.0,-12726.0,0.52,-6118.0,27,107,504
Loose,330,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",329.83,4938,1494,664,830,0,44.44,-7786.0,28965.0,-36751.0,0.79,-8609.0,60,96,892
Loose,330,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",329.83,4938,1544,397,1147,554,25.71,-8015.0,18311.0,-26326.0,0.7,-8015.0,46,110,733
Loose,330,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",329.83,4938,1616,152,1464,1151,9.41,-6949.0,7055.0,-14004.0,0.5,-6949.0,32,124,576
Loose,360,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",357.83,5164,1561,687,874,0,44.01,-8182.0,29510.0,-37692.0,0.78,-9145.0,62,102,938
Loose,360,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",357.83,5164,1616,412,1204,580,25.5,-8214.0,18731.0,-26945.0,0.7,-8375.0,48,116,772
Loose,360,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",357.83,5164,1688,156,1532,1202,9.24,-7181.0,7260.0,-14441.0,0.5,-7317.0,35,129,614
Strict,30,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",28.83,666,227,90,137,0,39.65,-1892.0,4294.0,-6186.0,0.69,-2174.0,6,16,103
Strict,30,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",28.83,666,233,54,179,69,23.18,-2340.0,2670.0,-5010.0,0.53,-2580.0,4,18,87
Strict,30,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",28.83,666,248,19,229,159,7.66,-1555.0,988.0,-2543.0,0.39,-1820.0,2,20,64
Strict,60,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",59.92,782,265,114,151,0,43.02,-1223.0,5413.0,-6636.0,0.82,-2174.0,9,17,127
Strict,60,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",59.92,782,271,72,199,81,26.57,-1737.0,3581.0,-5318.0,0.67,-2580.0,7,19,111
Strict,60,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",59.92,782,287,25,262,185,8.71,-1519.0,1323.0,-2842.0,0.47,-1820.0,4,22,85
Strict,90,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",90.0,1430,461,209,252,0,45.34,32.0,13438.0,-13406.0,1.0,-2174.0,22,27,237
Strict,90,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",90.0,1430,474,121,353,158,25.53,-2192.0,8031.0,-10223.0,0.79,-2580.0,14,35,203
Strict,90,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",90.0,1430,499,41,458,334,8.22,-2635.0,2824.0,-5459.0,0.52,-2635.0,9,40,157
Strict,120,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",119.79,1597,501,226,275,0,45.11,-576.0,14652.0,-15228.0,0.96,-2174.0,22,33,283
Strict,120,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",119.79,1597,516,129,387,176,25.0,-2657.0,8840.0,-11497.0,0.77,-2657.0,15,40,245
Strict,120,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",119.79,1597,543,45,498,368,8.29,-2762.0,3204.0,-5966.0,0.54,-2762.0,12,43,193
Strict,150,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",150.0,2299,721,321,400,0,44.52,-4197.0,18566.0,-22763.0,0.82,-5274.0,28,50,397
Strict,150,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",150.0,2299,746,178,568,272,23.86,-4889.0,11348.0,-16237.0,0.7,-4933.0,21,57,329
Strict,150,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",150.0,2299,786,57,729,559,7.25,-4209.0,3965.0,-8174.0,0.49,-4209.0,15,63,256
Strict,180,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",179.91,2440,753,336,417,0,44.62,-4222.0,19268.0,-23490.0,0.82,-5498.0,30,52,435
Strict,180,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",179.91,2440,779,186,593,281,23.88,-5119.0,11713.0,-16832.0,0.7,-5186.0,23,59,365
Strict,180,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",179.91,2440,820,59,761,585,7.2,-4332.0,4103.0,-8435.0,0.49,-4334.0,16,66,291
Strict,210,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",210.0,3093,941,422,519,0,44.85,-5747.0,22521.0,-28268.0,0.8,-6786.0,38,66,542
Strict,210,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",210.0,3093,971,238,733,348,24.51,-6566.0,13815.0,-20381.0,0.68,-6566.0,26,78,453
Strict,210,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",210.0,3093,1019,75,944,733,7.36,-5389.0,4818.0,-10207.0,0.47,-5436.0,20,84,364
Strict,240,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",238.79,3207,973,439,534,0,45.12,-5785.0,23311.0,-29096.0,0.8,-7008.0,41,67,570
Strict,240,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",238.79,3207,1003,246,757,366,24.53,-6450.0,14249.0,-20699.0,0.69,-6678.0,29,79,475
Strict,240,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",238.79,3207,1051,78,973,760,7.42,-5350.0,5005.0,-10355.0,0.48,-5463.0,23,85,386
Strict,270,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",270.0,3801,1126,500,626,0,44.4,-6772.0,24521.0,-31293.0,0.78,-7875.0,45,82,663
Strict,270,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",270.0,3801,1159,291,868,406,25.11,-7387.0,15173.0,-22560.0,0.67,-7451.0,33,94,559
Strict,270,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",270.0,3801,1208,106,1102,850,8.77,-6153.0,5449.0,-11602.0,0.47,-6217.0,24,103,450
Strict,300,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",299.97,4033,1195,532,663,0,44.52,-7101.0,25150.0,-32251.0,0.78,-8222.0,47,87,706
Strict,300,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",299.97,4033,1228,318,910,421,25.9,-7590.0,15714.0,-23304.0,0.67,-7685.0,35,99,598
Strict,300,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",299.97,4033,1281,123,1158,891,9.6,-6303.0,5788.0,-12091.0,0.48,-6346.0,27,107,482
Strict,330,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",329.83,4637,1390,612,778,0,44.03,-8209.0,26738.0,-34947.0,0.77,-9248.0,54,102,821
Strict,330,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",329.83,4637,1433,367,1066,502,25.61,-8364.0,16912.0,-25276.0,0.67,-8364.0,43,113,693
Strict,330,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",329.83,4637,1498,140,1358,1057,9.35,-7103.0,6172.0,-13275.0,0.46,-7103.0,33,123,552
Strict,360,engulf_original,"61.8 arms setup, 1m engulf market entry, original TP/SL",357.83,4847,1451,635,816,0,43.76,-8568.0,27277.0,-35845.0,0.76,-9661.0,55,109,868
Strict,360,engulf_be_236,"61.8 arms setup, 1m engulf market entry, BE at 23.6",357.83,4847,1500,383,1117,527,25.53,-8486.0,17350.0,-25836.0,0.67,-8643.0,45,119,732
Strict,360,engulf_be_500,"61.8 arms setup, 1m engulf market entry, BE at 50.0",357.83,4847,1565,144,1421,1107,9.2,-7294.0,6377.0,-13671.0,0.47,-7426.0,36,128,590
