time,kind,direction,entry,sl,tp,wave_start,wave_end,wave_start_bar
2026-05-04 08:00:00,MSS,short,4623.7,4628.6,4615.8,4628.6,4615.8,23
2026-05-04 08:20:00,BOS,short,4622.6,4628.4,4613.2,4628.4,4613.2,25
2026-05-04 08:55:00,MSS,long,4619.5,4616.0,4625.2,4616.0,4625.2,33
2026-05-04 09:00:00,MSS,short,4619.8,4625.2,4611.0,4625.2,4611.0,35
2026-05-04 09:25:00,BOS,short,4611.8,4615.8,4605.2,4615.8,4605.2,39
2026-05-04 09:50:00,MSS,long,4609.0,4603.6,4617.8,4603.6,4617.8,42
2026-05-04 11:35:00,MSS,short,4618.6,4622.6,4612.1,4622.6,4612.1,66
2026-05-04 11:50:00,MSS,long,4615.6,4609.4,4625.7,4609.4,4625.7,68
2026-05-04 12:55:00,MSS,short,4619.3,4621.6,4615.7,4621.6,4615.7,82
2026-05-04 13:15:00,MSS,long,4617.1,4612.7,4624.3,4612.7,4624.3,86
2026-05-04 13:25:00,MSS,short,4617.3,4624.3,4606.1,4624.3,4606.1,87
2026-05-04 14:00:00,BOS,short,4608.9,4613.1,4602.2,4613.1,4602.2,95
2026-05-04 14:35:00,BOS,short,4602.5,4607.0,4595.3,4607.0,4595.3,102
2026-05-04 15:50:00,BOS,short,4598.3,4602.1,4592.1,4602.1,4592.1,117
2026-05-04 16:35:00,MSS,long,4586.8,4584.6,4590.3,4584.6,4590.3,126
2026-05-04 16:55:00,MSS,short,4589.2,4590.8,4586.7,4590.8,4586.7,130
2026-05-04 17:00:00,MSS,long,4588.7,4586.7,4592.0,4586.7,4592.0,131
2026-05-04 17:10:00,BOS,long,4590.0,4586.7,4595.3,4586.7,4595.3,131
2026-05-04 17:50:00,MSS,short,4593.0,4595.6,4588.7,4595.6,4588.7,139
2026-05-04 19:30:00,BOS,short,4575.8,4581.0,4567.5,4581.0,4567.5,159
2026-05-04 20:15:00,MSS,long,4572.2,4563.6,4586.2,4563.6,4586.2,165
2026-05-04 20:50:00,BOS,long,4580.9,4577.0,4587.1,4577.0,4587.1,177
2026-05-04 21:00:00,MSS,short,4579.8,4587.1,4568.0,4587.1,4568.0,178
2026-05-04 22:05:00,BOS,short,4572.4,4577.4,4564.4,4577.4,4564.4,191
2026-05-04 22:15:00,MSS,long,4572.3,4564.4,4585.2,4564.4,4585.2,193
2026-05-04 22:55:00,MSS,short,4585.6,4594.7,4570.8,4594.7,4570.8,200
2026-05-05 00:05:00,BOS,short,4538.6,4553.8,4513.9,4553.8,4513.9,211
2026-05-05 01:15:00,MSS,long,4526.6,4517.3,4541.7,4517.3,4541.7,226
2026-05-05 02:05:00,MSS,short,4532.9,4535.6,4528.5,4535.6,4528.5,240
2026-05-05 02:55:00,MSS,long,4522.8,4520.4,4526.6,4520.4,4526.6,248
2026-05-05 03:05:00,BOS,long,4525.6,4520.8,4533.3,4520.8,4533.3,252
2026-05-05 04:40:00,BOS,long,4524.3,4521.6,4528.7,4521.6,4528.7,268
2026-05-05 06:40:00,MSS,short,4530.3,4531.7,4528.1,4531.7,4528.1,282
2026-05-05 07:40:00,BOS,short,4529.7,4531.2,4527.4,4531.2,4527.4,293
2026-05-05 08:00:00,MSS,long,4528.7,4525.8,4533.5,4525.8,4533.5,298
2026-05-05 08:25:00,MSS,short,4532.1,4538.0,4522.6,4538.0,4522.6,302
2026-05-05 08:50:00,MSS,long,4529.2,4522.6,4539.8,4522.6,4539.8,305
2026-05-05 09:00:00,BOS,long,4530.8,4522.6,4544.1,4522.6,4544.1,305
2026-05-05 09:55:00,BOS,long,4546.1,4543.3,4550.7,4543.3,4550.7,318
2026-05-05 10:15:00,MSS,short,4547.6,4549.6,4544.4,4549.6,4544.4,326
2026-05-05 10:25:00,MSS,long,4546.8,4544.0,4551.2,4544.0,4551.2,328
2026-05-05 11:20:00,MSS,short,4549.9,4551.8,4546.7,4551.8,4546.7,339
2026-05-05 13:05:00,MSS,long,4545.6,4539.9,4554.7,4539.9,4554.7,360
2026-05-05 13:30:00,BOS,long,4549.3,4544.8,4556.6,4544.8,4556.6,363
2026-05-05 14:15:00,MSS,short,4556.5,4561.5,4548.3,4561.5,4548.3,372
2026-05-05 15:00:00,MSS,long,4559.5,4556.8,4563.8,4556.8,4563.8,383
2026-05-05 15:15:00,BOS,long,4562.2,4560.3,4565.4,4560.3,4565.4,386
2026-05-05 15:25:00,MSS,short,4562.6,4565.5,4558.0,4565.5,4558.0,388
2026-05-05 15:45:00,BOS,short,4563.4,4568.3,4555.4,4568.3,4555.4,391
2026-05-05 16:20:00,MSS,long,4559.0,4556.2,4563.6,4556.2,4563.6,398
2026-05-05 16:50:00,BOS,long,4561.6,4557.7,4568.0,4557.7,4568.0,405
2026-05-05 17:25:00,MSS,short,4567.4,4570.5,4562.4,4570.5,4562.4,409
2026-05-05 18:05:00,BOS,short,4565.3,4567.2,4562.2,4567.2,4562.2,420
2026-05-05 18:25:00,BOS,short,4562.0,4565.3,4556.7,4565.3,4556.7,423
2026-05-05 18:40:00,BOS,short,4560.6,4564.5,4554.3,4564.5,4554.3,426
2026-05-05 19:05:00,MSS,long,4554.1,4550.1,4560.6,4550.1,4560.6,432
2026-05-05 19:40:00,BOS,long,4559.7,4550.1,4575.2,4550.1,4575.2,432
2026-05-05 20:00:00,MSS,short,4569.7,4573.0,4564.3,4573.0,4564.3,443
2026-05-05 20:10:00,MSS,long,4569.3,4564.3,4577.3,4564.3,4577.3,444
2026-05-05 21:05:00,BOS,long,4579.5,4572.1,4591.4,4572.1,4591.4,454
2026-05-05 21:35:00,MSS,short,4588.8,4592.4,4583.0,4592.4,4583.0,462
2026-05-05 22:05:00,MSS,long,4589.6,4586.2,4595.1,4586.2,4595.1,468
2026-05-05 22:10:00,MSS,short,4589.6,4595.1,4580.7,4595.1,4580.7,469
2026-05-05 23:00:00,MSS,long,4589.6,4586.3,4594.9,4586.3,4594.9,478
2026-05-05 23:40:00,MSS,short,4588.7,4592.1,4583.2,4592.1,4583.2,486
2026-05-06 01:05:00,BOS,short,4570.1,4573.8,4564.0,4573.8,4564.0,503
2026-05-06 01:45:00,MSS,long,4568.6,4565.9,4572.9,4565.9,4572.9,510
2026-05-06 02:10:00,BOS,long,4571.2,4568.4,4575.6,4568.4,4575.6,514
2026-05-06 03:00:00,MSS,short,4573.4,4576.2,4568.8,4576.2,4568.8,525
2026-05-06 03:45:00,MSS,long,4567.5,4566.2,4569.7,4566.2,4569.7,535
2026-05-06 03:50:00,MSS,short,4567.8,4569.7,4564.6,4569.7,4564.6,537
2026-05-06 04:25:00,MSS,long,4567.9,4566.0,4571.0,4566.0,4571.0,544
2026-05-06 06:00:00,MSS,short,4565.3,4568.4,4560.2,4568.4,4560.2,551
2026-05-06 06:50:00,MSS,long,4561.1,4556.3,4568.8,4556.3,4568.8,561
2026-05-06 08:00:00,BOS,long,4604.0,4601.0,4608.9,4601.0,4608.9,575
2026-05-06 08:20:00,BOS,long,4604.3,4598.3,4613.9,4598.3,4613.9,579
2026-05-06 08:50:00,BOS,long,4619.8,4618.0,4622.6,4618.0,4622.6,584
2026-05-06 09:20:00,BOS,long,4625.9,4620.3,4635.0,4620.3,4635.0,590
2026-05-06 09:45:00,BOS,long,4634.3,4631.1,4639.5,4631.1,4639.5,595
2026-05-06 10:45:00,BOS,long,4643.4,4640.2,4648.6,4640.2,4648.6,608
2026-05-06 11:05:00,BOS,long,4651.0,4648.2,4655.5,4648.2,4655.5,612
2026-05-06 11:35:00,BOS,long,4656.0,4652.2,4662.2,4652.2,4662.2,618
2026-05-06 12:05:00,BOS,long,4654.7,4652.7,4658.0,4652.7,4658.0,623
2026-05-06 12:25:00,BOS,long,4659.1,4655.9,4664.2,4655.9,4664.2,628
2026-05-06 13:30:00,MSS,short,4661.9,4666.3,4654.9,4666.3,4654.9,641
2026-05-06 13:55:00,MSS,long,4662.5,4654.9,4674.8,4654.9,4674.8,642
2026-05-06 14:25:00,BOS,long,4671.8,4668.3,4677.5,4668.3,4677.5,652
2026-05-06 15:10:00,MSS,short,4676.9,4681.5,4669.4,4681.5,4669.4,660
2026-05-06 15:40:00,MSS,long,4676.3,4673.2,4681.3,4673.2,4681.3,667
2026-05-06 16:30:00,MSS,short,4689.7,4691.4,4686.9,4691.4,4686.9,677
