signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-02-12 21:45:00,2026-02-12 23:40:00,2026-02-12 23:59:00,BOS,long,5068.1,5066.2,5066.2,5072.4,False,,5059.8,SL,-8.3,-87.0,2
2026-02-26 08:55:00,2026-02-26 09:00:00,2026-02-26 09:01:00,EXTEND,long,5206.9,5200.0,5200.0,5204.8,False,,5207.0,TP,0.1,-3.0,1
2026-02-26 09:00:00,2026-02-26 09:12:00,2026-02-26 09:21:00,EXTEND,long,5202.9,5197.9,5197.9,5209.8,False,,5209.8,TP,6.9,65.23,9
2026-02-26 09:30:00,2026-02-26 09:39:00,2026-02-26 09:41:00,EXTEND,short,5200.7,5205.6,5205.6,5198.2,False,,5205.6,SL,-4.9,-53.0,2
2026-02-26 10:50:00,2026-02-26 10:55:00,2026-02-26 10:56:00,MSS,long,5200.9,5197.8,5197.8,5197.7,False,,5201.1,TP,0.2,-2.0,1
2026-02-26 13:25:00,2026-02-26 13:49:00,2026-02-26 13:50:00,EXTEND,long,5210.0,5216.4,5216.4,5218.1,False,,5210.2,SL,0.2,-2.0,1
2026-02-26 15:05:00,2026-02-26 15:20:00,2026-02-26 15:23:00,BOS,short,5203.9,5205.0,5205.0,5200.9,False,,5200.9,TP,3.0,26.2,3
2026-02-26 15:50:00,2026-02-26 15:59:00,2026-02-26 16:00:00,EXTEND,short,5202.6,5203.7,5203.7,5198.6,False,,5203.7,SL,-1.1,-15.0,1
2026-02-26 16:10:00,2026-02-26 16:19:00,2026-02-26 16:21:00,MSS,long,5203.7,5201.3,5201.3,5204.9,False,,5201.3,SL,-2.4,-28.0,2
2026-02-26 16:45:00,2026-02-26 16:53:00,2026-02-26 17:31:00,EXTEND,short,5194.9,5198.6,5198.6,5188.9,False,,5198.6,SL,-3.7,-41.0,38
2026-02-26 18:15:00,2026-02-26 18:22:00,2026-02-26 18:23:00,MSS,short,5197.9,5200.9,5200.9,5200.1,False,,5198.1,TP,-0.2,-6.0,1
2026-02-26 18:55:00,2026-02-26 19:08:00,2026-02-26 19:51:00,EXTEND,short,5191.4,5194.2,5194.2,5184.2,False,,5184.2,TP,7.2,67.67,43
2026-02-26 20:00:00,2026-02-26 20:13:00,2026-02-26 20:17:00,EXTEND,short,5183.7,5186.1,5186.1,5177.5,False,,5186.1,SL,-2.4,-28.0,4
2026-02-26 21:10:00,2026-02-26 21:23:00,2026-02-26 21:30:00,EXTEND,short,5191.7,5195.6,5195.6,5188.4,False,,5188.4,TP,3.3,29.3,7
2026-02-26 22:25:00,2026-02-26 22:34:00,2026-02-26 22:35:00,EXTEND,long,5181.6,5155.1,5155.1,5185.7,False,,5185.7,TP,4.1,36.79,1
2026-02-26 22:35:00,2026-02-26 22:42:00,2026-02-26 22:43:00,EXTEND,long,5182.0,5174.4,5174.4,5187.6,False,,5187.6,TP,5.6,51.89,1
2026-02-26 22:45:00,2026-02-26 22:54:00,2026-02-26 23:00:00,EXTEND,long,5185.1,5179.4,5179.4,5188.6,False,,5179.4,SL,-5.7,-61.0,6
2026-02-26 23:40:00,2026-02-26 23:45:00,2026-02-26 23:46:00,MSS,long,5195.5,5145.2,5145.2,5181.6,False,,5195.6,TP,0.1,-3.0,1
2026-02-27 01:45:00,2026-02-27 01:53:00,2026-02-27 01:54:00,BOS,short,5183.3,5192.4,5192.4,5184.6,False,,5183.1,TP,0.2,-2.0,1
2026-02-27 02:10:00,2026-02-27 02:15:00,2026-02-27 02:16:00,MSS,long,5192.3,5185.9,5185.9,5188.2,False,,5192.3,TP,0.0,-4.0,1
2026-02-27 02:30:00,2026-02-27 02:36:00,2026-02-27 02:39:00,EXTEND,long,5187.9,5176.4,5176.4,5193.7,False,,5193.7,TP,5.8,53.94,3
2026-02-27 03:45:00,2026-02-27 07:00:00,2026-02-27 07:01:00,BOS,long,5206.8,5200.0,5200.0,5208.8,False,,5200.0,SL,-6.8,-72.0,1
2026-02-27 07:00:00,2026-02-27 07:08:00,2026-02-27 07:09:00,BOS,short,5196.6,5203.9,5203.9,5196.0,False,,5196.0,TP,0.6,2.06,1
2026-02-27 08:15:00,2026-02-27 08:20:00,2026-02-27 08:21:00,MSS,long,5208.0,5199.4,5199.4,5204.2,False,,5208.0,TP,0.0,-4.0,1
2026-02-27 08:35:00,2026-02-27 08:41:00,2026-02-27 08:42:00,MSS,short,5188.5,5206.5,5206.5,5193.0,False,,5188.2,TP,0.3,-1.0,1
2026-02-27 11:30:00,2026-02-27 11:39:00,2026-02-27 11:42:00,EXTEND,long,5203.0,5200.0,5200.0,5203.9,False,,5203.9,TP,0.9,4.88,3
2026-02-27 11:45:00,2026-02-27 12:02:00,2026-02-27 12:20:00,BOS,long,5202.5,5200.1,5200.1,5205.7,False,,5200.1,SL,-2.4,-28.0,18
2026-02-27 12:25:00,2026-02-27 12:32:00,2026-02-27 12:33:00,EXTEND,long,5203.9,5202.2,5202.2,5204.4,False,,5202.2,SL,-1.7,-21.0,1
2026-02-27 12:55:00,2026-02-27 13:09:00,2026-02-27 13:11:00,EXTEND,short,5201.4,5202.3,5202.3,5199.1,False,,5202.3,SL,-0.9,-13.0,2
2026-02-27 13:55:00,2026-02-27 14:11:00,2026-02-27 14:15:00,BOS,long,5214.5,5211.1,5211.1,5215.1,False,,5215.1,TP,0.6,2.34,4
2026-02-27 15:15:00,2026-02-27 15:26:00,2026-02-27 15:29:00,EXTEND,short,5199.1,5202.2,5202.2,5197.2,False,,5197.2,TP,1.9,14.97,3
2026-02-27 15:55:00,2026-02-27 16:06:00,2026-02-27 16:16:00,BOS,short,5196.6,5199.3,5199.3,5194.3,False,,5194.3,TP,2.3,19.48,10
2026-02-27 16:20:00,2026-02-27 16:36:00,2026-02-27 16:54:00,EXTEND,short,5196.9,5199.2,5199.2,5193.0,False,,5193.0,TP,3.9,34.7,18
2026-02-27 16:50:00,2026-02-27 16:58:00,2026-02-27 16:59:00,EXTEND,short,5194.9,5197.1,5197.1,5194.5,False,,5194.5,TP,0.4,0.37,1
2026-02-27 17:10:00,2026-02-27 17:17:00,2026-02-27 17:18:00,EXTEND,short,5194.3,5195.0,5195.0,5193.4,False,,5195.0,SL,-0.7,-11.0,1
2026-02-27 18:20:00,2026-02-27 18:25:00,2026-02-27 18:26:00,EXTEND,long,5195.4,5192.3,5192.3,5193.7,False,,5195.4,TP,0.0,-4.0,1
2026-02-27 18:25:00,2026-02-27 18:32:00,2026-02-27 18:33:00,EXTEND,long,5192.4,5192.3,5192.3,5194.1,False,,5192.2,SL,-0.2,-6.0,1
2026-02-27 19:15:00,2026-02-27 19:26:00,2026-02-27 19:29:00,EXTEND,short,5191.3,5193.5,5193.5,5189.8,False,,5193.5,SL,-2.2,-26.0,3
