signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-05-04 08:00:00,2026-05-04 08:12:00,2026-05-04 08:18:00,MSS,short,4621.6,4628.4,4628.4,4618.8,False,,4618.8,TP,2.8,23.79,6
2026-05-04 09:05:00,2026-05-04 09:10:00,2026-05-04 09:11:00,EXTEND,short,4607.5,4625.7,4625.7,4612.5,False,,4607.5,TP,0.0,-4.0,1
2026-05-04 09:30:00,2026-05-04 09:41:00,2026-05-04 09:44:00,EXTEND,short,4610.9,4613.0,4613.0,4606.5,False,,4613.0,SL,-2.1,-25.0,3
2026-05-04 10:00:00,2026-05-04 10:19:00,2026-05-04 10:20:00,EXTEND,long,4616.3,4613.3,4613.3,4623.7,False,,4613.3,SL,-3.0,-34.0,1
2026-05-04 11:50:00,2026-05-04 11:57:00,2026-05-04 11:58:00,MSS,long,4626.3,4623.2,4623.2,4621.9,False,,4626.3,TP,0.0,-4.0,1
2026-05-04 12:55:00,2026-05-04 13:02:00,2026-05-04 13:03:00,MSS,short,4615.0,4617.3,4617.3,4617.1,False,,4615.1,TP,-0.1,-5.0,1
2026-05-04 13:15:00,2026-05-04 13:22:00,2026-05-04 13:23:00,MSS,long,4622.0,4611.6,4611.6,4621.6,False,,4621.6,TP,-0.4,-8.38,1
2026-05-04 14:05:00,2026-05-04 14:15:00,2026-05-04 14:23:00,EXTEND,short,4604.6,4610.0,4610.0,4602.3,False,,4602.3,TP,2.3,19.49,8
2026-05-04 16:40:00,2026-05-04 16:53:00,2026-05-04 16:58:00,EXTEND,long,4589.5,4588.0,4588.0,4590.9,False,,4588.0,SL,-1.5,-19.0,5
2026-05-04 17:05:00,2026-05-04 17:13:00,2026-05-04 17:14:00,EXTEND,long,4592.9,4590.2,4590.2,4591.1,False,,4592.6,TP,-0.3,-7.0,1
2026-05-04 17:15:00,2026-05-04 17:53:00,2026-05-04 17:56:00,EXTEND,long,4590.5,4588.7,4588.7,4593.5,False,,4588.7,SL,-1.8,-22.0,3
2026-05-04 18:20:00,2026-05-04 18:42:00,2026-05-04 18:47:00,EXTEND,short,4568.5,4574.6,4574.6,4549.9,False,,4574.6,SL,-6.1,-65.0,5
2026-05-04 19:35:00,2026-05-04 19:59:00,2026-05-04 20:02:00,EXTEND,short,4571.2,4574.0,4574.0,4566.6,False,,4574.0,SL,-2.8,-32.0,3
2026-05-04 20:20:00,2026-05-04 20:37:00,2026-05-04 20:50:00,EXTEND,long,4576.0,4571.7,4571.7,4584.1,False,,4584.1,TP,8.1,76.75,13
