signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2026-04-07 19:30:00,2026-04-07 22:02:00,2026-04-07 22:06:00,MSS,long,4628.8,4616.5,4616.5,4641.2,False,,4616.5,SL,-12.3,-127.39,1
2026-04-29 08:50:00,2026-04-29 08:57:00,2026-04-29 09:00:00,BOS,short,4615.2,4618.7,4618.7,4611.7,False,,4611.7,TP,3.5,31.14,3
2026-04-29 09:40:00,2026-04-29 09:48:00,2026-04-29 10:00:00,MSS,long,4597.3,4592.4,4592.4,4602.3,False,,4602.3,TP,4.9,45.28,12
2026-04-29 10:40:00,2026-04-29 10:48:00,2026-04-29 10:52:00,EXTEND,short,4613.8,4616.9,4616.9,4610.7,False,,4610.7,TP,3.1,26.94,4
2026-04-29 10:55:00,2026-04-29 11:04:00,2026-04-29 11:13:00,EXTEND,short,4611.2,4614.8,4614.8,4607.6,False,,4614.8,SL,-3.6,-39.91,9
2026-04-29 11:15:00,2026-04-29 11:31:00,2026-04-29 12:12:00,EXTEND,long,4609.8,4605.4,4605.4,4614.2,False,,4614.2,TP,4.4,39.93,41
2026-04-29 13:35:00,2026-04-29 13:51:00,2026-04-29 13:55:00,EXTEND,short,4616.1,4621.3,4621.3,4610.8,False,,4610.8,TP,5.2,48.33,4
2026-04-29 13:55:00,2026-04-29 14:01:00,2026-04-29 14:07:00,BOS,short,4612.0,4616.9,4616.9,4607.2,False,,4607.2,TP,4.9,44.51,6
2026-04-29 15:00:00,2026-04-29 15:06:00,2026-04-29 15:09:00,MSS,long,4598.1,4594.9,4594.9,4601.3,False,,4594.9,SL,-3.2,-36.09,3
2026-04-29 16:35:00,2026-04-29 16:44:00,2026-04-29 16:46:00,EXTEND,short,4579.4,4584.9,4584.9,4573.9,False,,4584.9,SL,-5.5,-59.01,2
2026-04-29 17:15:00,2026-04-29 17:22:00,2026-04-29 17:25:00,BOS,long,4588.0,4584.5,4584.5,4591.5,False,,4584.5,SL,-3.5,-38.76,3
2026-04-29 17:55:00,2026-04-29 18:03:00,2026-04-29 18:15:00,EXTEND,short,4575.7,4582.8,4582.8,4568.5,False,,4582.8,SL,-7.1,-75.43,12
2026-04-29 18:30:00,2026-04-29 19:51:00,2026-04-29 20:34:00,EXTEND,long,4573.8,4564.1,4564.1,4583.5,False,,4564.1,SL,-9.7,-101.03,43
2026-04-29 20:55:00,2026-04-29 21:02:00,2026-04-29 21:19:00,EXTEND,short,4565.4,4573.0,4573.0,4557.7,False,,4557.7,TP,7.6,72.4,17
2026-04-29 22:35:00,2026-04-29 22:46:00,2026-04-29 22:55:00,EXTEND,long,4548.1,4543.2,4543.2,4553.0,False,,4553.0,TP,4.9,44.9,9
2026-04-29 23:05:00,2026-04-29 23:12:00,2026-04-29 23:18:00,EXTEND,long,4549.6,4543.2,4543.2,4556.0,False,,4556.0,TP,6.4,60.18,6
2026-04-29 23:45:00,2026-04-29 23:53:00,2026-04-30 00:01:00,EXTEND,long,4560.0,4552.7,4552.7,4567.2,False,,4567.2,TP,7.3,68.58,8
2026-04-30 00:05:00,2026-04-30 00:34:00,2026-04-30 02:00:00,EXTEND,long,4563.8,4554.8,4554.8,4572.8,False,,4554.8,SL,-9.0,-93.77,86
2026-04-30 02:00:00,2026-04-30 02:05:00,2026-04-30 02:07:00,BOS,short,4555.7,4561.8,4561.8,4549.7,False,,4549.7,TP,6.1,56.74,2
2026-04-30 02:10:00,2026-04-30 02:17:00,2026-04-30 02:29:00,EXTEND,short,4553.2,4561.8,4561.8,4544.5,False,,4544.5,TP,8.6,82.33,12
2026-04-30 02:30:00,2026-04-30 02:36:00,2026-04-30 02:36:00,BOS,short,4546.6,4554.0,4554.0,4539.1,False,,4554.0,SL,-7.4,-78.49,0
2026-04-30 02:45:00,2026-04-30 02:50:00,2026-04-30 02:56:00,EXTEND,short,4545.6,4554.0,4554.0,4537.3,False,,4554.0,SL,-8.4,-87.66,6
2026-04-30 03:15:00,2026-04-30 03:32:00,2026-04-30 03:49:00,EXTEND,long,4554.0,4547.3,4547.3,4560.7,False,,4560.7,TP,6.7,63.23,17
2026-04-30 07:00:00,2026-04-30 07:05:00,2026-04-30 07:14:00,BOS,long,4563.3,4561.5,4561.5,4565.0,False,,4565.0,TP,1.8,13.57,9
2026-04-30 07:15:00,2026-04-30 07:20:00,2026-04-30 07:38:00,EXTEND,long,4563.8,4561.5,4561.5,4566.0,False,,4566.0,TP,2.3,18.54,18
2026-04-30 08:00:00,2026-04-30 08:15:00,2026-04-30 08:19:00,EXTEND,long,4569.1,4561.5,4561.5,4576.8,False,,4576.8,TP,7.6,72.4,4
2026-04-30 08:45:00,2026-04-30 09:00:00,2026-04-30 09:26:00,EXTEND,long,4578.9,4574.3,4574.3,4583.5,False,,4583.5,TP,4.6,41.84,26
2026-04-30 09:30:00,2026-04-30 09:36:00,2026-04-30 09:41:00,EXTEND,long,4583.6,4577.5,4577.5,4589.6,False,,4589.6,TP,6.1,56.74,5
2026-04-30 09:50:00,2026-04-30 10:04:00,2026-04-30 10:17:00,BOS,long,4588.8,4585.4,4585.4,4592.3,False,,4592.3,TP,3.4,30.38,13
2026-04-30 12:30:00,2026-04-30 13:08:00,2026-04-30 13:24:00,EXTEND,short,4562.1,4568.3,4568.3,4555.9,False,,4568.3,SL,-6.2,-65.88,16
2026-04-30 17:05:00,2026-04-30 17:10:00,2026-04-30 17:14:00,BOS,long,4629.0,4627.1,4627.1,4631.0,False,,4631.0,TP,1.9,15.48,4
2026-04-30 17:15:00,2026-04-30 17:21:00,2026-04-30 17:24:00,EXTEND,long,4629.2,4627.1,4627.1,4631.3,False,,4631.3,TP,2.1,17.01,3
2026-04-30 17:30:00,2026-04-30 17:37:00,2026-04-30 18:01:00,EXTEND,long,4633.8,4627.5,4627.5,4640.2,False,,4640.2,TP,6.3,59.41,24
2026-04-30 19:05:00,2026-04-30 19:14:00,2026-04-30 19:23:00,EXTEND,long,4650.3,4645.3,4645.3,4655.2,False,,4655.2,TP,5.0,45.66,9
2026-04-30 20:00:00,2026-04-30 20:08:00,2026-04-30 20:11:00,MSS,long,4644.3,4641.0,4641.0,4647.6,False,,4647.6,TP,3.3,29.23,3
2026-04-30 20:20:00,2026-04-30 20:26:00,2026-04-30 20:30:00,EXTEND,long,4644.6,4641.0,4641.0,4648.3,False,,4641.0,SL,-3.6,-40.29,4
2026-04-30 20:30:00,2026-04-30 20:37:00,2026-04-30 20:44:00,MSS,short,4644.5,4650.5,4650.5,4638.6,False,,4638.6,TP,6.0,55.59,7
2026-04-30 22:35:00,2026-04-30 22:43:00,2026-04-30 23:44:00,BOS,short,4632.7,4638.9,4638.9,4626.6,False,,4626.6,TP,6.2,57.5,61
2026-05-01 00:15:00,2026-05-01 00:34:00,2026-05-01 00:50:00,BOS,short,4625.4,4630.1,4630.1,4620.7,False,,4630.1,SL,-4.7,-50.99,16
2026-05-01 00:55:00,2026-05-01 01:01:00,2026-05-01 01:05:00,BOS,short,4626.2,4630.8,4630.8,4621.6,False,,4630.8,SL,-4.6,-50.22,4
2026-05-01 02:15:00,2026-05-01 02:42:00,2026-05-01 02:52:00,EXTEND,long,4632.0,4628.0,4628.0,4636.1,False,,4636.1,TP,4.0,36.49,10
2026-05-01 03:05:00,2026-05-01 03:20:00,2026-05-01 03:32:00,EXTEND,long,4632.9,4628.0,4628.0,4637.8,False,,4628.0,SL,-4.9,-52.9,12
2026-05-01 07:35:00,2026-05-01 07:45:00,2026-05-01 07:47:00,EXTEND,long,4643.3,4641.1,4641.1,4645.5,False,,4645.5,TP,2.2,17.77,2
