break_mode,days,variant,entry_mode,sl_mode,actual_days,signals,trades,wins,losses,be_exits,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown,winning_days,losing_days,skipped
Loose,30,limit_sl_5m,limit,5m_wave_start,28.83,723,327,155,172,0,47.4,-1291.17,8002.36,-9293.53,0.86,-2333.75,10,13,668
Loose,30,engulf_sl_1m,engulf,1m_swing,28.83,723,397,120,277,0,30.23,-2140.88,3521.22,-5662.1,0.62,-2338.02,6,17,301
Loose,60,limit_sl_5m,limit,5m_wave_start,59.92,849,392,193,199,0,49.23,-1172.6,9666.01,-10838.61,0.89,-2333.75,12,16,734
Loose,60,engulf_sl_1m,engulf,1m_swing,59.92,849,466,152,314,0,32.62,-1854.48,4428.63,-6283.11,0.7,-2338.02,9,19,341
Loose,90,limit_sl_5m,limit,5m_wave_start,90.0,1539,704,364,340,0,51.7,1070.66,25305.27,-24234.61,1.04,-2333.75,26,25,1304
Loose,90,engulf_sl_1m,engulf,1m_swing,90.0,1539,780,250,530,0,32.05,-4377.5,9556.51,-13934.02,0.69,-4399.21,17,33,816
Loose,120,limit_sl_5m,limit,5m_wave_start,119.79,1712,768,395,373,0,51.43,538.11,27552.35,-27014.24,1.02,-2333.75,28,29,1448
Loose,120,engulf_sl_1m,engulf,1m_swing,119.79,1712,848,277,571,0,32.67,-4928.51,10608.5,-15537.02,0.68,-4962.29,18,38,939
Loose,150,limit_sl_5m,limit,5m_wave_start,150.0,2460,1112,557,555,0,50.09,-2308.59,34911.07,-37219.66,0.94,-3879.91,34,44,2139
Loose,150,engulf_sl_1m,engulf,1m_swing,150.0,2460,1251,378,873,0,30.22,-8429.24,13700.58,-22129.82,0.62,-8450.94,21,58,1290
Loose,180,limit_sl_5m,limit,5m_wave_start,179.91,2606,1166,585,581,0,50.17,-2235.42,36319.81,-38555.23,0.94,-4018.87,35,47,2220
Loose,180,engulf_sl_1m,engulf,1m_swing,179.91,2606,1313,398,915,0,30.31,-8512.75,14360.83,-22873.58,0.63,-8676.29,23,60,1344
Loose,210,limit_sl_5m,limit,5m_wave_start,210.0,3305,1490,749,741,0,50.27,-2586.06,43813.68,-46399.74,0.94,-5027.38,45,56,2643
Loose,210,engulf_sl_1m,engulf,1m_swing,210.0,3305,1667,514,1153,0,30.83,-10430.0,17375.52,-27805.52,0.62,-10451.71,28,76,1560
Loose,240,limit_sl_5m,limit,5m_wave_start,238.79,3422,1545,782,763,0,50.61,-2141.38,45668.46,-47809.84,0.96,-5027.38,48,57,2708
Loose,240,engulf_sl_1m,engulf,1m_swing,238.79,3422,1721,533,1188,0,30.97,-10538.96,17994.03,-28532.99,0.63,-10708.12,30,78,1590
Loose,270,limit_sl_5m,limit,5m_wave_start,270.0,4038,1795,895,900,0,49.86,-3924.72,48280.94,-52205.66,0.92,-5348.93,53,72,3017
Loose,270,engulf_sl_1m,engulf,1m_swing,270.0,4038,1974,625,1349,0,31.66,-11649.58,19156.37,-30805.95,0.62,-11724.29,35,93,1742
Loose,300,limit_sl_5m,limit,5m_wave_start,299.97,4281,1902,948,954,0,49.84,-4309.06,49373.02,-53682.07,0.92,-5757.98,55,77,3125
