signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2025-07-07 08:05:00,2025-07-07 08:11:00,2025-07-07 08:12:00,MSS,short,3332.8,3335.0,3335.0,3335.6,False,,3333.0,TP,-0.2,-6.0,1
2025-07-07 09:05:00,2025-07-07 09:10:00,2025-07-07 09:11:00,MSS,short,3324.3,3334.1,3334.1,3330.0,False,,3324.1,TP,0.2,-2.0,1
2025-07-07 09:20:00,2025-07-07 10:03:00,2025-07-07 10:04:00,EXTEND,short,3324.4,3326.8,3326.8,3330.0,False,,3324.6,TP,-0.2,-6.0,1
2025-07-07 10:10:00,2025-07-07 10:20:00,2025-07-07 10:21:00,EXTEND,short,3322.1,3323.7,3323.7,3324.6,False,,3322.2,TP,-0.1,-5.0,1
2025-07-07 11:05:00,2025-07-07 11:10:00,2025-07-07 11:11:00,MSS,long,3320.9,3316.2,3316.2,3318.3,False,,3321.0,TP,0.1,-3.0,1
2025-07-07 11:20:00,2025-07-07 11:55:00,2025-07-07 11:56:00,EXTEND,long,3319.8,3318.8,3318.8,3318.3,False,,3319.8,TP,0.0,-4.0,1
2025-07-07 12:20:00,2025-07-07 12:27:00,2025-07-07 12:28:00,MSS,short,3315.6,3317.1,3317.1,3317.7,False,,3315.8,TP,-0.2,-6.0,1
2025-07-07 13:05:00,2025-07-07 13:10:00,2025-07-07 13:11:00,MSS,long,3320.4,3315.8,3315.8,3317.4,False,,3320.3,TP,-0.1,-5.0,1
2025-07-07 13:15:00,2025-07-07 13:34:00,2025-07-07 13:35:00,EXTEND,long,3319.3,3317.2,3317.2,3317.4,False,,3319.5,TP,0.2,-2.0,1
2025-07-07 13:55:00,2025-07-07 14:39:00,2025-07-07 15:02:00,EXTEND,long,3319.7,3317.0,3317.0,3321.5,False,,3317.0,SL,-2.7,-31.0,23
2025-07-07 15:05:00,2025-07-07 15:21:00,2025-07-07 15:28:00,EXTEND,short,3319.8,3320.7,3320.7,3317.0,False,,3320.7,SL,-0.9,-13.0,7
2025-07-07 15:55:00,2025-07-07 16:20:00,2025-07-07 16:21:00,EXTEND,short,3316.0,3317.8,3317.8,3318.1,False,,3316.1,TP,-0.1,-5.0,1
2025-07-07 17:35:00,2025-07-07 17:49:00,2025-07-07 17:50:00,EXTEND,short,3317.3,3319.0,3319.0,3318.0,False,,3317.2,TP,0.1,-3.0,1
2025-07-07 17:50:00,2025-07-07 18:13:00,2025-07-07 18:14:00,MSS,long,3319.2,3317.5,3317.5,3319.0,False,,3319.1,TP,-0.1,-5.0,1
2025-07-07 18:15:00,2025-07-07 18:25:00,2025-07-07 18:26:00,EXTEND,long,3319.2,3317.5,3317.5,3319.0,False,,3319.1,TP,-0.1,-5.0,1
2025-07-07 19:05:00,2025-07-07 19:46:00,2025-07-07 19:47:00,MSS,long,3313.2,3309.2,3309.2,3312.5,False,,3313.2,TP,0.0,-4.0,1
2025-07-07 19:45:00,2025-07-07 19:54:00,2025-07-07 19:55:00,BOS,long,3314.2,3310.9,3310.9,3311.9,False,,3314.2,TP,0.0,-4.0,1
2025-07-07 19:55:00,2025-07-07 20:06:00,2025-07-07 20:07:00,EXTEND,long,3313.6,3311.2,3311.2,3311.9,False,,3313.5,TP,-0.1,-5.0,1
2025-07-07 20:20:00,2025-07-07 20:37:00,2025-07-07 20:38:00,BOS,long,3316.3,3311.7,3311.7,3313.8,False,,3316.3,TP,0.0,-4.0,1
2025-07-07 22:15:00,2025-07-07 22:33:00,2025-07-07 22:34:00,BOS,long,3326.2,3323.6,3323.6,3326.8,False,,3326.8,TP,0.6,2.0,1
2025-07-07 22:50:00,2025-07-07 23:14:00,2025-07-07 23:15:00,EXTEND,long,3328.5,3326.9,3326.9,3328.8,False,,3328.8,TP,0.3,-1.0,1
2025-07-08 02:05:00,2025-07-08 02:22:00,2025-07-08 02:23:00,MSS,short,3339.3,3340.9,3340.9,3340.3,False,,3339.3,TP,0.0,-4.0,1
2025-07-08 02:35:00,2025-07-08 02:40:00,2025-07-08 02:41:00,MSS,long,3342.2,3340.7,3340.7,3340.9,False,,3342.2,TP,0.0,-4.0,1
2025-07-08 07:00:00,2025-07-08 07:05:00,2025-07-08 07:06:00,MSS,short,3345.4,3349.0,3349.0,3348.2,False,,3345.1,TP,0.3,-1.0,1
2025-07-08 08:00:00,2025-07-08 08:16:00,2025-07-08 08:19:00,EXTEND,short,3345.2,3347.2,3347.2,3344.4,False,,3344.4,TP,0.8,4.0,3
2025-07-08 08:45:00,2025-07-08 08:50:00,2025-07-08 08:51:00,MSS,long,3344.2,3341.5,3341.5,3343.8,False,,3344.2,TP,0.0,-4.0,1
2025-07-08 09:10:00,2025-07-08 09:30:00,2025-07-08 09:31:00,EXTEND,short,3343.1,3345.3,3345.3,3342.5,False,,3342.5,TP,0.6,2.0,1
2025-07-08 09:35:00,2025-07-08 10:03:00,2025-07-08 10:04:00,MSS,long,3345.8,3342.9,3342.9,3345.3,False,,3345.9,TP,0.1,-3.0,1
2025-07-08 11:00:00,2025-07-08 11:05:00,2025-07-08 11:06:00,MSS,short,3342.6,3345.8,3345.8,3343.7,False,,3342.5,TP,0.1,-3.0,1
2025-07-08 11:20:00,2025-07-08 12:03:00,2025-07-08 12:04:00,EXTEND,short,3340.1,3342.1,3342.1,3341.2,False,,3340.3,TP,-0.2,-6.0,1
2025-07-08 12:25:00,2025-07-08 12:46:00,2025-07-08 12:47:00,BOS,short,3338.4,3340.7,3340.7,3340.0,False,,3338.4,TP,0.0,-4.0,1
2025-07-08 13:10:00,2025-07-08 13:15:00,2025-07-08 13:16:00,MSS,long,3343.8,3340.7,3340.7,3341.5,False,,3343.8,TP,0.0,-4.0,1
2025-07-08 13:45:00,2025-07-08 13:57:00,2025-07-08 13:58:00,EXTEND,short,3343.9,3346.1,3346.1,3344.6,False,,3344.0,TP,-0.1,-5.0,1
2025-07-08 14:15:00,2025-07-08 14:42:00,2025-07-08 14:43:00,EXTEND,short,3343.4,3344.8,3344.8,3343.7,False,,3343.4,TP,0.0,-4.0,1
2025-07-08 15:35:00,2025-07-08 15:40:00,2025-07-08 15:41:00,MSS,short,3340.6,3343.8,3343.8,3342.5,False,,3340.4,TP,0.2,-2.0,1
2025-07-08 17:25:00,2025-07-08 17:41:00,2025-07-08 17:42:00,EXTEND,long,3335.5,3333.8,3333.8,3334.7,False,,3335.3,TP,-0.2,-6.0,1
2025-07-08 17:55:00,2025-07-08 18:17:00,2025-07-08 18:18:00,EXTEND,short,3332.4,3334.2,3334.2,3332.5,False,,3332.4,TP,0.0,-4.0,1
2025-07-08 18:35:00,2025-07-08 18:44:00,2025-07-08 18:45:00,MSS,long,3335.0,3333.7,3333.7,3334.2,False,,3335.1,TP,0.1,-3.0,1
2025-07-08 19:15:00,2025-07-08 19:32:00,2025-07-08 19:33:00,BOS,long,3335.1,3332.3,3332.3,3334.9,False,,3335.1,TP,0.0,-4.0,1
2025-07-08 19:40:00,2025-07-08 19:53:00,2025-07-08 19:54:00,EXTEND,short,3331.3,3333.3,3333.3,3332.3,False,,3331.1,TP,0.2,-2.0,1
2025-07-08 21:05:00,2025-07-08 21:13:00,2025-07-08 21:14:00,MSS,short,3330.5,3334.4,3334.4,3335.0,False,,3330.6,TP,-0.1,-5.0,1
2025-07-08 21:15:00,2025-07-08 21:34:00,2025-07-08 21:35:00,EXTEND,short,3333.2,3336.3,3336.3,3335.0,False,,3333.1,TP,0.1,-3.0,1
2025-07-08 23:10:00,2025-07-08 23:32:00,2025-07-08 23:46:00,EXTEND,short,3304.7,3306.8,3306.8,3303.0,False,,3306.8,SL,-2.1,-25.0,14
2025-07-08 23:50:00,2025-07-09 00:03:00,2025-07-09 00:04:00,EXTEND,long,3307.7,3305.1,3305.1,3306.8,False,,3307.6,TP,-0.1,-5.0,1
2025-07-09 00:20:00,2025-07-09 00:45:00,2025-07-09 00:47:00,BOS,long,3307.7,3305.5,3305.5,3308.3,False,,3308.3,TP,0.6,2.0,2
2025-07-09 01:25:00,2025-07-09 02:01:00,2025-07-09 02:02:00,EXTEND,long,3315.7,3314.7,3314.7,3316.0,False,,3316.0,TP,0.3,-1.0,1
2025-07-09 02:25:00,2025-07-09 02:56:00,2025-07-09 03:07:00,MSS,short,3313.7,3315.7,3315.7,3312.7,False,,3312.7,TP,1.0,6.0,11
2025-07-09 07:10:00,2025-07-09 07:18:00,2025-07-09 07:19:00,MSS,long,3312.2,3310.8,3310.8,3310.8,False,,3312.0,TP,-0.2,-6.0,1
2025-07-09 07:40:00,2025-07-09 07:45:00,2025-07-09 07:46:00,EXTEND,short,3305.7,3309.4,3309.4,3308.5,False,,3305.6,TP,0.1,-3.0,1
2025-07-09 09:05:00,2025-07-09 09:12:00,2025-07-09 09:13:00,MSS,short,3311.2,3314.9,3314.9,3313.0,False,,3311.2,TP,0.0,-4.0,1
2025-07-09 09:10:00,2025-07-09 09:35:00,2025-07-09 09:39:00,EXTEND,short,3314.3,3316.1,3316.1,3313.0,False,,3313.0,TP,1.3,9.0,4
2025-07-09 13:05:00,2025-07-09 13:34:00,2025-07-09 13:40:00,MSS,long,3301.2,3299.2,3299.2,3304.8,False,,3299.2,SL,-2.0,-24.0,6
2025-07-09 14:45:00,2025-07-09 14:51:00,2025-07-09 14:52:00,MSS,long,3300.2,3298.1,3298.1,3298.2,False,,3300.3,TP,0.1,-3.0,1
2025-07-09 15:15:00,2025-07-09 15:50:00,2025-07-09 15:51:00,EXTEND,long,3302.4,3298.7,3298.7,3298.2,False,,3302.4,TP,0.0,-4.0,1
2025-07-09 16:15:00,2025-07-09 16:20:00,2025-07-09 16:21:00,MSS,short,3292.6,3297.6,3297.6,3296.4,False,,3292.5,TP,0.1,-3.0,1
2025-07-09 16:45:00,2025-07-09 16:50:00,2025-07-09 16:51:00,MSS,long,3296.5,3295.0,3295.0,3294.9,False,,3296.5,TP,0.0,-4.0,1
2025-07-09 18:05:00,2025-07-09 18:16:00,2025-07-09 18:17:00,EXTEND,long,3298.0,3297.1,3297.1,3298.0,False,,3298.0,TP,0.0,-4.0,1
2025-07-09 19:25:00,2025-07-09 19:30:00,2025-07-09 19:31:00,MSS,short,3295.9,3298.0,3298.0,3296.0,False,,3295.7,TP,0.2,-2.0,1
2025-07-09 20:00:00,2025-07-09 20:05:00,2025-07-09 20:06:00,MSS,long,3296.2,3294.0,3294.0,3294.7,False,,3296.0,TP,-0.2,-6.0,1
2025-07-09 21:20:00,2025-07-09 21:33:00,2025-07-09 21:34:00,EXTEND,long,3307.3,3303.6,3303.6,3306.3,False,,3307.5,TP,0.2,-2.0,1
2025-07-09 21:50:00,2025-07-09 21:55:00,2025-07-09 21:56:00,MSS,long,3312.9,3307.6,3307.6,3307.7,False,,3312.9,TP,0.0,-4.0,1
2025-07-09 23:50:00,2025-07-10 00:11:00,2025-07-10 00:12:00,MSS,long,3318.5,3317.4,3317.4,3318.9,False,,3318.9,TP,0.4,0.0,1
2025-07-10 01:30:00,2025-07-10 01:43:00,2025-07-10 01:44:00,MSS,short,3318.7,3319.9,3319.9,3320.1,False,,3318.7,TP,0.0,-4.0,1
2025-07-10 02:00:00,2025-07-10 02:13:00,2025-07-10 02:14:00,EXTEND,short,3318.4,3320.2,3320.2,3318.3,False,,3318.3,TP,0.1,-3.0,1
2025-07-10 03:00:00,2025-07-10 03:05:00,2025-07-10 03:06:00,MSS,long,3323.8,3319.3,3319.3,3322.2,False,,3323.8,TP,0.0,-4.0,1
2025-07-10 07:00:00,2025-07-10 07:09:00,2025-07-10 07:10:00,MSS,short,3325.7,3326.8,3326.8,3327.1,False,,3325.6,TP,0.1,-3.0,1
2025-07-10 08:05:00,2025-07-10 08:24:00,2025-07-10 08:25:00,MSS,long,3326.9,3325.8,3325.8,3325.5,False,,3326.9,TP,0.0,-4.0,1
2025-07-10 08:40:00,2025-07-10 09:04:00,2025-07-10 09:05:00,EXTEND,long,3326.6,3324.1,3324.1,3325.5,False,,3326.7,TP,0.1,-3.0,1
2025-07-10 10:15:00,2025-07-10 10:39:00,2025-07-10 10:40:00,EXTEND,short,3329.8,3330.9,3330.9,3330.2,False,,3329.7,TP,0.1,-3.0,1
2025-07-10 11:55:00,2025-07-10 12:00:00,2025-07-10 12:01:00,MSS,short,3323.9,3326.1,3326.1,3325.4,False,,3324.1,TP,-0.2,-6.0,1
2025-07-10 12:40:00,2025-07-10 12:45:00,2025-07-10 12:46:00,MSS,long,3327.2,3325.4,3325.4,3326.2,False,,3327.0,TP,-0.2,-6.0,1
2025-07-10 14:20:00,2025-07-10 14:55:00,2025-07-10 14:56:00,EXTEND,long,3333.4,3332.2,3332.2,3331.2,False,,3333.4,TP,0.0,-4.0,1
2025-07-10 15:35:00,2025-07-10 15:41:00,2025-07-10 15:42:00,MSS,short,3331.7,3334.1,3334.1,3334.3,False,,3331.6,TP,0.1,-3.0,1
2025-07-10 18:20:00,2025-07-10 18:37:00,2025-07-10 18:38:00,EXTEND,short,3333.8,3332.0,3332.0,3335.8,False,,3334.0,SL,-0.2,-6.0,1
2025-07-10 18:50:00,2025-07-10 19:02:00,2025-07-10 19:03:00,EXTEND,long,3337.9,3334.0,3334.0,3335.2,False,,3338.1,TP,0.2,-2.0,1
2025-07-10 19:35:00,2025-07-10 19:41:00,2025-07-10 19:42:00,MSS,short,3333.2,3335.0,3335.0,3336.4,False,,3333.3,TP,-0.1,-5.0,1
