signal_time,entry_time,exit_time,kind,direction,entry,sl,final_sl,tp,break_even_moved,break_even_time,exit_price,exit_reason,points,dollars,bars_held
2025-12-30 09:00:00,2025-12-30 09:07:00,2025-12-30 09:17:00,BOS,short,4350.5,4356.0,4356.0,4337.8,False,,4356.0,SL,-5.5,-58.63,10
2025-12-30 09:15:00,2025-12-30 09:32:00,2025-12-30 09:44:00,MSS,long,4346.4,4339.0,4339.0,4363.6,False,,4363.6,TP,17.2,168.27,12
2025-12-30 11:30:00,2025-12-30 11:52:00,2025-12-30 13:23:00,EXTEND,long,4375.3,4370.5,4370.5,4386.4,False,,4386.4,TP,11.1,107.0,91
2025-12-30 14:40:00,2025-12-30 14:48:00,2025-12-30 15:15:00,EXTEND,short,4380.9,4384.6,4384.6,4372.4,False,,4384.6,SL,-3.7,-40.67,27
2025-12-30 15:50:00,2025-12-30 15:56:00,2025-12-30 16:03:00,EXTEND,long,4387.6,4380.8,4380.8,4403.3,False,,4380.8,SL,-6.8,-71.61,7
2025-12-30 17:55:00,2025-12-30 18:04:00,2025-12-30 18:15:00,EXTEND,long,4385.4,4382.8,4382.8,4391.3,False,,4391.4,TP,6.0,56.41,11
2025-12-30 19:10:00,2025-12-30 19:48:00,2025-12-30 20:13:00,EXTEND,long,4398.8,4394.4,4394.4,4409.1,False,,4409.1,TP,10.3,99.01,25
2025-12-30 20:40:00,2025-12-30 20:52:00,2025-12-30 21:19:00,EXTEND,long,4411.8,4407.5,4407.5,4421.9,False,,4407.5,SL,-4.3,-47.17,27
2025-12-30 21:40:00,2025-12-30 22:00:00,2025-12-30 22:40:00,EXTEND,short,4405.0,4413.7,4413.7,4384.9,False,,4384.9,TP,20.2,197.58,40
2025-12-30 22:45:00,2025-12-30 23:20:00,2025-12-31 03:52:00,EXTEND,short,4393.6,4407.8,4407.8,4360.7,False,,4360.7,TP,32.9,325.45,272
2025-12-31 07:30:00,2025-12-31 07:37:00,2025-12-31 09:03:00,EXTEND,short,4353.3,4359.5,4359.5,4338.8,False,,4359.5,SL,-6.2,-66.27,86
2025-12-31 10:30:00,2025-12-31 10:38:00,2025-12-31 10:49:00,EXTEND,short,4378.1,4383.4,4383.4,4365.6,False,,4365.6,TP,12.4,120.32,11
2025-12-31 11:20:00,2025-12-31 11:32:00,2025-12-31 12:56:00,BOS,short,4364.4,4371.7,4371.7,4347.3,False,,4347.3,TP,17.0,166.5,84
2025-12-31 13:05:00,2025-12-31 13:26:00,2025-12-31 13:40:00,EXTEND,short,4353.2,4360.7,4360.7,4335.8,False,,4335.8,TP,17.4,170.05,14
2025-12-31 15:20:00,2025-12-31 15:49:00,2025-12-31 16:09:00,EXTEND,long,4339.9,4335.9,4335.9,4349.4,False,,4335.9,SL,-4.0,-44.49,20
2025-12-31 16:55:00,2025-12-31 17:07:00,2025-12-31 17:36:00,EXTEND,short,4330.4,4339.6,4339.6,4309.1,False,,4339.6,SL,-9.2,-95.68,29
2025-12-31 17:45:00,2025-12-31 18:28:00,2025-12-31 18:30:00,EXTEND,long,4332.8,4322.8,4322.8,4356.2,False,,4322.8,SL,-10.0,-104.47,2
2025-12-31 19:50:00,2025-12-31 19:55:00,2025-12-31 20:02:00,EXTEND,long,4324.0,4320.6,4320.6,4332.0,False,,4320.6,SL,-3.4,-38.38,7
2025-12-31 20:25:00,2025-12-31 20:30:00,2025-12-31 20:35:00,EXTEND,short,4320.2,4323.6,4323.6,4312.2,False,,4323.6,SL,-3.4,-38.38,5
2025-12-31 20:40:00,2025-12-31 21:06:00,2025-12-31 21:22:00,EXTEND,long,4320.8,4314.6,4314.6,4335.0,False,,4335.0,TP,14.3,138.97,16
2025-12-31 22:30:00,2025-12-31 22:39:00,2025-12-31 22:56:00,BOS,long,4352.3,4346.1,4346.1,4366.5,False,,4366.5,TP,14.3,138.97,17
2025-12-31 22:55:00,2025-12-31 23:02:00,2025-12-31 23:10:00,EXTEND,long,4354.4,4346.1,4346.1,4373.7,False,,4346.1,SL,-8.3,-86.89,8
2025-12-31 23:30:00,2025-12-31 23:40:00,2026-01-01 00:05:00,EXTEND,long,4346.4,4340.5,4340.5,4360.1,False,,4340.5,SL,-5.9,-62.83,25
2026-01-01 00:45:00,2026-01-01 01:00:00,2026-01-01 02:15:00,EXTEND,short,4338.7,4343.7,4343.7,4327.2,False,,4343.7,SL,-5.0,-53.66,75
2026-01-01 02:15:00,2026-01-01 02:24:00,2026-01-01 02:32:00,MSS,long,4338.4,4333.7,4333.7,4349.2,False,,4333.7,SL,-4.7,-50.6,8
2026-01-01 02:30:00,2026-01-01 02:38:00,2026-01-01 03:31:00,MSS,short,4338.7,4342.9,4342.9,4328.9,False,,4328.9,TP,9.8,93.68,53
2026-01-02 08:10:00,2026-01-02 08:20:00,2026-01-02 10:50:00,EXTEND,long,4357.2,4351.6,4351.6,4370.3,False,,4370.3,TP,13.1,126.54,150
2026-01-02 12:00:00,2026-01-02 12:13:00,2026-01-02 12:23:00,BOS,long,4386.7,4384.1,4384.1,4392.7,False,,4384.1,SL,-2.6,-29.98,10
