break_mode,days,variant,description,actual_days,signals,trades,wins,losses,be_exits,win_rate,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown,winning_days,losing_days,skipped
Loose,30,update_tp_ext_027,"61.8 limit, wave update, SL waveStart, TP fib -0.27",28.83,723,274,73,201,0,26.64,-2081.13,9776.62,-11857.76,0.82,-2918.08,10,13,798
Loose,30,update_1m_mss_prev,"61.8 arms, 1m MSS market entry, SL 1m swing, TP 5m prior swing",28.83,723,397,71,326,0,17.88,-1214.0,1125.0,-2339.0,0.48,-1315.0,8,15,169
Loose,30,update_1m_mss_ext_027,"61.8 arms, 1m MSS market entry, SL 1m swing, TP fib -0.27",28.83,723,312,132,180,0,42.31,-2205.26,6939.5,-9144.76,0.76,-3090.71,6,17,511
Loose,60,update_tp_ext_027,"61.8 limit, wave update, SL waveStart, TP fib -0.27",59.92,849,329,97,232,0,29.48,-906.0,12682.06,-13588.07,0.93,-2918.08,13,15,901
Loose,60,update_1m_mss_prev,"61.8 arms, 1m MSS market entry, SL 1m swing, TP 5m prior swing",59.92,849,459,82,377,0,17.86,-1272.0,1349.0,-2621.0,0.51,-1377.0,9,19,205
Loose,60,update_1m_mss_ext_027,"61.8 arms, 1m MSS market entry, SL 1m swing, TP fib -0.27",59.92,849,365,164,201,0,44.93,-1503.61,8722.15,-10225.76,0.85,-3090.71,9,19,590
Loose,90,update_tp_ext_027,"61.8 limit, wave update, SL waveStart, TP fib -0.27",90.0,1539,564,188,376,0,33.33,6259.4,35502.01,-29242.6,1.21,-2918.08,27,23,1742
Loose,90,update_1m_mss_prev,"61.8 arms, 1m MSS market entry, SL 1m swing, TP 5m prior swing",90.0,1539,825,150,675,0,18.18,-3054.0,3198.0,-6252.0,0.51,-3246.0,12,39,404
Loose,90,update_1m_mss_ext_027,"61.8 arms, 1m MSS market entry, SL 1m swing, TP fib -0.27",90.0,1539,654,292,362,0,44.65,-262.86,22163.09,-22425.95,0.99,-3090.71,19,32,1102
Loose,120,update_tp_ext_027,"61.8 limit, wave update, SL waveStart, TP fib -0.27",119.79,1712,619,207,412,0,33.44,7504.27,39832.26,-32327.99,1.23,-2918.08,28,28,1897
Loose,120,update_1m_mss_prev,"61.8 arms, 1m MSS market entry, SL 1m swing, TP 5m prior swing",119.79,1712,896,164,732,0,18.3,-3224.0,3667.0,-6891.0,0.53,-3246.0,13,44,468
Loose,120,update_1m_mss_ext_027,"61.8 arms, 1m MSS market entry, SL 1m swing, TP fib -0.27",119.79,1712,714,327,387,0,45.8,1203.46,25492.41,-24288.95,1.05,-3090.71,25,32,1221
Loose,150,update_tp_ext_027,"61.8 limit, wave update, SL waveStart, TP fib -0.27",150.0,2460,911,288,623,0,31.61,2587.88,49887.23,-47299.35,1.05,-6261.01,35,43,2735
Loose,150,update_1m_mss_prev,"61.8 arms, 1m MSS market entry, SL 1m swing, TP 5m prior swing",150.0,2460,1307,223,1084,0,17.06,-4854.0,4990.0,-9844.0,0.51,-4861.0,16,63,664
Loose,150,update_1m_mss_ext_027,"61.8 arms, 1m MSS market entry, SL 1m swing, TP fib -0.27",150.0,2460,1045,482,563,0,46.12,-977.05,34097.1,-35074.15,0.97,-3194.72,34,44,1751
Loose,180,update_tp_ext_027,"61.8 limit, wave update, SL waveStart, TP fib -0.27",179.91,2606,947,304,643,0,32.1,3585.27,52041.47,-48456.21,1.07,-6261.01,37,45,2870
